timestep_5,region_4,technology_3,parameter,value
h0001,01ES,onshore_a,avaConv,0.156434309983532
h0002,01ES,onshore_a,avaConv,0.180980632139909
h0003,01ES,onshore_a,avaConv,0.206012337029525
h0004,01ES,onshore_a,avaConv,0.241690871163492
h0005,01ES,onshore_a,avaConv,0.262781541249273
h0006,01ES,onshore_a,avaConv,0.269950199238722
h0007,01ES,onshore_a,avaConv,0.205278646970237
h0008,01ES,onshore_a,avaConv,0.142715659662581
h0009,01ES,onshore_a,avaConv,0.0829177111248703
h0010,01ES,onshore_a,avaConv,0.330085461597425
h0011,01ES,onshore_a,avaConv,0.595175919768538
h0012,01ES,onshore_a,avaConv,0.867911814662526
h0013,01ES,onshore_a,avaConv,0.868166358255067
h0014,01ES,onshore_a,avaConv,0.868638560800911
h0015,01ES,onshore_a,avaConv,0.862869640156003
h0016,01ES,onshore_a,avaConv,0.60029454049959
h0017,01ES,onshore_a,avaConv,0.342003659972004
h0018,01ES,onshore_a,avaConv,0.105805040758054
h0019,01ES,onshore_a,avaConv,0.0960394127580763
h0020,01ES,onshore_a,avaConv,0.0942875193484794
h0021,01ES,onshore_a,avaConv,0.0960766684210218
h0022,01ES,onshore_a,avaConv,0.0651602739199023
h0023,01ES,onshore_a,avaConv,0.0347200563648892
h0024,01ES,onshore_a,avaConv,0.0102451987758276
h0025,01ES,onshore_a,avaConv,0.143041151290501
h0026,01ES,onshore_a,avaConv,0.305922953578598
h0027,01ES,onshore_a,avaConv,0.494598844657442
h0028,01ES,onshore_a,avaConv,0.421980992421182
h0029,01ES,onshore_a,avaConv,0.344362325842032
h0030,01ES,onshore_a,avaConv,0.252170883455902
h0031,01ES,onshore_a,avaConv,0.234452179184565
h0032,01ES,onshore_a,avaConv,0.208825385369107
h0033,01ES,onshore_a,avaConv,0.177745632606192
h0034,01ES,onshore_a,avaConv,0.1518087976925
h0035,01ES,onshore_a,avaConv,0.108418105234977
h0036,01ES,onshore_a,avaConv,0.0611944731311757
h0037,01ES,onshore_a,avaConv,0.0442081448315504
h0038,01ES,onshore_a,avaConv,0.044703124944075
h0039,01ES,onshore_a,avaConv,0.0525486598524876
h0040,01ES,onshore_a,avaConv,0.0980776491233036
h0041,01ES,onshore_a,avaConv,0.129228864784017
h0042,01ES,onshore_a,avaConv,0.150287132741112
h0043,01ES,onshore_a,avaConv,0.118011352739338
h0044,01ES,onshore_a,avaConv,0.0980479212138552
h0045,01ES,onshore_a,avaConv,0.0868497126766717
