timestep_5,region_4,technology_2,parameter,value
h0001,01ES,openspace_b,avaConv,0.0
h0002,01ES,openspace_b,avaConv,0.0
h0003,01ES,openspace_b,avaConv,0.0
h0004,01ES,openspace_b,avaConv,0.0
h0005,01ES,openspace_b,avaConv,0.0
h0006,01ES,openspace_b,avaConv,0.0
h0007,01ES,openspace_b,avaConv,0.0
h0008,01ES,openspace_b,avaConv,0.0
h0009,01ES,openspace_b,avaConv,0.0138372454403117
h0010,01ES,openspace_b,avaConv,0.0361558542795658
h0011,01ES,openspace_b,avaConv,0.063854894903104
h0012,01ES,openspace_b,avaConv,0.0852967360406734
h0013,01ES,openspace_b,avaConv,0.120396613806631
h0014,01ES,openspace_b,avaConv,0.14860082330366
h0015,01ES,openspace_b,avaConv,0.1606860895883
h0016,01ES,openspace_b,avaConv,0.208444797864655
h0017,01ES,openspace_b,avaConv,0.197962978242059
h0018,01ES,openspace_b,avaConv,0.156080436394809
h0019,01ES,openspace_b,avaConv,0.0506992676480878
h0020,01ES,openspace_b,avaConv,0.0
h0021,01ES,openspace_b,avaConv,0.0
h0022,01ES,openspace_b,avaConv,0.0
h0023,01ES,openspace_b,avaConv,0.0
h0024,01ES,openspace_b,avaConv,0.0
h0025,01ES,openspace_b,avaConv,0.0
h0026,01ES,openspace_b,avaConv,0.0
h0027,01ES,openspace_b,avaConv,0.0
h0028,01ES,openspace_b,avaConv,0.0
h0029,01ES,openspace_b,avaConv,0.0
h0030,01ES,openspace_b,avaConv,0.0
h0031,01ES,openspace_b,avaConv,0.0
h0032,01ES,openspace_b,avaConv,0.0
h0033,01ES,openspace_b,avaConv,0.0621222285315005
h0034,01ES,openspace_b,avaConv,0.195996949734208
h0035,01ES,openspace_b,avaConv,0.395851771620137
h0036,01ES,openspace_b,avaConv,0.582313985284225
h0037,01ES,openspace_b,avaConv,0.636997697829226
h0038,01ES,openspace_b,avaConv,0.652242927572922
h0039,01ES,openspace_b,avaConv,0.598064900890063
h0040,01ES,openspace_b,avaConv,0.474443871012763
h0041,01ES,openspace_b,avaConv,0.305268255177368
h0042,01ES,openspace_b,avaConv,0.131055348175278
h0043,01ES,openspace_b,avaConv,0.0643088524432305
h0044,01ES,openspace_b,avaConv,0.0198763550441089
h0045,01ES,openspace_b,avaConv,0.0
h0046,01ES,openspace_b,avaConv,0.0
h0047,01ES,openspace_b,avaConv,0.0
h0048,01ES,openspace_b,avaConv,0.0
h0049,01ES,openspace_b,avaConv,0.0
h0050,01ES,openspace_b,avaConv,0.0
h0051,01ES,openspace_b,avaConv,0.0
h0052,01ES,openspace_b,avaConv,0.0
h0053,01ES,openspace_b,avaConv,0.0
h0054,01ES,openspace_b,avaConv,0.0
h0055,01ES,openspace_b,avaConv,0.0
h0056,01ES,openspace_b,avaConv,0.0220970112971434
h0057,01ES,openspace_b,avaConv,0.0843853556309884
h0058,01ES,openspace_b,avaConv,0.263803587427256
h0059,01ES,openspace_b,avaConv,0.490329607003213
h0060,01ES,openspace_b,avaConv,0.705874358579724
h0061,01ES,openspace_b,avaConv,0.696834268778058
h0062,01ES,openspace_b,avaConv,0.613392367638144
h0063,01ES,openspace_b,avaConv,0.471095992085441
h0064,01ES,openspace_b,avaConv,0.459387920183691
h0065,01ES,openspace_b,avaConv,0.421746400216719
h0066,01ES,openspace_b,avaConv,0.349585545018589
h0067,01ES,openspace_b,avaConv,0.197029679109235
h0068,01ES,openspace_b,avaConv,0.0763661622948662
h0069,01ES,openspace_b,avaConv,0.0144317515855067
h0070,01ES,openspace_b,avaConv,0.0
h0071,01ES,openspace_b,avaConv,0.0
h0072,01ES,openspace_b,avaConv,0.0
h0073,01ES,openspace_b,avaConv,0.0
h0074,01ES,openspace_b,avaConv,0.0
h0075,01ES,openspace_b,avaConv,0.0
h0076,01ES,openspace_b,avaConv,0.0
h0077,01ES,openspace_b,avaConv,0.0
h0078,01ES,openspace_b,avaConv,0.0
h0079,01ES,openspace_b,avaConv,0.013293983815533
h0080,01ES,openspace_b,avaConv,0.0366762771039568
h0081,01ES,openspace_b,avaConv,0.0798620477585546
h0082,01ES,openspace_b,avaConv,0.119759039384627
h0083,01ES,openspace_b,avaConv,0.157822049424151
h0084,01ES,openspace_b,avaConv,0.177954505523913
h0085,01ES,openspace_b,avaConv,0.4066666419139
h0086,01ES,openspace_b,avaConv,0.608031270387387
h0087,01ES,openspace_b,avaConv,0.770529209154189
h0088,01ES,openspace_b,avaConv,0.707687112429195
h0089,01ES,openspace_b,avaConv,0.593495256126674
h0090,01ES,openspace_b,avaConv,0.447081690782077
h0091,01ES,openspace_b,avaConv,0.25117890820538
h0092,01ES,openspace_b,avaConv,0.102533411667971
h0093,01ES,openspace_b,avaConv,0.0254632461224732
h0094,01ES,openspace_b,avaConv,0.0
h0095,01ES,openspace_b,avaConv,0.0
h0096,01ES,openspace_b,avaConv,0.0
h0097,01ES,openspace_b,avaConv,0.0
h0098,01ES,openspace_b,avaConv,0.0
