timestep_5,region_4,technology_3,parameter,value
h0001,01ES,runOfRiver,avaConv,0.193133980842262
h0002,01ES,runOfRiver,avaConv,0.193133980842262
h0003,01ES,runOfRiver,avaConv,0.193133980842262
h0004,01ES,runOfRiver,avaConv,0.198903677540383
h0005,01ES,runOfRiver,avaConv,0.202370490860448
h0006,01ES,runOfRiver,avaConv,0.204683663555586
h0007,01ES,runOfRiver,avaConv,0.208666943391009
h0008,01ES,runOfRiver,avaConv,0.211657198270667
h0009,01ES,runOfRiver,avaConv,0.213984542836198
h0010,01ES,runOfRiver,avaConv,0.21860509459182
h0011,01ES,runOfRiver,avaConv,0.225326735041646
h0012,01ES,runOfRiver,avaConv,0.232058213951001
h0013,01ES,runOfRiver,avaConv,0.240127510760828
h0014,01ES,runOfRiver,avaConv,0.245873371840648
h0015,01ES,runOfRiver,avaConv,0.251625075623224
h0016,01ES,runOfRiver,avaConv,0.26120502803481
h0017,01ES,runOfRiver,avaConv,0.269148189941476
h0018,01ES,runOfRiver,avaConv,0.277100572217501
h0019,01ES,runOfRiver,avaConv,0.282409091000575
h0020,01ES,runOfRiver,avaConv,0.284930490321141
h0021,01ES,runOfRiver,avaConv,0.287452719293799
h0022,01ES,runOfRiver,avaConv,0.287786196493654
h0023,01ES,runOfRiver,avaConv,0.286781176590101
h0024,01ES,runOfRiver,avaConv,0.28577628682086
h0025,01ES,runOfRiver,avaConv,0.279951769892153
h0026,01ES,runOfRiver,avaConv,0.27030173512606
h0027,01ES,runOfRiver,avaConv,0.260665161503077
h0028,01ES,runOfRiver,avaConv,0.251414678866881
h0029,01ES,runOfRiver,avaConv,0.244814839304124
h0030,01ES,runOfRiver,avaConv,0.23822276717284
h0031,01ES,runOfRiver,avaConv,0.232687187429403
h0032,01ES,runOfRiver,avaConv,0.229325945357975
h0033,01ES,runOfRiver,avaConv,0.225967051645543
h0034,01ES,runOfRiver,avaConv,0.222714439770901
h0035,01ES,runOfRiver,avaConv,0.224234276658949
h0036,01ES,runOfRiver,avaConv,0.225754621744775
h0037,01ES,runOfRiver,avaConv,0.226288007360993
h0038,01ES,runOfRiver,avaConv,0.226451550459951
h0039,01ES,runOfRiver,avaConv,0.226615099297505
h0040,01ES,runOfRiver,avaConv,0.230425705815426
h0041,01ES,runOfRiver,avaConv,0.233190729544338
h0042,01ES,runOfRiver,avaConv,0.235957281183609
h0043,01ES,runOfRiver,avaConv,0.238863224158091
h0044,01ES,runOfRiver,avaConv,0.241666511026823
h0045,01ES,runOfRiver,avaConv,0.244471242645409
h0046,01ES,runOfRiver,avaConv,0.250479501851813
h0047,01ES,runOfRiver,avaConv,0.257486874731817
h0048,01ES,runOfRiver,avaConv,0.264502110153628
h0049,01ES,runOfRiver,avaConv,0.271823661663591
h0050,01ES,runOfRiver,avaConv,0.275475780881439
h0051,01ES,runOfRiver,avaConv,0.279129758939007
h0052,01ES,runOfRiver,avaConv,0.279368795842333
h0053,01ES,runOfRiver,avaConv,0.279469039429371
h0054,01ES,runOfRiver,avaConv,0.279569284377118
h0055,01ES,runOfRiver,avaConv,0.283162028317375
h0056,01ES,runOfRiver,avaConv,0.283536982009825
h0057,01ES,runOfRiver,avaConv,0.283911954216369
h0058,01ES,runOfRiver,avaConv,0.283049391530827
h0059,01ES,runOfRiver,avaConv,0.281887633403666
h0060,01ES,runOfRiver,avaConv,0.280726054984646
h0061,01ES,runOfRiver,avaConv,0.27491320143562
h0062,01ES,runOfRiver,avaConv,0.2725169568666
h0063,01ES,runOfRiver,avaConv,0.270121529093201
h0064,01ES,runOfRiver,avaConv,0.277882266675409
h0065,01ES,runOfRiver,avaConv,0.282157614333359
h0066,01ES,runOfRiver,avaConv,0.286435393340172
h0067,01ES,runOfRiver,avaConv,0.291674718532614
h0068,01ES,runOfRiver,avaConv,0.298157186426067
h0069,01ES,runOfRiver,avaConv,0.304644695006278
h0070,01ES,runOfRiver,avaConv,0.309342864419863
h0071,01ES,runOfRiver,avaConv,0.318717128609398
h0072,01ES,runOfRiver,avaConv,0.328100753050198
h0073,01ES,runOfRiver,avaConv,0.331775731897465
h0074,01ES,runOfRiver,avaConv,0.325227184748725
h0075,01ES,runOfRiver,avaConv,0.318683040043044
h0076,01ES,runOfRiver,avaConv,0.318078763270976
h0077,01ES,runOfRiver,avaConv,0.316512473717186
h0078,01ES,runOfRiver,avaConv,0.314946448243395
h0079,01ES,runOfRiver,avaConv,0.31839794051266
h0080,01ES,runOfRiver,avaConv,0.323647315348464
h0081,01ES,runOfRiver,avaConv,0.328899546159178
h0082,01ES,runOfRiver,avaConv,0.328536591401962
h0083,01ES,runOfRiver,avaConv,0.333889182087442
h0084,01ES,runOfRiver,avaConv,0.339244588609745
h0085,01ES,runOfRiver,avaConv,0.351179054073
h0086,01ES,runOfRiver,avaConv,0.357165159057456
h0087,01ES,runOfRiver,avaConv,0.363154415662939
h0088,01ES,runOfRiver,avaConv,0.37509534019323
h0089,01ES,runOfRiver,avaConv,0.381999002212625
h0090,01ES,runOfRiver,avaConv,0.388906433455094
h0091,01ES,runOfRiver,avaConv,0.391969268464899
h0092,01ES,runOfRiver,avaConv,0.400682878658396
h0093,01ES,runOfRiver,avaConv,0.409402070866757
h0094,01ES,runOfRiver,avaConv,0.416357891848912
h0095,01ES,runOfRiver,avaConv,0.416703193623351
h0096,01ES,runOfRiver,avaConv,0.417048503657249
h0097,01ES,runOfRiver,avaConv,0.400595480529891
h0098,01ES,runOfRiver,avaConv,0.378209382992549
h0099,01ES,runOfRiver,avaConv,0.355863493343253
h0100,01ES,runOfRiver,avaConv,0.336481162169726
h0101,01ES,runOfRiver,avaConv,0.320957947105846
h0102,01ES,runOfRiver,avaConv,0.305460040014013
h0103,01ES,runOfRiver,avaConv,0.287943676788169
h0104,01ES,runOfRiver,avaConv,0.27221035786561
h0105,01ES,runOfRiver,avaConv,0.256512337204291
h0106,01ES,runOfRiver,avaConv,0.246046744641012
h0107,01ES,runOfRiver,avaConv,0.252098111514995
h0108,01ES,runOfRiver,avaConv,0.258155612201193
h0109,01ES,runOfRiver,avaConv,0.264619069296744
h0110,01ES,runOfRiver,avaConv,0.268191926417473
h0111,01ES,runOfRiver,avaConv,0.271766660444888
h0112,01ES,runOfRiver,avaConv,0.273575519353885
h0113,01ES,runOfRiver,avaConv,0.277427424387036
h0114,01ES,runOfRiver,avaConv,0.281281368773155
h0115,01ES,runOfRiver,avaConv,0.286734865439118
h0116,01ES,runOfRiver,avaConv,0.286963336464465
h0117,01ES,runOfRiver,avaConv,0.287191814207926
h0118,01ES,runOfRiver,avaConv,0.279689580109267
h0119,01ES,runOfRiver,avaConv,0.271794390709445
h0120,01ES,runOfRiver,avaConv,0.263908112777411
h0121,01ES,runOfRiver,avaConv,0.265893441851259
h0122,01ES,runOfRiver,avaConv,0.26964562296802
h0123,01ES,runOfRiver,avaConv,0.273399851714329
h0124,01ES,runOfRiver,avaConv,0.275810266828253
h0125,01ES,runOfRiver,avaConv,0.276625737733026
h0126,01ES,runOfRiver,avaConv,0.27744130051164
h0127,01ES,runOfRiver,avaConv,0.274675852414175
h0128,01ES,runOfRiver,avaConv,0.279634058758906
h0129,01ES,runOfRiver,avaConv,0.284595593017192
h0130,01ES,runOfRiver,avaConv,0.287746054965378
h0131,01ES,runOfRiver,avaConv,0.281000621638488
h0132,01ES,runOfRiver,avaConv,0.274261281178429
h0133,01ES,runOfRiver,avaConv,0.265731823140565
h0134,01ES,runOfRiver,avaConv,0.25855535133094
h0135,01ES,runOfRiver,avaConv,0.251387036050691
h0136,01ES,runOfRiver,avaConv,0.243216681234272
h0137,01ES,runOfRiver,avaConv,0.238616531772554
h0138,01ES,runOfRiver,avaConv,0.234020383408894
h0139,01ES,runOfRiver,avaConv,0.229021605341577
h0140,01ES,runOfRiver,avaConv,0.225823392947885
h0141,01ES,runOfRiver,avaConv,0.222627389304212
h0142,01ES,runOfRiver,avaConv,0.216509195776142
h0143,01ES,runOfRiver,avaConv,0.212177398835965
h0144,01ES,runOfRiver,avaConv,0.207850376791833
h0145,01ES,runOfRiver,avaConv,0.205637035857283
h0146,01ES,runOfRiver,avaConv,0.204426737733789
h0147,01ES,runOfRiver,avaConv,0.203216854536382
h0148,01ES,runOfRiver,avaConv,0.202139562490227
h0149,01ES,runOfRiver,avaConv,0.201466617179271
h0150,01ES,runOfRiver,avaConv,0.20079380593618
h0151,01ES,runOfRiver,avaConv,0.199683888141572
h0152,01ES,runOfRiver,avaConv,0.201484844185478
h0153,01ES,runOfRiver,avaConv,0.203286760988528
h0154,01ES,runOfRiver,avaConv,0.205425660232462
h0155,01ES,runOfRiver,avaConv,0.205456073223781
h0156,01ES,runOfRiver,avaConv,0.205486486473311
h0157,01ES,runOfRiver,avaConv,0.205521462029345
h0158,01ES,runOfRiver,avaConv,0.205424139589675
h0159,01ES,runOfRiver,avaConv,0.205326819795255
h0160,01ES,runOfRiver,avaConv,0.204952771524882
h0161,01ES,runOfRiver,avaConv,0.205016630645564
h0162,01ES,runOfRiver,avaConv,0.205080490911899
h0163,01ES,runOfRiver,avaConv,0.204998385065564
h0164,01ES,runOfRiver,avaConv,0.204580282874048
h0165,01ES,runOfRiver,avaConv,0.204162230097615
h0166,01ES,runOfRiver,avaConv,0.204215434060216
h0167,01ES,runOfRiver,avaConv,0.204264078387232
h0168,01ES,runOfRiver,avaConv,0.204312723386316
h0169,01ES,runOfRiver,avaConv,0.204101426554846
h0170,01ES,runOfRiver,avaConv,0.204166790405727
h0171,01ES,runOfRiver,avaConv,0.204232155471794
h0172,01ES,runOfRiver,avaConv,0.205322257994856
h0173,01ES,runOfRiver,avaConv,0.206558717639792
h0174,01ES,runOfRiver,avaConv,0.207795597592244
h0175,01ES,runOfRiver,avaConv,0.208666073683005
h0176,01ES,runOfRiver,avaConv,0.209064855937618
h0177,01ES,runOfRiver,avaConv,0.209463680406092
h0178,01ES,runOfRiver,avaConv,0.209107476389147
h0179,01ES,runOfRiver,avaConv,0.209011581051238
h0180,01ES,runOfRiver,avaConv,0.208915688155831
h0181,01ES,runOfRiver,avaConv,0.208297770517098
h0182,01ES,runOfRiver,avaConv,0.20665454949323
h0183,01ES,runOfRiver,avaConv,0.205012069241795
h0184,01ES,runOfRiver,avaConv,0.20271387366827
h0185,01ES,runOfRiver,avaConv,0.200783175690396
h0186,01ES,runOfRiver,avaConv,0.198853592580642
h0187,01ES,runOfRiver,avaConv,0.197466700480632
h0188,01ES,runOfRiver,avaConv,0.196832633770064
h0189,01ES,runOfRiver,avaConv,0.196198695111324
h0190,01ES,runOfRiver,avaConv,0.1962123431505
h0191,01ES,runOfRiver,avaConv,0.196746180020579
h0192,01ES,runOfRiver,avaConv,0.197280107820725
h0193,01ES,runOfRiver,avaConv,0.198213180584193
h0194,01ES,runOfRiver,avaConv,0.199802302108019
h0195,01ES,runOfRiver,avaConv,0.20139219125849
h0196,01ES,runOfRiver,avaConv,0.198172210691532
h0197,01ES,runOfRiver,avaConv,0.19441435646361
h0198,01ES,runOfRiver,avaConv,0.190661183497282
h0199,01ES,runOfRiver,avaConv,0.189029984876051
h0200,01ES,runOfRiver,avaConv,0.186754293189772
h0201,01ES,runOfRiver,avaConv,0.184480576110346
h0202,01ES,runOfRiver,avaConv,0.182626868027041
h0203,01ES,runOfRiver,avaConv,0.180378073988486
h0204,01ES,runOfRiver,avaConv,0.178131483523589
