timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0001,FR,s1980,electricity,dem,71.4697108198476
h0002,FR,s1980,electricity,dem,69.9802987319355
h0003,FR,s1980,electricity,dem,67.2240240066608
h0004,FR,s1980,electricity,dem,66.238359171496
h0005,FR,s1980,electricity,dem,68.1073866440234
h0006,FR,s1980,electricity,dem,72.3764360945729
h0007,FR,s1980,electricity,dem,76.8349415890784
h0008,FR,s1980,electricity,dem,78.8401613692982
h0009,FR,s1980,electricity,dem,79.9902712594081
h0010,FR,s1980,electricity,dem,80.2171668638036
h0011,FR,s1980,electricity,dem,80.2956558747927
h0012,FR,s1980,electricity,dem,80.3585130176498
h0013,FR,s1980,electricity,dem,78.6290954352322
h0014,FR,s1980,electricity,dem,76.5531888418256
h0015,FR,s1980,electricity,dem,74.566348182485
h0016,FR,s1980,electricity,dem,74.0058646660015
h0017,FR,s1980,electricity,dem,76.3536778528147
h0018,FR,s1980,electricity,dem,80.6243426879795
h0019,FR,s1980,electricity,dem,81.5348097209465
h0020,FR,s1980,electricity,dem,78.2321668638036
h0021,FR,s1980,electricity,dem,74.8959800506168
h0022,FR,s1980,electricity,dem,75.2867218088586
h0023,FR,s1980,electricity,dem,76.3832987319355
h0024,FR,s1980,electricity,dem,73.7014965341334
h0025,FR,s1980,electricity,dem,74.2340207099476
h0026,FR,s1980,electricity,dem,72.7446086220355
h0027,FR,s1980,electricity,dem,69.9883338967608
h0028,FR,s1980,electricity,dem,69.002669061596
h0029,FR,s1980,electricity,dem,70.8716965341234
h0030,FR,s1980,electricity,dem,75.1407459846729
h0031,FR,s1980,electricity,dem,79.5992514791784
h0032,FR,s1980,electricity,dem,81.6044712593982
h0033,FR,s1980,electricity,dem,82.7545811495081
h0034,FR,s1980,electricity,dem,82.9814767539036
h0035,FR,s1980,electricity,dem,83.0599657648927
h0036,FR,s1980,electricity,dem,83.1228229077498
h0037,FR,s1980,electricity,dem,81.3934053253322
h0038,FR,s1980,electricity,dem,79.3174987319256
h0039,FR,s1980,electricity,dem,77.330658072585
h0040,FR,s1980,electricity,dem,76.7701745561015
h0041,FR,s1980,electricity,dem,79.1179877429147
h0042,FR,s1980,electricity,dem,83.3886525780795
h0043,FR,s1980,electricity,dem,84.2991196110465
h0044,FR,s1980,electricity,dem,80.9964767539036
h0045,FR,s1980,electricity,dem,77.6602899407168
h0046,FR,s1980,electricity,dem,78.0510316989586
h0047,FR,s1980,electricity,dem,79.1476086220355
h0048,FR,s1980,electricity,dem,76.4658064242334
h0049,FR,s1980,electricity,dem,74.3435621271476
h0050,FR,s1980,electricity,dem,72.8541500392355
h0051,FR,s1980,electricity,dem,70.0978753139608
h0052,FR,s1980,electricity,dem,69.112210478796
h0053,FR,s1980,electricity,dem,70.9812379513234
h0054,FR,s1980,electricity,dem,75.2502874018729
h0055,FR,s1980,electricity,dem,79.7087928963784
h0056,FR,s1980,electricity,dem,81.7140126765982
h0057,FR,s1980,electricity,dem,82.8641225667081
h0058,FR,s1980,electricity,dem,83.0910181711036
h0059,FR,s1980,electricity,dem,83.1695071820927
h0060,FR,s1980,electricity,dem,83.2323643249498
h0061,FR,s1980,electricity,dem,81.5029467425322
h0062,FR,s1980,electricity,dem,79.4270401491256
h0063,FR,s1980,electricity,dem,77.440199489785
h0064,FR,s1980,electricity,dem,76.8797159733015
h0065,FR,s1980,electricity,dem,79.2275291601147
h0066,FR,s1980,electricity,dem,83.4981939952795
h0067,FR,s1980,electricity,dem,84.4086610282465
h0068,FR,s1980,electricity,dem,81.1060181711036
h0069,FR,s1980,electricity,dem,77.7698313579168
h0070,FR,s1980,electricity,dem,78.1605731161586
h0071,FR,s1980,electricity,dem,79.2571500392355
h0072,FR,s1980,electricity,dem,76.5753478414334
h0073,FR,s1980,electricity,dem,65.5488321978476
h0074,FR,s1980,electricity,dem,64.0594201099355
h0075,FR,s1980,electricity,dem,61.3031453846608
h0076,FR,s1980,electricity,dem,60.317480549496
h0077,FR,s1980,electricity,dem,62.1865080220234
h0078,FR,s1980,electricity,dem,66.4555574725729
h0079,FR,s1980,electricity,dem,70.9140629670784
h0080,FR,s1980,electricity,dem,72.9192827472982
h0081,FR,s1980,electricity,dem,74.0693926374081
h0082,FR,s1980,electricity,dem,74.2962882418036
h0083,FR,s1980,electricity,dem,74.3747772527927
h0084,FR,s1980,electricity,dem,74.4376343956498
h0085,FR,s1980,electricity,dem,72.7082168132322
h0086,FR,s1980,electricity,dem,70.6323102198256
h0087,FR,s1980,electricity,dem,68.645469560485
h0088,FR,s1980,electricity,dem,68.0849860440015
h0089,FR,s1980,electricity,dem,70.4327992308147
h0090,FR,s1980,electricity,dem,74.7034640659795
h0091,FR,s1980,electricity,dem,75.6139310989465
h0092,FR,s1980,electricity,dem,72.3112882418036
h0093,FR,s1980,electricity,dem,68.9751014286168
h0094,FR,s1980,electricity,dem,69.3658431868586
h0095,FR,s1980,electricity,dem,70.4624201099355
h0096,FR,s1980,electricity,dem,67.7806179121334
h0097,FR,s1980,electricity,dem,59.6702117911476
h0098,FR,s1980,electricity,dem,58.1807997032355
h0099,FR,s1980,electricity,dem,55.4245249779608
h0100,FR,s1980,electricity,dem,54.438860142796
h0101,FR,s1980,electricity,dem,56.3078876153234
h0102,FR,s1980,electricity,dem,60.5769370658729
h0103,FR,s1980,electricity,dem,65.0354425603784
h0104,FR,s1980,electricity,dem,67.0406623405982
h0105,FR,s1980,electricity,dem,68.1907722307081
h0106,FR,s1980,electricity,dem,68.4176678351036
h0107,FR,s1980,electricity,dem,68.4961568460927
h0108,FR,s1980,electricity,dem,68.5590139889498
h0109,FR,s1980,electricity,dem,66.8295964065322
h0110,FR,s1980,electricity,dem,64.7536898131256
h0111,FR,s1980,electricity,dem,62.766849153785
h0112,FR,s1980,electricity,dem,62.2063656373015
h0113,FR,s1980,electricity,dem,64.5541788241147
h0114,FR,s1980,electricity,dem,68.8248436592795
h0115,FR,s1980,electricity,dem,69.7353106922465
h0116,FR,s1980,electricity,dem,66.4326678351037
h0117,FR,s1980,electricity,dem,63.0964810219168
h0118,FR,s1980,electricity,dem,63.4872227801586
h0119,FR,s1980,electricity,dem,64.5837997032356
h0120,FR,s1980,electricity,dem,61.9019975054334
h0121,FR,s1980,electricity,dem,57.5841689873476
h0122,FR,s1980,electricity,dem,56.0947568994355
h0123,FR,s1980,electricity,dem,53.3384821741608
h0124,FR,s1980,electricity,dem,52.352817338996
h0125,FR,s1980,electricity,dem,54.2218448115234
h0126,FR,s1980,electricity,dem,58.4908942620729
h0127,FR,s1980,electricity,dem,62.9493997565784
h0128,FR,s1980,electricity,dem,64.9546195367982
h0129,FR,s1980,electricity,dem,66.1047294269081
h0130,FR,s1980,electricity,dem,66.3316250313036
h0131,FR,s1980,electricity,dem,66.4101140422927
h0132,FR,s1980,electricity,dem,66.4729711851498
h0133,FR,s1980,electricity,dem,64.7435536027322
h0134,FR,s1980,electricity,dem,62.6676470093256
h0135,FR,s1980,electricity,dem,60.680806349985
h0136,FR,s1980,electricity,dem,60.1203228335015
h0137,FR,s1980,electricity,dem,62.4681360203147
h0138,FR,s1980,electricity,dem,66.7388008554795
h0139,FR,s1980,electricity,dem,67.6492678884465
h0140,FR,s1980,electricity,dem,64.3466250313037
h0141,FR,s1980,electricity,dem,61.0104382181168
h0142,FR,s1980,electricity,dem,61.4011799763586
h0143,FR,s1980,electricity,dem,62.4977568994355
h0144,FR,s1980,electricity,dem,59.8159547016334
h0145,FR,s1980,electricity,dem,65.1788078540476
h0146,FR,s1980,electricity,dem,63.6893957661355
h0147,FR,s1980,electricity,dem,60.9331210408608
h0148,FR,s1980,electricity,dem,59.947456205696
h0149,FR,s1980,electricity,dem,61.8164836782234
h0150,FR,s1980,electricity,dem,66.0855331287729
h0151,FR,s1980,electricity,dem,70.5440386232784
h0152,FR,s1980,electricity,dem,72.5492584034982
h0153,FR,s1980,electricity,dem,73.6993682936081
h0154,FR,s1980,electricity,dem,73.9262638980036
h0155,FR,s1980,electricity,dem,74.0047529089927
h0156,FR,s1980,electricity,dem,74.0676100518498
h0157,FR,s1980,electricity,dem,72.3381924694322
h0158,FR,s1980,electricity,dem,70.2622858760256
h0159,FR,s1980,electricity,dem,68.275445216685
h0160,FR,s1980,electricity,dem,67.7149617002015
h0161,FR,s1980,electricity,dem,70.0627748870147
h0162,FR,s1980,electricity,dem,74.3334397221795
h0163,FR,s1980,electricity,dem,75.2439067551465
h0164,FR,s1980,electricity,dem,71.9412638980036
h0165,FR,s1980,electricity,dem,68.6050770848168
h0166,FR,s1980,electricity,dem,68.9958188430586
h0167,FR,s1980,electricity,dem,70.0923957661355
h0168,FR,s1980,electricity,dem,67.4105935683334
h0169,FR,s1980,electricity,dem,68.7806002793476
h0170,FR,s1980,electricity,dem,67.2911881914355
h0171,FR,s1980,electricity,dem,64.5349134661608
h0172,FR,s1980,electricity,dem,63.549248630996
h0173,FR,s1980,electricity,dem,65.4182761035234
h0174,FR,s1980,electricity,dem,69.6873255540729
h0175,FR,s1980,electricity,dem,74.1458310485784
h0176,FR,s1980,electricity,dem,76.1510508287982
h0177,FR,s1980,electricity,dem,77.3011607189081
h0178,FR,s1980,electricity,dem,77.5280563233036
h0179,FR,s1980,electricity,dem,77.6065453342927
h0180,FR,s1980,electricity,dem,77.6694024771498
h0181,FR,s1980,electricity,dem,75.9399848947322
h0182,FR,s1980,electricity,dem,73.8640783013256
h0183,FR,s1980,electricity,dem,71.877237641985
h0184,FR,s1980,electricity,dem,71.3167541255015
h0185,FR,s1980,electricity,dem,73.6645673123147
h0186,FR,s1980,electricity,dem,77.9352321474795
h0187,FR,s1980,electricity,dem,78.8456991804465
h0188,FR,s1980,electricity,dem,75.5430563233037
h0189,FR,s1980,electricity,dem,72.2068695101168
h0190,FR,s1980,electricity,dem,72.5976112683586
h0191,FR,s1980,electricity,dem,73.6941881914355
h0192,FR,s1980,electricity,dem,71.0123859936334
h0193,FR,s1980,electricity,dem,69.7499810301476
h0194,FR,s1980,electricity,dem,68.2605689422355
h0195,FR,s1980,electricity,dem,65.5042942169608
h0196,FR,s1980,electricity,dem,64.518629381796
h0197,FR,s1980,electricity,dem,66.3876568543234
h0198,FR,s1980,electricity,dem,70.6567063048729
h0199,FR,s1980,electricity,dem,75.1152117993784
h0200,FR,s1980,electricity,dem,77.1204315795982
h0201,FR,s1980,electricity,dem,78.2705414697081
h0202,FR,s1980,electricity,dem,78.4974370741036
h0203,FR,s1980,electricity,dem,78.5759260850927
h0204,FR,s1980,electricity,dem,78.6387832279498
h0205,FR,s1980,electricity,dem,76.9093656455322
h0206,FR,s1980,electricity,dem,74.8334590521256
h0207,FR,s1980,electricity,dem,72.846618392785
h0208,FR,s1980,electricity,dem,72.2861348763015
h0209,FR,s1980,electricity,dem,74.6339480631147
h0210,FR,s1980,electricity,dem,78.9046128982795
h0211,FR,s1980,electricity,dem,79.8150799312465
h0212,FR,s1980,electricity,dem,76.5124370741037
h0213,FR,s1980,electricity,dem,73.1762502609168
h0214,FR,s1980,electricity,dem,73.5669920191586
h0215,FR,s1980,electricity,dem,74.6635689422356
h0216,FR,s1980,electricity,dem,71.9817667444334
h0217,FR,s1980,electricity,dem,71.0696657140476
h0218,FR,s1980,electricity,dem,69.5802536261355
h0219,FR,s1980,electricity,dem,66.8239789008608
h0220,FR,s1980,electricity,dem,65.838314065696
h0221,FR,s1980,electricity,dem,67.7073415382234
h0222,FR,s1980,electricity,dem,71.9763909887729
h0223,FR,s1980,electricity,dem,76.4348964832784
h0224,FR,s1980,electricity,dem,78.4401162634982
h0225,FR,s1980,electricity,dem,79.5902261536081
h0226,FR,s1980,electricity,dem,79.8171217580036
h0227,FR,s1980,electricity,dem,79.8956107689927
h0228,FR,s1980,electricity,dem,79.9584679118498
h0229,FR,s1980,electricity,dem,78.2290503294322
h0230,FR,s1980,electricity,dem,76.1531437360256
h0231,FR,s1980,electricity,dem,74.166303076685
h0232,FR,s1980,electricity,dem,73.6058195602015
h0233,FR,s1980,electricity,dem,75.9536327470147
h0234,FR,s1980,electricity,dem,80.2242975821795
h0235,FR,s1980,electricity,dem,81.1347646151465
h0236,FR,s1980,electricity,dem,77.8321217580036
h0237,FR,s1980,electricity,dem,74.4959349448168
h0238,FR,s1980,electricity,dem,74.8866767030586
h0239,FR,s1980,electricity,dem,75.9832536261355
h0240,FR,s1980,electricity,dem,73.3014514283334
h0241,FR,s1980,electricity,dem,76.4328334040476
h0242,FR,s1980,electricity,dem,74.9434213161355
h0243,FR,s1980,electricity,dem,72.1871465908608
h0244,FR,s1980,electricity,dem,71.201481755696
h0245,FR,s1980,electricity,dem,73.0705092282235
h0246,FR,s1980,electricity,dem,77.3395586787729
h0247,FR,s1980,electricity,dem,81.7980641732784
h0248,FR,s1980,electricity,dem,83.8032839534982
h0249,FR,s1980,electricity,dem,84.9533938436081
h0250,FR,s1980,electricity,dem,85.1802894480036
h0251,FR,s1980,electricity,dem,85.2587784589927
h0252,FR,s1980,electricity,dem,85.3216356018498
h0253,FR,s1980,electricity,dem,83.5922180194322
h0254,FR,s1980,electricity,dem,81.5163114260256
h0255,FR,s1980,electricity,dem,79.529470766685
h0256,FR,s1980,electricity,dem,78.9689872502015
h0257,FR,s1980,electricity,dem,81.3168004370147
h0258,FR,s1980,electricity,dem,85.5874652721795
h0259,FR,s1980,electricity,dem,86.4979323051465
h0260,FR,s1980,electricity,dem,83.1952894480037
h0261,FR,s1980,electricity,dem,79.8591026348168
h0262,FR,s1980,electricity,dem,80.2498443930586
h0263,FR,s1980,electricity,dem,81.3464213161356
h0264,FR,s1980,electricity,dem,78.6646191183334
h0265,FR,s1980,electricity,dem,74.4138335500476
h0266,FR,s1980,electricity,dem,72.9244214621355
h0267,FR,s1980,electricity,dem,70.1681467368608
h0268,FR,s1980,electricity,dem,69.182481901696
h0269,FR,s1980,electricity,dem,71.0515093742234
h0270,FR,s1980,electricity,dem,75.3205588247729
h0271,FR,s1980,electricity,dem,79.7790643192784
h0272,FR,s1980,electricity,dem,81.7842840994982
h0273,FR,s1980,electricity,dem,82.9343939896081
h0274,FR,s1980,electricity,dem,83.1612895940036
h0275,FR,s1980,electricity,dem,83.2397786049927
h0276,FR,s1980,electricity,dem,83.3026357478498
h0277,FR,s1980,electricity,dem,81.5732181654322
h0278,FR,s1980,electricity,dem,79.4973115720256
h0279,FR,s1980,electricity,dem,77.510470912685
h0280,FR,s1980,electricity,dem,76.9499873962015
h0281,FR,s1980,electricity,dem,79.2978005830147
h0282,FR,s1980,electricity,dem,83.5684654181795
h0283,FR,s1980,electricity,dem,84.4789324511465
h0284,FR,s1980,electricity,dem,81.1762895940037
h0285,FR,s1980,electricity,dem,77.8401027808168
h0286,FR,s1980,electricity,dem,78.2308445390586
h0287,FR,s1980,electricity,dem,79.3274214621356
h0288,FR,s1980,electricity,dem,76.6456192643334
h0289,FR,s1980,electricity,dem,73.3518126921476
h0290,FR,s1980,electricity,dem,71.8624006042355
h0291,FR,s1980,electricity,dem,69.1061258789608
h0292,FR,s1980,electricity,dem,68.120461043796
h0293,FR,s1980,electricity,dem,69.9894885163234
h0294,FR,s1980,electricity,dem,74.2585379668729
h0295,FR,s1980,electricity,dem,78.7170434613784
h0296,FR,s1980,electricity,dem,80.7222632415982
h0297,FR,s1980,electricity,dem,81.872373131708
h0298,FR,s1980,electricity,dem,82.0992687361036
h0299,FR,s1980,electricity,dem,82.1777577470927
h0300,FR,s1980,electricity,dem,82.2406148899498
h0301,FR,s1980,electricity,dem,80.5111973075322
h0302,FR,s1980,electricity,dem,78.4352907141256
h0303,FR,s1980,electricity,dem,76.448450054785
h0304,FR,s1980,electricity,dem,75.8879665383015
h0305,FR,s1980,electricity,dem,78.2357797251147
h0306,FR,s1980,electricity,dem,82.5064445602795
h0307,FR,s1980,electricity,dem,83.4169115932465
h0308,FR,s1980,electricity,dem,80.1142687361037
h0309,FR,s1980,electricity,dem,76.7780819229168
h0310,FR,s1980,electricity,dem,77.1688236811586
h0311,FR,s1980,electricity,dem,78.2654006042355
h0312,FR,s1980,electricity,dem,75.5835984064334
h0313,FR,s1980,electricity,dem,77.7469883962476
h0314,FR,s1980,electricity,dem,76.2575763083355
h0315,FR,s1980,electricity,dem,73.5013015830608
h0316,FR,s1980,electricity,dem,72.515636747896
h0317,FR,s1980,electricity,dem,74.3846642204234
h0318,FR,s1980,electricity,dem,78.6537136709729
h0319,FR,s1980,electricity,dem,83.1122191654784
h0320,FR,s1980,electricity,dem,85.1174389456982
h0321,FR,s1980,electricity,dem,86.2675488358081
h0322,FR,s1980,electricity,dem,86.4944444402036
h0323,FR,s1980,electricity,dem,86.5729334511927
h0324,FR,s1980,electricity,dem,86.6357905940498
h0325,FR,s1980,electricity,dem,84.9063730116322
h0326,FR,s1980,electricity,dem,82.8304664182256
h0327,FR,s1980,electricity,dem,80.843625758885
h0328,FR,s1980,electricity,dem,80.2831422424015
h0329,FR,s1980,electricity,dem,82.6309554292147
h0330,FR,s1980,electricity,dem,86.9016202643795
h0331,FR,s1980,electricity,dem,87.8120872973465
h0332,FR,s1980,electricity,dem,84.5094444402036
h0333,FR,s1980,electricity,dem,81.1732576270168
h0334,FR,s1980,electricity,dem,81.5639993852586
h0335,FR,s1980,electricity,dem,82.6605763083355
h0336,FR,s1980,electricity,dem,79.9787741105334
h0337,FR,s1980,electricity,dem,77.4918508324476
h0338,FR,s1980,electricity,dem,76.0024387445355
h0339,FR,s1980,electricity,dem,73.2461640192608
h0340,FR,s1980,electricity,dem,72.260499184096
h0341,FR,s1980,electricity,dem,74.1295266566234
h0342,FR,s1980,electricity,dem,78.3985761071729
h0343,FR,s1980,electricity,dem,82.8570816016784
h0344,FR,s1980,electricity,dem,84.8623013818982
h0345,FR,s1980,electricity,dem,86.0124112720081
h0346,FR,s1980,electricity,dem,86.2393068764036
h0347,FR,s1980,electricity,dem,86.3177958873927
