timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0001,FR,s2012,electricity,dem,44.2743899695476
h0002,FR,s2012,electricity,dem,42.7849778816355
h0003,FR,s2012,electricity,dem,40.0287031563608
h0004,FR,s2012,electricity,dem,39.043038321196
h0005,FR,s2012,electricity,dem,40.9120657937234
h0006,FR,s2012,electricity,dem,45.1811152442729
h0007,FR,s2012,electricity,dem,49.6396207387784
h0008,FR,s2012,electricity,dem,51.6448405189982
h0009,FR,s2012,electricity,dem,52.7949504091081
h0010,FR,s2012,electricity,dem,53.0218460135036
h0011,FR,s2012,electricity,dem,53.1003350244927
h0012,FR,s2012,electricity,dem,53.1631921673498
h0013,FR,s2012,electricity,dem,51.4337745849322
h0014,FR,s2012,electricity,dem,49.3578679915256
h0015,FR,s2012,electricity,dem,47.371027332185
h0016,FR,s2012,electricity,dem,46.8105438157015
h0017,FR,s2012,electricity,dem,49.1583570025147
h0018,FR,s2012,electricity,dem,53.4290218376795
h0019,FR,s2012,electricity,dem,54.3394888706465
h0020,FR,s2012,electricity,dem,51.0368460135037
h0021,FR,s2012,electricity,dem,47.7006592003168
h0022,FR,s2012,electricity,dem,48.0914009585586
h0023,FR,s2012,electricity,dem,49.1879778816356
h0024,FR,s2012,electricity,dem,46.5061756838334
h0025,FR,s2012,electricity,dem,57.8816937147476
h0026,FR,s2012,electricity,dem,56.3922816268355
h0027,FR,s2012,electricity,dem,53.6360069015608
h0028,FR,s2012,electricity,dem,52.650342066396
h0029,FR,s2012,electricity,dem,54.5193695389234
h0030,FR,s2012,electricity,dem,58.7884189894729
h0031,FR,s2012,electricity,dem,63.2469244839784
h0032,FR,s2012,electricity,dem,65.2521442641982
h0033,FR,s2012,electricity,dem,66.4022541543081
h0034,FR,s2012,electricity,dem,66.6291497587036
h0035,FR,s2012,electricity,dem,66.7076387696927
h0036,FR,s2012,electricity,dem,66.7704959125498
h0037,FR,s2012,electricity,dem,65.0410783301322
h0038,FR,s2012,electricity,dem,62.9651717367256
h0039,FR,s2012,electricity,dem,60.978331077385
h0040,FR,s2012,electricity,dem,60.4178475609015
h0041,FR,s2012,electricity,dem,62.7656607477147
h0042,FR,s2012,electricity,dem,67.0363255828795
h0043,FR,s2012,electricity,dem,67.9467926158465
h0044,FR,s2012,electricity,dem,64.6441497587036
h0045,FR,s2012,electricity,dem,61.3079629455168
h0046,FR,s2012,electricity,dem,61.6987047037586
h0047,FR,s2012,electricity,dem,62.7952816268356
h0048,FR,s2012,electricity,dem,60.1134794290334
h0049,FR,s2012,electricity,dem,58.8197125881476
h0050,FR,s2012,electricity,dem,57.3303005002355
h0051,FR,s2012,electricity,dem,54.5740257749608
h0052,FR,s2012,electricity,dem,53.588360939796
h0053,FR,s2012,electricity,dem,55.4573884123234
h0054,FR,s2012,electricity,dem,59.7264378628729
h0055,FR,s2012,electricity,dem,64.1849433573784
h0056,FR,s2012,electricity,dem,66.1901631375982
h0057,FR,s2012,electricity,dem,67.3402730277081
h0058,FR,s2012,electricity,dem,67.5671686321036
h0059,FR,s2012,electricity,dem,67.6456576430927
h0060,FR,s2012,electricity,dem,67.7085147859498
h0061,FR,s2012,electricity,dem,65.9790972035322
h0062,FR,s2012,electricity,dem,63.9031906101256
h0063,FR,s2012,electricity,dem,61.916349950785
h0064,FR,s2012,electricity,dem,61.3558664343015
h0065,FR,s2012,electricity,dem,63.7036796211147
h0066,FR,s2012,electricity,dem,67.9743444562795
h0067,FR,s2012,electricity,dem,68.8848114892465
h0068,FR,s2012,electricity,dem,65.5821686321037
h0069,FR,s2012,electricity,dem,62.2459818189168
h0070,FR,s2012,electricity,dem,62.6367235771586
h0071,FR,s2012,electricity,dem,63.7333005002355
h0072,FR,s2012,electricity,dem,61.0514983024334
h0073,FR,s2012,electricity,dem,60.4447282409476
h0074,FR,s2012,electricity,dem,58.9553161530355
h0075,FR,s2012,electricity,dem,56.1990414277608
h0076,FR,s2012,electricity,dem,55.213376592596
h0077,FR,s2012,electricity,dem,57.0824040651234
h0078,FR,s2012,electricity,dem,61.3514535156729
h0079,FR,s2012,electricity,dem,65.8099590101784
h0080,FR,s2012,electricity,dem,67.8151787903982
h0081,FR,s2012,electricity,dem,68.9652886805081
h0082,FR,s2012,electricity,dem,69.1921842849036
h0083,FR,s2012,electricity,dem,69.2706732958927
h0084,FR,s2012,electricity,dem,69.3335304387498
h0085,FR,s2012,electricity,dem,67.6041128563322
h0086,FR,s2012,electricity,dem,65.5282062629256
h0087,FR,s2012,electricity,dem,63.541365603585
h0088,FR,s2012,electricity,dem,62.9808820871015
h0089,FR,s2012,electricity,dem,65.3286952739147
h0090,FR,s2012,electricity,dem,69.5993601090795
h0091,FR,s2012,electricity,dem,70.5098271420465
h0092,FR,s2012,electricity,dem,67.2071842849037
h0093,FR,s2012,electricity,dem,63.8709974717168
h0094,FR,s2012,electricity,dem,64.2617392299586
h0095,FR,s2012,electricity,dem,65.3583161530356
h0096,FR,s2012,electricity,dem,62.6765139552334
h0097,FR,s2012,electricity,dem,57.5675733487476
h0098,FR,s2012,electricity,dem,56.0781612608355
h0099,FR,s2012,electricity,dem,53.3218865355608
h0100,FR,s2012,electricity,dem,52.336221700396
h0101,FR,s2012,electricity,dem,54.2052491729234
h0102,FR,s2012,electricity,dem,58.4742986234729
h0103,FR,s2012,electricity,dem,62.9328041179784
h0104,FR,s2012,electricity,dem,64.9380238981982
h0105,FR,s2012,electricity,dem,66.0881337883081
h0106,FR,s2012,electricity,dem,66.3150293927036
h0107,FR,s2012,electricity,dem,66.3935184036927
h0108,FR,s2012,electricity,dem,66.4563755465498
h0109,FR,s2012,electricity,dem,64.7269579641322
h0110,FR,s2012,electricity,dem,62.6510513707256
h0111,FR,s2012,electricity,dem,60.664210711385
h0112,FR,s2012,electricity,dem,60.1037271949015
h0113,FR,s2012,electricity,dem,62.4515403817147
h0114,FR,s2012,electricity,dem,66.7222052168795
h0115,FR,s2012,electricity,dem,67.6326722498465
h0116,FR,s2012,electricity,dem,64.3300293927036
h0117,FR,s2012,electricity,dem,60.9938425795168
h0118,FR,s2012,electricity,dem,61.3845843377586
h0119,FR,s2012,electricity,dem,62.4811612608356
h0120,FR,s2012,electricity,dem,59.7993590630334
h0121,FR,s2012,electricity,dem,63.6979852012476
h0122,FR,s2012,electricity,dem,62.2085731133355
h0123,FR,s2012,electricity,dem,59.4522983880608
h0124,FR,s2012,electricity,dem,58.466633552896
h0125,FR,s2012,electricity,dem,60.3356610254234
