timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,DE,s1998,wind,avaConv,0.159562636536189
h0002,DE,s1998,wind,avaConv,0.135417834015231
h0003,DE,s1998,wind,avaConv,0.126101519442587
h0004,DE,s1998,wind,avaConv,0.120649901094273
h0005,DE,s1998,wind,avaConv,0.113134854051252
h0006,DE,s1998,wind,avaConv,0.121153407073072
h0007,DE,s1998,wind,avaConv,0.136979629946185
h0008,DE,s1998,wind,avaConv,0.158513337841941
h0009,DE,s1998,wind,avaConv,0.193596888142292
h0010,DE,s1998,wind,avaConv,0.250725870685069
h0011,DE,s1998,wind,avaConv,0.271184983368495
h0012,DE,s1998,wind,avaConv,0.282831785506331
h0013,DE,s1998,wind,avaConv,0.292874511319272
h0014,DE,s1998,wind,avaConv,0.2660843287657
h0015,DE,s1998,wind,avaConv,0.228616372438158
h0016,DE,s1998,wind,avaConv,0.243023808461579
h0017,DE,s1998,wind,avaConv,0.305082855853769
h0018,DE,s1998,wind,avaConv,0.366260867676861
h0019,DE,s1998,wind,avaConv,0.427129719204878
h0020,DE,s1998,wind,avaConv,0.489241533300979
h0021,DE,s1998,wind,avaConv,0.555308588339249
h0022,DE,s1998,wind,avaConv,0.614541201269325
h0023,DE,s1998,wind,avaConv,0.656353699500703
h0024,DE,s1998,wind,avaConv,0.697435306467285
h0025,DE,s1998,wind,avaConv,0.748843063663454
h0026,DE,s1998,wind,avaConv,0.770894527010021
h0027,DE,s1998,wind,avaConv,0.799970814937167
h0028,DE,s1998,wind,avaConv,0.827952917336106
h0029,DE,s1998,wind,avaConv,0.867501585376171
h0030,DE,s1998,wind,avaConv,0.907004928741884
h0031,DE,s1998,wind,avaConv,0.939009813819163
h0032,DE,s1998,wind,avaConv,0.954867917694105
h0033,DE,s1998,wind,avaConv,0.957341699730409
h0034,DE,s1998,wind,avaConv,0.955786267731447
h0035,DE,s1998,wind,avaConv,0.95822957503798
h0036,DE,s1998,wind,avaConv,0.936785543023704
h0037,DE,s1998,wind,avaConv,0.90346650881268
h0038,DE,s1998,wind,avaConv,0.880002520713647
h0039,DE,s1998,wind,avaConv,0.838818768040233
h0040,DE,s1998,wind,avaConv,0.796309099623013
h0041,DE,s1998,wind,avaConv,0.86787938493352
h0042,DE,s1998,wind,avaConv,0.886971005272212
h0043,DE,s1998,wind,avaConv,0.884030235701053
h0044,DE,s1998,wind,avaConv,0.856024856400383
h0045,DE,s1998,wind,avaConv,0.85455917141771
h0046,DE,s1998,wind,avaConv,0.825467768264554
h0047,DE,s1998,wind,avaConv,0.812291529735666
h0048,DE,s1998,wind,avaConv,0.803618046468696
