timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,DE,s1996,wind,avaConv,0.404983802277128
h0002,DE,s1996,wind,avaConv,0.391289992177227
h0003,DE,s1996,wind,avaConv,0.395540146373757
h0004,DE,s1996,wind,avaConv,0.404928978342062
h0005,DE,s1996,wind,avaConv,0.396671515549212
h0006,DE,s1996,wind,avaConv,0.380456421298767
h0007,DE,s1996,wind,avaConv,0.378963167970186
h0008,DE,s1996,wind,avaConv,0.386122724388222
h0009,DE,s1996,wind,avaConv,0.401549966607431
h0010,DE,s1996,wind,avaConv,0.46946822927451
h0011,DE,s1996,wind,avaConv,0.484312176619962
h0012,DE,s1996,wind,avaConv,0.490379724454866
h0013,DE,s1996,wind,avaConv,0.492938306690773
h0014,DE,s1996,wind,avaConv,0.485548433817085
h0015,DE,s1996,wind,avaConv,0.461296063461256
h0016,DE,s1996,wind,avaConv,0.395759424206956
h0017,DE,s1996,wind,avaConv,0.415922238758715
h0018,DE,s1996,wind,avaConv,0.449157103664124
h0019,DE,s1996,wind,avaConv,0.444407148150007
h0020,DE,s1996,wind,avaConv,0.436562061495564
h0021,DE,s1996,wind,avaConv,0.417457111065348
h0022,DE,s1996,wind,avaConv,0.384156412406726
h0023,DE,s1996,wind,avaConv,0.363398611067166
h0024,DE,s1996,wind,avaConv,0.362198359846003
h0025,DE,s1996,wind,avaConv,0.352061572029188
h0026,DE,s1996,wind,avaConv,0.347984686672791
h0027,DE,s1996,wind,avaConv,0.352493686231357
h0028,DE,s1996,wind,avaConv,0.350017995397373
h0029,DE,s1996,wind,avaConv,0.327256502145536
h0030,DE,s1996,wind,avaConv,0.302938126218257
h0031,DE,s1996,wind,avaConv,0.267707653966987
h0032,DE,s1996,wind,avaConv,0.225825581604826
h0033,DE,s1996,wind,avaConv,0.2048618166357
h0034,DE,s1996,wind,avaConv,0.206897648984427
h0035,DE,s1996,wind,avaConv,0.196939457583708
h0036,DE,s1996,wind,avaConv,0.157126877455355
h0037,DE,s1996,wind,avaConv,0.139701254970898
h0038,DE,s1996,wind,avaConv,0.132807986570439
