timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0001,DE,s2002,electricity,dem,53.0939686792051
h0002,DE,s2002,electricity,dem,52.143192580304
h0003,DE,s2002,electricity,dem,52.1882296682161
h0004,DE,s2002,electricity,dem,53.0305030198645
h0005,DE,s2002,electricity,dem,54.9769549429414
h0006,DE,s2002,electricity,dem,59.9640126352491
h0007,DE,s2002,electricity,dem,65.1585126352491
h0008,DE,s2002,electricity,dem,67.9006857121721
h0009,DE,s2002,electricity,dem,69.2736857121721
h0010,DE,s2002,electricity,dem,70.5678450528315
h0011,DE,s2002,electricity,dem,71.5596541187656
h0012,DE,s2002,electricity,dem,71.0752488989853
h0013,DE,s2002,electricity,dem,69.8944054923919
h0014,DE,s2002,electricity,dem,68.6723793934908
h0015,DE,s2002,electricity,dem,68.0650552176667
h0016,DE,s2002,electricity,dem,68.5197159319524
h0017,DE,s2002,electricity,dem,70.9600428550293
h0018,DE,s2002,electricity,dem,71.7566197781062
h0019,DE,s2002,electricity,dem,70.3242791187656
h0020,DE,s2002,electricity,dem,66.7141582396447
h0021,DE,s2002,electricity,dem,63.7738560418425
h0022,DE,s2002,electricity,dem,61.9527090638205
h0023,DE,s2002,electricity,dem,58.1943217011831
h0024,DE,s2002,electricity,dem,55.0736637341502
h0025,DE,s2002,electricity,dem,53.7695759043051
h0026,DE,s2002,electricity,dem,52.818799805404
h0027,DE,s2002,electricity,dem,52.8638368933162
h0028,DE,s2002,electricity,dem,53.7061102449645
h0029,DE,s2002,electricity,dem,55.6525621680414
h0030,DE,s2002,electricity,dem,60.6396198603491
h0031,DE,s2002,electricity,dem,65.8341198603491
h0032,DE,s2002,electricity,dem,68.5762929372721
h0033,DE,s2002,electricity,dem,69.9492929372722
h0034,DE,s2002,electricity,dem,71.2434522779315
h0035,DE,s2002,electricity,dem,72.2352613438656
h0036,DE,s2002,electricity,dem,71.7508561240854
h0037,DE,s2002,electricity,dem,70.5700127174919
h0038,DE,s2002,electricity,dem,69.3479866185908
h0039,DE,s2002,electricity,dem,68.7406624427667
h0040,DE,s2002,electricity,dem,69.1953231570524
h0041,DE,s2002,electricity,dem,71.6356500801293
h0042,DE,s2002,electricity,dem,72.4322270032062
h0043,DE,s2002,electricity,dem,70.9998863438656
h0044,DE,s2002,electricity,dem,67.3897654647447
h0045,DE,s2002,electricity,dem,64.4494632669425
h0046,DE,s2002,electricity,dem,62.6283162889205
h0047,DE,s2002,electricity,dem,58.8699289262831
h0048,DE,s2002,electricity,dem,55.7492709592502
h0049,DE,s2002,electricity,dem,54.8624240238051
h0050,DE,s2002,electricity,dem,53.911647924904
h0051,DE,s2002,electricity,dem,53.9566850128161
h0052,DE,s2002,electricity,dem,54.7989583644645
h0053,DE,s2002,electricity,dem,56.7454102875414
h0054,DE,s2002,electricity,dem,61.7324679798491
h0055,DE,s2002,electricity,dem,66.9269679798491
h0056,DE,s2002,electricity,dem,69.6691410567721
h0057,DE,s2002,electricity,dem,71.0421410567721
h0058,DE,s2002,electricity,dem,72.3363003974315
h0059,DE,s2002,electricity,dem,73.3281094633656
h0060,DE,s2002,electricity,dem,72.8437042435853
h0061,DE,s2002,electricity,dem,71.6628608369919
h0062,DE,s2002,electricity,dem,70.4408347380908
h0063,DE,s2002,electricity,dem,69.8335105622667
h0064,DE,s2002,electricity,dem,70.2881712765524
h0065,DE,s2002,electricity,dem,72.7284981996293
h0066,DE,s2002,electricity,dem,73.5250751227062
h0067,DE,s2002,electricity,dem,72.0927344633656
h0068,DE,s2002,electricity,dem,68.4826135842447
h0069,DE,s2002,electricity,dem,65.5423113864425
h0070,DE,s2002,electricity,dem,63.7211644084205
h0071,DE,s2002,electricity,dem,59.9627770457831
h0072,DE,s2002,electricity,dem,56.8421190787502
h0073,DE,s2002,electricity,dem,54.6025581354051
h0074,DE,s2002,electricity,dem,53.651782036504
h0075,DE,s2002,electricity,dem,53.6968191244161
h0076,DE,s2002,electricity,dem,54.5390924760645
h0077,DE,s2002,electricity,dem,56.4855443991414
h0078,DE,s2002,electricity,dem,61.4726020914491
h0079,DE,s2002,electricity,dem,66.6671020914491
h0080,DE,s2002,electricity,dem,69.4092751683722
h0081,DE,s2002,electricity,dem,70.7822751683721
h0082,DE,s2002,electricity,dem,72.0764345090315
