timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,BE,s1989,solar,avaConv,0.0
h0002,BE,s1989,solar,avaConv,0.0
h0003,BE,s1989,solar,avaConv,0.0
h0004,BE,s1989,solar,avaConv,0.0
h0005,BE,s1989,solar,avaConv,0.0
h0006,BE,s1989,solar,avaConv,0.0
h0007,BE,s1989,solar,avaConv,0.0
h0008,BE,s1989,solar,avaConv,0.000189939435957408
h0009,BE,s1989,solar,avaConv,0.022711830011798
h0010,BE,s1989,solar,avaConv,0.0697192227932381
h0011,BE,s1989,solar,avaConv,0.110236786117757
h0012,BE,s1989,solar,avaConv,0.135088724667295
h0013,BE,s1989,solar,avaConv,0.136388930549178
h0014,BE,s1989,solar,avaConv,0.104317942273603
h0015,BE,s1989,solar,avaConv,0.0493679522503437
h0016,BE,s1989,solar,avaConv,0.0050421011786938
h0017,BE,s1989,solar,avaConv,0.0
h0018,BE,s1989,solar,avaConv,0.0
h0019,BE,s1989,solar,avaConv,0.0
h0020,BE,s1989,solar,avaConv,0.0
h0021,BE,s1989,solar,avaConv,0.0
h0022,BE,s1989,solar,avaConv,0.0
h0023,BE,s1989,solar,avaConv,0.0
h0024,BE,s1989,solar,avaConv,0.0
h0025,BE,s1989,solar,avaConv,0.0
h0026,BE,s1989,solar,avaConv,0.0
h0027,BE,s1989,solar,avaConv,0.0
h0028,BE,s1989,solar,avaConv,0.0
h0029,BE,s1989,solar,avaConv,0.0
h0030,BE,s1989,solar,avaConv,0.0
h0031,BE,s1989,solar,avaConv,0.0
h0032,BE,s1989,solar,avaConv,0.000267217650599432
h0033,BE,s1989,solar,avaConv,0.0263501156927508
h0034,BE,s1989,solar,avaConv,0.0871689903931915
h0035,BE,s1989,solar,avaConv,0.153806416228761
h0036,BE,s1989,solar,avaConv,0.198421817199932
h0037,BE,s1989,solar,avaConv,0.190962415770439
h0038,BE,s1989,solar,avaConv,0.134827015342537
h0039,BE,s1989,solar,avaConv,0.0585171039576983
h0040,BE,s1989,solar,avaConv,0.00554980670397486
h0041,BE,s1989,solar,avaConv,0.0
h0042,BE,s1989,solar,avaConv,0.0
h0043,BE,s1989,solar,avaConv,0.0
h0044,BE,s1989,solar,avaConv,0.0
h0045,BE,s1989,solar,avaConv,0.0
