timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,NL,s1996,wind,avaConv,0.357859201641028
h0002,NL,s1996,wind,avaConv,0.350566594889723
h0003,NL,s1996,wind,avaConv,0.348842655833067
h0004,NL,s1996,wind,avaConv,0.356486380220021
h0005,NL,s1996,wind,avaConv,0.370497631834346
h0006,NL,s1996,wind,avaConv,0.393881751135758
h0007,NL,s1996,wind,avaConv,0.433092950670034
h0008,NL,s1996,wind,avaConv,0.457936725917684
h0009,NL,s1996,wind,avaConv,0.459021352174065
h0010,NL,s1996,wind,avaConv,0.487566743705985
h0011,NL,s1996,wind,avaConv,0.471815950533457
h0012,NL,s1996,wind,avaConv,0.43459734794963
h0013,NL,s1996,wind,avaConv,0.441734512371072
h0014,NL,s1996,wind,avaConv,0.471132256592662
h0015,NL,s1996,wind,avaConv,0.50243743987004
h0016,NL,s1996,wind,avaConv,0.520226373726834
h0017,NL,s1996,wind,avaConv,0.531341749831888
h0018,NL,s1996,wind,avaConv,0.52496511140793
h0019,NL,s1996,wind,avaConv,0.486929223346719
h0020,NL,s1996,wind,avaConv,0.448757520548947
h0021,NL,s1996,wind,avaConv,0.444025891665321
h0022,NL,s1996,wind,avaConv,0.446773136897876
h0023,NL,s1996,wind,avaConv,0.470747675858579
h0024,NL,s1996,wind,avaConv,0.487064487885938
h0025,NL,s1996,wind,avaConv,0.490140822973573
h0026,NL,s1996,wind,avaConv,0.47149400379292
h0027,NL,s1996,wind,avaConv,0.473836555516176
h0028,NL,s1996,wind,avaConv,0.48654439799318
h0029,NL,s1996,wind,avaConv,0.489112652051762
h0030,NL,s1996,wind,avaConv,0.501339608263662
h0031,NL,s1996,wind,avaConv,0.501370006933425
h0032,NL,s1996,wind,avaConv,0.464194491987051
h0033,NL,s1996,wind,avaConv,0.423664418538743
h0034,NL,s1996,wind,avaConv,0.397480478348993
h0035,NL,s1996,wind,avaConv,0.338618352003133
h0036,NL,s1996,wind,avaConv,0.267398667094835
h0037,NL,s1996,wind,avaConv,0.212348345257206
h0038,NL,s1996,wind,avaConv,0.189885181658939
h0039,NL,s1996,wind,avaConv,0.175141586810011
h0040,NL,s1996,wind,avaConv,0.146173112381099
h0041,NL,s1996,wind,avaConv,0.163810785951492
h0042,NL,s1996,wind,avaConv,0.183984255042579
h0043,NL,s1996,wind,avaConv,0.168998366012817
h0044,NL,s1996,wind,avaConv,0.127107381969708
h0045,NL,s1996,wind,avaConv,0.0940177786222526
h0046,NL,s1996,wind,avaConv,0.081935986963132
h0047,NL,s1996,wind,avaConv,0.0850939310371802
h0048,NL,s1996,wind,avaConv,0.0926826028403211
h0049,NL,s1996,wind,avaConv,0.0961107345993679
h0050,NL,s1996,wind,avaConv,0.0941231724314627
h0051,NL,s1996,wind,avaConv,0.0809894399302181
h0052,NL,s1996,wind,avaConv,0.0652002913547683
h0053,NL,s1996,wind,avaConv,0.0604733402765457
h0054,NL,s1996,wind,avaConv,0.0732486649048209
h0055,NL,s1996,wind,avaConv,0.0930599544099843
h0056,NL,s1996,wind,avaConv,0.120594476041233
h0057,NL,s1996,wind,avaConv,0.147162119035952
h0058,NL,s1996,wind,avaConv,0.175866722713506
h0059,NL,s1996,wind,avaConv,0.167360303025415
h0060,NL,s1996,wind,avaConv,0.116031914270909
h0061,NL,s1996,wind,avaConv,0.103069964403231
h0062,NL,s1996,wind,avaConv,0.10465240667879
h0063,NL,s1996,wind,avaConv,0.113821591442214
h0064,NL,s1996,wind,avaConv,0.121977112866198
h0065,NL,s1996,wind,avaConv,0.181393196050484
h0066,NL,s1996,wind,avaConv,0.225571127977673
h0067,NL,s1996,wind,avaConv,0.241288633067297
h0068,NL,s1996,wind,avaConv,0.248656694188911
h0069,NL,s1996,wind,avaConv,0.275711426225056
h0070,NL,s1996,wind,avaConv,0.297994285774465
h0071,NL,s1996,wind,avaConv,0.286352153417388
h0072,NL,s1996,wind,avaConv,0.246353747324138
h0073,NL,s1996,wind,avaConv,0.252931049756991
h0074,NL,s1996,wind,avaConv,0.310068994390948
h0075,NL,s1996,wind,avaConv,0.365252761882294
h0076,NL,s1996,wind,avaConv,0.37790304319842
h0077,NL,s1996,wind,avaConv,0.344907817339305
h0078,NL,s1996,wind,avaConv,0.361909359867216
h0079,NL,s1996,wind,avaConv,0.453362199185393
h0080,NL,s1996,wind,avaConv,0.542683014090284
h0081,NL,s1996,wind,avaConv,0.565110341778563
h0082,NL,s1996,wind,avaConv,0.626472195509122
h0083,NL,s1996,wind,avaConv,0.602240799812526
h0084,NL,s1996,wind,avaConv,0.592321554822532
h0085,NL,s1996,wind,avaConv,0.574974309856167
h0086,NL,s1996,wind,avaConv,0.561157342510182
h0087,NL,s1996,wind,avaConv,0.511631851895782
h0088,NL,s1996,wind,avaConv,0.530611526676851
h0089,NL,s1996,wind,avaConv,0.73894165965929
h0090,NL,s1996,wind,avaConv,0.858432481503699
h0091,NL,s1996,wind,avaConv,0.889484584044684
h0092,NL,s1996,wind,avaConv,0.892135658209462
h0093,NL,s1996,wind,avaConv,0.878310302587014
h0094,NL,s1996,wind,avaConv,0.876635899599958
h0095,NL,s1996,wind,avaConv,0.881861637996186
h0096,NL,s1996,wind,avaConv,0.860689219169052
h0097,NL,s1996,wind,avaConv,0.800685612009122
h0098,NL,s1996,wind,avaConv,0.746672740702378
h0099,NL,s1996,wind,avaConv,0.738240608422228
h0100,NL,s1996,wind,avaConv,0.759022714607122
h0101,NL,s1996,wind,avaConv,0.794443191635099
h0102,NL,s1996,wind,avaConv,0.808726809056466
h0103,NL,s1996,wind,avaConv,0.813907613172985
h0104,NL,s1996,wind,avaConv,0.816161391131898
h0105,NL,s1996,wind,avaConv,0.833482158690281
h0106,NL,s1996,wind,avaConv,0.867760047604843
h0107,NL,s1996,wind,avaConv,0.862833906673173
h0108,NL,s1996,wind,avaConv,0.903419404966683
h0109,NL,s1996,wind,avaConv,0.888058086277559
h0110,NL,s1996,wind,avaConv,0.864525686719323
h0111,NL,s1996,wind,avaConv,0.832620824288093
h0112,NL,s1996,wind,avaConv,0.842579762864206
h0113,NL,s1996,wind,avaConv,0.866713277283848
h0114,NL,s1996,wind,avaConv,0.901667706299271
