timestep_4,region_4,technology_2,parameter,value
hh0001,70AL,heatpumpAir,effConv,2.90316264212754
hh0002,70AL,heatpumpAir,effConv,3.5286083243919872
hh0003,70AL,heatpumpAir,effConv,3.49334605107961
hh0004,70AL,heatpumpAir,effConv,3.8122597200405473
hh0005,70AL,heatpumpAir,effConv,3.954246651612535
hh0006,70AL,heatpumpAir,effConv,3.8771511169564703
hh0007,70AL,heatpumpAir,effConv,3.959115191833755
hh0008,70AL,heatpumpAir,effConv,4.02424243578044
hh0009,70AL,heatpumpAir,effConv,4.06
hh0010,70AL,heatpumpAir,effConv,4.06
hh0011,70AL,heatpumpAir,effConv,4.06
hh0012,70AL,heatpumpAir,effConv,4.06
hh0013,70AL,heatpumpAir,effConv,4.06
hh0014,70AL,heatpumpAir,effConv,4.06
hh0015,70AL,heatpumpAir,effConv,4.06
hh0016,70AL,heatpumpAir,effConv,4.06
hh0017,70AL,heatpumpAir,effConv,4.06
hh0018,70AL,heatpumpAir,effConv,4.0524493339267496
hh0019,70AL,heatpumpAir,effConv,3.939042038441575
hh0020,70AL,heatpumpAir,effConv,3.9781179902121746
hh0021,70AL,heatpumpAir,effConv,3.350407964025547
hh0022,70AL,heatpumpAir,effConv,3.8395336277503453
hh0023,70AL,heatpumpAir,effConv,2.6841651768177273
hh0024,70AL,heatpumpAir,effConv,3.5057800810569004
hh0001,79NO,heatpumpAir,effConv,2.854470114841347
hh0002,79NO,heatpumpAir,effConv,3.53484184926786
hh0003,79NO,heatpumpAir,effConv,3.451613651544755
hh0004,79NO,heatpumpAir,effConv,3.649714007655265
hh0005,79NO,heatpumpAir,effConv,3.73843837906053
hh0006,79NO,heatpumpAir,effConv,3.4989386164094824
hh0007,79NO,heatpumpAir,effConv,3.6581005184865374
hh0008,79NO,heatpumpAir,effConv,3.8742203852744197
hh0009,79NO,heatpumpAir,effConv,4.04638767338537
hh0010,79NO,heatpumpAir,effConv,4.06
hh0011,79NO,heatpumpAir,effConv,4.06
hh0012,79NO,heatpumpAir,effConv,4.06
hh0013,79NO,heatpumpAir,effConv,4.06
hh0014,79NO,heatpumpAir,effConv,4.06
hh0015,79NO,heatpumpAir,effConv,4.06
hh0016,79NO,heatpumpAir,effConv,4.06
hh0017,79NO,heatpumpAir,effConv,4.029406866801935
hh0018,79NO,heatpumpAir,effConv,4.008256868933588
hh0019,79NO,heatpumpAir,effConv,3.8355346339766974
hh0020,79NO,heatpumpAir,effConv,3.7437623712788923
hh0021,79NO,heatpumpAir,effConv,3.453525055534473
hh0022,79NO,heatpumpAir,effConv,3.5576196776288147
hh0023,79NO,heatpumpAir,effConv,2.45
hh0024,79NO,heatpumpAir,effConv,3.164584323004007
hh0001,80NO,heatpumpAir,effConv,2.854470114841347
hh0002,80NO,heatpumpAir,effConv,3.53484184926786
hh0003,80NO,heatpumpAir,effConv,3.451613651544755
hh0004,80NO,heatpumpAir,effConv,3.649714007655265
hh0005,80NO,heatpumpAir,effConv,3.73843837906053
hh0006,80NO,heatpumpAir,effConv,3.4989386164094824
hh0007,80NO,heatpumpAir,effConv,3.6581005184865374
hh0008,80NO,heatpumpAir,effConv,3.8742203852744197
hh0009,80NO,heatpumpAir,effConv,4.04638767338537
hh0010,80NO,heatpumpAir,effConv,4.06
hh0011,80NO,heatpumpAir,effConv,4.06
hh0012,80NO,heatpumpAir,effConv,4.06
hh0013,80NO,heatpumpAir,effConv,4.06
hh0014,80NO,heatpumpAir,effConv,4.06
hh0015,80NO,heatpumpAir,effConv,4.06
hh0016,80NO,heatpumpAir,effConv,4.06
hh0017,80NO,heatpumpAir,effConv,4.029406866801935
hh0018,80NO,heatpumpAir,effConv,4.008256868933588
hh0019,80NO,heatpumpAir,effConv,3.8355346339766974
hh0020,80NO,heatpumpAir,effConv,3.7437623712788923
hh0021,80NO,heatpumpAir,effConv,3.453525055534473
