timestep_6,region_1,technology_1,scenario_1,parameter,value
h0001,AT,solar,scr2004,avaConv,0.0
h0002,AT,solar,scr2004,avaConv,0.0
h0003,AT,solar,scr2004,avaConv,0.0
h0004,AT,solar,scr2004,avaConv,0.0
h0005,AT,solar,scr2004,avaConv,0.0
h0006,AT,solar,scr2004,avaConv,0.0
h0007,AT,solar,scr2004,avaConv,0.0
h0008,AT,solar,scr2004,avaConv,0.010547990499104102
h0009,AT,solar,scr2004,avaConv,0.08439755859880527
h0010,AT,solar,scr2004,avaConv,0.17483031414033617
h0011,AT,solar,scr2004,avaConv,0.19493840759383468
h0012,AT,solar,scr2004,avaConv,0.18031964698307018
h0013,AT,solar,scr2004,avaConv,0.33199210804821166
h0014,AT,solar,scr2004,avaConv,0.6158146169967283
h0015,AT,solar,scr2004,avaConv,0.8211193861621007
h0016,AT,solar,scr2004,avaConv,0.4805205880573932
h0017,AT,solar,scr2004,avaConv,0.16370197206024298
h0018,AT,solar,scr2004,avaConv,0.001627229897062518
h0019,AT,solar,scr2004,avaConv,0.0
h0020,AT,solar,scr2004,avaConv,0.0
h0021,AT,solar,scr2004,avaConv,0.0
h0022,AT,solar,scr2004,avaConv,0.0
h0023,AT,solar,scr2004,avaConv,0.0
h0024,AT,solar,scr2004,avaConv,0.0
h0025,AT,solar,scr2004,avaConv,0.0
h0026,AT,solar,scr2004,avaConv,0.0
h0027,AT,solar,scr2004,avaConv,0.0
h0028,AT,solar,scr2004,avaConv,0.0
h0029,AT,solar,scr2004,avaConv,0.0
h0030,AT,solar,scr2004,avaConv,0.0027521937891957734
h0031,AT,solar,scr2004,avaConv,0.013375994628743455
h0032,AT,solar,scr2004,avaConv,0.06746150031781076
h0033,AT,solar,scr2004,avaConv,0.2666229847876276
h0034,AT,solar,scr2004,avaConv,0.41955345033944247
h0035,AT,solar,scr2004,avaConv,0.522708859362454
h0036,AT,solar,scr2004,avaConv,0.399116067566984
h0037,AT,solar,scr2004,avaConv,0.4205738458913537
h0038,AT,solar,scr2004,avaConv,0.32739291476085963
h0039,AT,solar,scr2004,avaConv,0.2610276087528569
h0040,AT,solar,scr2004,avaConv,0.12589657040604113
h0041,AT,solar,scr2004,avaConv,0.05522065186407105
h0042,AT,solar,scr2004,avaConv,0.01421275203885457
h0043,AT,solar,scr2004,avaConv,0.0012862631876424423
h0044,AT,solar,scr2004,avaConv,0.0006174922942615927
h0045,AT,solar,scr2004,avaConv,0.0
h0046,AT,solar,scr2004,avaConv,0.0
h0047,AT,solar,scr2004,avaConv,0.0
