timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0001,AL,electricity,scr2099,dem,9.726058191879389
h0002,AL,electricity,scr2099,dem,7.620955481011635
h0003,AL,electricity,scr2099,dem,16.420232478573368
h0004,AL,electricity,scr2099,dem,17.91530883226536
h0005,AL,electricity,scr2099,dem,16.25239087064063
h0006,AL,electricity,scr2099,dem,5.804593832179145
h0007,AL,electricity,scr2099,dem,3.7266840190365804
h0008,AL,electricity,scr2099,dem,3.6350275998603223
h0009,AL,electricity,scr2099,dem,4.546271065540771
h0010,AL,electricity,scr2099,dem,4.726325047281349
h0011,AL,electricity,scr2099,dem,13.999260597607753
h0012,AL,electricity,scr2099,dem,18.592650426148154
h0013,AL,electricity,scr2099,dem,18.833380219674606
h0014,AL,electricity,scr2099,dem,13.134827860295063
h0015,AL,electricity,scr2099,dem,10.970966372002257
h0016,AL,electricity,scr2099,dem,10.666334498413368
h0017,AL,electricity,scr2099,dem,8.305960114714303
h0018,AL,electricity,scr2099,dem,6.475186510826805
h0019,AL,electricity,scr2099,dem,5.450257541075183
h0020,AL,electricity,scr2099,dem,2.9818153333411384
h0021,AL,electricity,scr2099,dem,5.083122187529211
h0022,AL,electricity,scr2099,dem,7.511395843652692
h0023,AL,electricity,scr2099,dem,13.066072060423867
h0024,AL,electricity,scr2099,dem,16.88308081220478
h0025,AL,electricity,scr2099,dem,17.392511759492717
h0026,AL,electricity,scr2099,dem,10.65395794609109
h0027,AL,electricity,scr2099,dem,4.211447854180925
h0028,AL,electricity,scr2099,dem,1.6483354765786329
h0029,AL,electricity,scr2099,dem,3.0891787579456045
h0030,AL,electricity,scr2099,dem,1.8601406005579026
h0031,AL,electricity,scr2099,dem,2.0232246518641652
h0032,AL,electricity,scr2099,dem,0.5724741178003526
h0033,AL,electricity,scr2099,dem,0.5726915637917397
h0034,AL,electricity,scr2099,dem,0.5450395040305396
h0035,AL,electricity,scr2099,dem,2.0291202836470594
h0036,AL,electricity,scr2099,dem,2.0505251557145927
h0037,AL,electricity,scr2099,dem,1.8213627841036195
h0038,AL,electricity,scr2099,dem,0.6210592985019041
h0039,AL,electricity,scr2099,dem,0.5639663926485319
h0040,AL,electricity,scr2099,dem,0.46269342952917525
h0041,AL,electricity,scr2099,dem,0.362877492156926
h0042,AL,electricity,scr2099,dem,0.35630443238548226
h0043,AL,electricity,scr2099,dem,0.3559749656992824
h0044,AL,electricity,scr2099,dem,0.3592191857478303
h0045,AL,electricity,scr2099,dem,0.36620513645474334
h0046,AL,electricity,scr2099,dem,0.36674347960969694
h0047,AL,electricity,scr2099,dem,0.365533633295522
h0048,AL,electricity,scr2099,dem,0.35769039350459875
h0049,AL,electricity,scr2099,dem,0.35662195099245336
h0050,AL,electricity,scr2099,dem,0.35249270091624196
h0051,AL,electricity,scr2099,dem,0.350417834315428
h0052,AL,electricity,scr2099,dem,0.3482591764116957
h0053,AL,electricity,scr2099,dem,0.34768172904382566
