timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0001,AT,s2014,electricity,dem,6.94447809886729
h0002,AT,s2014,electricity,dem,6.80021848348267
h0003,AT,s2014,electricity,dem,6.64928579117498
h0004,AT,s2014,electricity,dem,6.74077480216399
h0005,AT,s2014,electricity,dem,7.23891079117498
h0006,AT,s2014,electricity,dem,7.9867432087574
h0007,AT,s2014,electricity,dem,8.84020886809806
h0008,AT,s2014,electricity,dem,9.19425969227388
h0009,AT,s2014,electricity,dem,9.35256326370246
h0010,AT,s2014,electricity,dem,9.43496024172443
h0011,AT,s2014,electricity,dem,9.44099732963652
h0012,AT,s2014,electricity,dem,9.23387095601015
h0013,AT,s2014,electricity,dem,9.10770612084531
h0014,AT,s2014,electricity,dem,9.00807150546069
h0015,AT,s2014,electricity,dem,9.00780776919696
h0016,AT,s2014,electricity,dem,9.19485447249366
h0017,AT,s2014,electricity,dem,9.53857287908707
h0018,AT,s2014,electricity,dem,9.51947947249366
h0019,AT,s2014,electricity,dem,9.0311443076585
h0020,AT,s2014,electricity,dem,8.53693963732883
h0021,AT,s2014,electricity,dem,8.02534897798817
h0022,AT,s2014,electricity,dem,7.9674149120541
h0023,AT,s2014,electricity,dem,7.52267727469146
h0024,AT,s2014,electricity,dem,7.20113057139476
h0025,AT,s2014,electricity,dem,6.82320458366729
h0026,AT,s2014,electricity,dem,6.67894496828267
h0027,AT,s2014,electricity,dem,6.52801227597498
h0028,AT,s2014,electricity,dem,6.61950128696399
h0029,AT,s2014,electricity,dem,7.11763727597498
h0030,AT,s2014,electricity,dem,7.8654696935574
h0031,AT,s2014,electricity,dem,8.71893535289806
h0032,AT,s2014,electricity,dem,9.07298617707388
h0033,AT,s2014,electricity,dem,9.23128974850245
h0034,AT,s2014,electricity,dem,9.31368672652443
h0035,AT,s2014,electricity,dem,9.31972381443652
h0036,AT,s2014,electricity,dem,9.11259744081015
h0037,AT,s2014,electricity,dem,8.98643260564531
h0038,AT,s2014,electricity,dem,8.88679799026069
h0039,AT,s2014,electricity,dem,8.88653425399696
h0040,AT,s2014,electricity,dem,9.07358095729366
h0041,AT,s2014,electricity,dem,9.41729936388707
h0042,AT,s2014,electricity,dem,9.39820595729366
h0043,AT,s2014,electricity,dem,8.9098707924585
h0044,AT,s2014,electricity,dem,8.41566612212883
h0045,AT,s2014,electricity,dem,7.90407546278817
h0046,AT,s2014,electricity,dem,7.8461413968541
h0047,AT,s2014,electricity,dem,7.40140375949146
h0048,AT,s2014,electricity,dem,7.07985705619476
h0049,AT,s2014,electricity,dem,6.58736116152729
h0050,AT,s2014,electricity,dem,6.44310154614268
h0051,AT,s2014,electricity,dem,6.29216885383498
h0052,AT,s2014,electricity,dem,6.383657864824
h0053,AT,s2014,electricity,dem,6.88179385383498
h0054,AT,s2014,electricity,dem,7.6296262714174
h0055,AT,s2014,electricity,dem,8.48309193075806
h0056,AT,s2014,electricity,dem,8.83714275493388
h0057,AT,s2014,electricity,dem,8.99544632636246
h0058,AT,s2014,electricity,dem,9.07784330438443
h0059,AT,s2014,electricity,dem,9.08388039229652
h0060,AT,s2014,electricity,dem,8.87675401867015
h0061,AT,s2014,electricity,dem,8.75058918350531
h0062,AT,s2014,electricity,dem,8.6509545681207
h0063,AT,s2014,electricity,dem,8.65069083185696
h0064,AT,s2014,electricity,dem,8.83773753515366
h0065,AT,s2014,electricity,dem,9.18145594174707
h0066,AT,s2014,electricity,dem,9.16236253515366
h0067,AT,s2014,electricity,dem,8.6740273703185
h0068,AT,s2014,electricity,dem,8.17982269998883
h0069,AT,s2014,electricity,dem,7.66823204064817
h0070,AT,s2014,electricity,dem,7.6102979747141
h0071,AT,s2014,electricity,dem,7.16556033735146
h0072,AT,s2014,electricity,dem,6.84401363405476
h0073,AT,s2014,electricity,dem,5.50426917220729
h0074,AT,s2014,electricity,dem,5.36000955682267
h0075,AT,s2014,electricity,dem,5.20907686451498
h0076,AT,s2014,electricity,dem,5.30056587550399
h0077,AT,s2014,electricity,dem,5.79870186451498
h0078,AT,s2014,electricity,dem,6.5465342820974
h0079,AT,s2014,electricity,dem,7.39999994143806
h0080,AT,s2014,electricity,dem,7.75405076561388
h0081,AT,s2014,electricity,dem,7.91235433704246
h0082,AT,s2014,electricity,dem,7.99475131506443
h0083,AT,s2014,electricity,dem,8.00078840297652
h0084,AT,s2014,electricity,dem,7.79366202935015
h0085,AT,s2014,electricity,dem,7.66749719418531
h0086,AT,s2014,electricity,dem,7.5678625788007
h0087,AT,s2014,electricity,dem,7.56759884253696
h0088,AT,s2014,electricity,dem,7.75464554583366
h0089,AT,s2014,electricity,dem,8.09836395242707
h0090,AT,s2014,electricity,dem,8.07927054583366
h0091,AT,s2014,electricity,dem,7.5909353809985
h0092,AT,s2014,electricity,dem,7.09673071066883
h0093,AT,s2014,electricity,dem,6.58514005132817
h0094,AT,s2014,electricity,dem,6.5272059853941
h0095,AT,s2014,electricity,dem,6.08246834803146
h0096,AT,s2014,electricity,dem,5.76092164473476
