timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,CH,s2014,solar,avaConv,0.0
h0002,CH,s2014,solar,avaConv,0.0
h0003,CH,s2014,solar,avaConv,0.0
h0004,CH,s2014,solar,avaConv,0.0
h0005,CH,s2014,solar,avaConv,0.0
h0006,CH,s2014,solar,avaConv,0.0
h0007,CH,s2014,solar,avaConv,0.0
h0008,CH,s2014,solar,avaConv,0.0114872875842707
h0009,CH,s2014,solar,avaConv,0.084565251921998
h0010,CH,s2014,solar,avaConv,0.171158130238511
h0011,CH,s2014,solar,avaConv,0.246424612189186
h0012,CH,s2014,solar,avaConv,0.273413260283566
h0013,CH,s2014,solar,avaConv,0.234795742554892
h0014,CH,s2014,solar,avaConv,0.165675145097839
h0015,CH,s2014,solar,avaConv,0.0821040020673514
h0016,CH,s2014,solar,avaConv,0.00937286703144372
h0017,CH,s2014,solar,avaConv,0.0
h0018,CH,s2014,solar,avaConv,0.0
h0019,CH,s2014,solar,avaConv,0.0
h0020,CH,s2014,solar,avaConv,0.0
h0021,CH,s2014,solar,avaConv,0.0
h0022,CH,s2014,solar,avaConv,0.0
h0023,CH,s2014,solar,avaConv,0.0
h0024,CH,s2014,solar,avaConv,0.0
h0025,CH,s2014,solar,avaConv,0.0
h0026,CH,s2014,solar,avaConv,0.0
h0027,CH,s2014,solar,avaConv,0.0
h0028,CH,s2014,solar,avaConv,0.0
h0029,CH,s2014,solar,avaConv,0.0
h0030,CH,s2014,solar,avaConv,0.0
h0031,CH,s2014,solar,avaConv,0.0
h0032,CH,s2014,solar,avaConv,0.00405081246840108
h0033,CH,s2014,solar,avaConv,0.0298046666150741
h0034,CH,s2014,solar,avaConv,0.0535967135719365
h0035,CH,s2014,solar,avaConv,0.0734705837233082
h0036,CH,s2014,solar,avaConv,0.109211166865596
h0037,CH,s2014,solar,avaConv,0.154876298131359
h0038,CH,s2014,solar,avaConv,0.152872559816755
h0039,CH,s2014,solar,avaConv,0.0797743871118526
h0040,CH,s2014,solar,avaConv,0.00876611882448556
h0041,CH,s2014,solar,avaConv,0.0
h0042,CH,s2014,solar,avaConv,0.0
h0043,CH,s2014,solar,avaConv,0.0
h0044,CH,s2014,solar,avaConv,0.0
h0045,CH,s2014,solar,avaConv,0.0
h0046,CH,s2014,solar,avaConv,0.0
h0047,CH,s2014,solar,avaConv,0.0
h0048,CH,s2014,solar,avaConv,0.0
h0049,CH,s2014,solar,avaConv,0.0
h0050,CH,s2014,solar,avaConv,0.0
h0051,CH,s2014,solar,avaConv,0.0
h0052,CH,s2014,solar,avaConv,0.0
h0053,CH,s2014,solar,avaConv,0.0
h0054,CH,s2014,solar,avaConv,0.0
h0055,CH,s2014,solar,avaConv,0.0
h0056,CH,s2014,solar,avaConv,0.00827520366456486
h0057,CH,s2014,solar,avaConv,0.0438902710489717
h0058,CH,s2014,solar,avaConv,0.0788073144157389
h0059,CH,s2014,solar,avaConv,0.110009111810557
h0060,CH,s2014,solar,avaConv,0.152882103449002
h0061,CH,s2014,solar,avaConv,0.207828915936
h0062,CH,s2014,solar,avaConv,0.197007438105775
h0063,CH,s2014,solar,avaConv,0.0963065524248359
h0064,CH,s2014,solar,avaConv,0.0107869579481099
h0065,CH,s2014,solar,avaConv,0.0
h0066,CH,s2014,solar,avaConv,0.0
h0067,CH,s2014,solar,avaConv,0.0
h0068,CH,s2014,solar,avaConv,0.0
h0069,CH,s2014,solar,avaConv,0.0
h0070,CH,s2014,solar,avaConv,0.0
h0071,CH,s2014,solar,avaConv,0.0
h0072,CH,s2014,solar,avaConv,0.0
h0073,CH,s2014,solar,avaConv,0.0
h0074,CH,s2014,solar,avaConv,0.0
h0075,CH,s2014,solar,avaConv,0.0
h0076,CH,s2014,solar,avaConv,0.0
h0077,CH,s2014,solar,avaConv,0.0
h0078,CH,s2014,solar,avaConv,0.0
h0079,CH,s2014,solar,avaConv,0.0
h0080,CH,s2014,solar,avaConv,0.00769652311337119
h0081,CH,s2014,solar,avaConv,0.0334244418519093
h0082,CH,s2014,solar,avaConv,0.0504579300677942
h0083,CH,s2014,solar,avaConv,0.0642155353998964
h0084,CH,s2014,solar,avaConv,0.0696872743965738
h0085,CH,s2014,solar,avaConv,0.0609020844608834
h0086,CH,s2014,solar,avaConv,0.0438128258890622
h0087,CH,s2014,solar,avaConv,0.0274736731408048
h0088,CH,s2014,solar,avaConv,0.00543628510729257
h0089,CH,s2014,solar,avaConv,0.0
h0090,CH,s2014,solar,avaConv,0.0
h0091,CH,s2014,solar,avaConv,0.0
h0092,CH,s2014,solar,avaConv,0.0
h0093,CH,s2014,solar,avaConv,0.0
h0094,CH,s2014,solar,avaConv,0.0
h0095,CH,s2014,solar,avaConv,0.0
h0096,CH,s2014,solar,avaConv,0.0
