timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,LU,s2014,wind,avaConv,0.56939318317067
h0002,LU,s2014,wind,avaConv,0.378323961096888
h0003,LU,s2014,wind,avaConv,0.295660108020152
h0004,LU,s2014,wind,avaConv,0.326383865981398
h0005,LU,s2014,wind,avaConv,0.311681339948616
h0006,LU,s2014,wind,avaConv,0.319553242430534
h0007,LU,s2014,wind,avaConv,0.488475700459236
h0008,LU,s2014,wind,avaConv,0.587251708781688
h0009,LU,s2014,wind,avaConv,0.647845750942985
h0010,LU,s2014,wind,avaConv,0.752506091692619
h0011,LU,s2014,wind,avaConv,0.810803645571008
h0012,LU,s2014,wind,avaConv,0.903167181976199
h0013,LU,s2014,wind,avaConv,0.894135453224202
h0014,LU,s2014,wind,avaConv,0.849937347540123
h0015,LU,s2014,wind,avaConv,0.899833322778589
h0016,LU,s2014,wind,avaConv,0.902836203997369
h0017,LU,s2014,wind,avaConv,0.971909092867052
h0018,LU,s2014,wind,avaConv,0.990859448152283
h0019,LU,s2014,wind,avaConv,0.985293386693872
h0020,LU,s2014,wind,avaConv,0.99031785395512
h0021,LU,s2014,wind,avaConv,0.993675233574711
h0022,LU,s2014,wind,avaConv,0.994994097025532
h0023,LU,s2014,wind,avaConv,0.994790466384261
h0024,LU,s2014,wind,avaConv,0.99671785393463
h0025,LU,s2014,wind,avaConv,0.997033560323182
h0026,LU,s2014,wind,avaConv,0.997033560323182
h0027,LU,s2014,wind,avaConv,0.996838611616931
h0028,LU,s2014,wind,avaConv,0.997154318005484
h0029,LU,s2014,wind,avaConv,0.998412407986505
h0030,LU,s2014,wind,avaConv,1.00000001653888
h0031,LU,s2014,wind,avaConv,1.00000001653888
h0032,LU,s2014,wind,avaConv,0.997354002284923
h0033,LU,s2014,wind,avaConv,0.997354002284923
h0034,LU,s2014,wind,avaConv,0.999470813688087
h0035,LU,s2014,wind,avaConv,0.998045399292906
h0036,LU,s2014,wind,avaConv,0.997085651834072
h0037,LU,s2014,wind,avaConv,0.991844925621102
h0038,LU,s2014,wind,avaConv,0.958038689849866
h0039,LU,s2014,wind,avaConv,0.870909880187371
h0040,LU,s2014,wind,avaConv,0.56590967800345
h0041,LU,s2014,wind,avaConv,0.317295388374858
h0042,LU,s2014,wind,avaConv,0.213074115839498
h0043,LU,s2014,wind,avaConv,0.206332521999758
h0044,LU,s2014,wind,avaConv,0.259308687367307
h0045,LU,s2014,wind,avaConv,0.345088917763136
h0046,LU,s2014,wind,avaConv,0.463896339161862
h0047,LU,s2014,wind,avaConv,0.437267687853976
h0048,LU,s2014,wind,avaConv,0.510992827830492
h0049,LU,s2014,wind,avaConv,0.616605458451241
h0050,LU,s2014,wind,avaConv,0.637400761980186
h0051,LU,s2014,wind,avaConv,0.780968285868923
h0052,LU,s2014,wind,avaConv,0.85800001494894
h0053,LU,s2014,wind,avaConv,0.935705343719576
h0054,LU,s2014,wind,avaConv,0.969430482022633
h0055,LU,s2014,wind,avaConv,0.996961737123499
h0056,LU,s2014,wind,avaConv,0.997001200384396
h0057,LU,s2014,wind,avaConv,1.00000001653888
h0058,LU,s2014,wind,avaConv,0.995448714160326
h0059,LU,s2014,wind,avaConv,0.986597885267056
h0060,LU,s2014,wind,avaConv,0.98674626729566
h0061,LU,s2014,wind,avaConv,0.993954949398458
h0062,LU,s2014,wind,avaConv,0.990284231209067
h0063,LU,s2014,wind,avaConv,0.989333481428601
h0064,LU,s2014,wind,avaConv,0.994328272238645
h0065,LU,s2014,wind,avaConv,0.996337427720877
h0066,LU,s2014,wind,avaConv,0.99823711204681
h0067,LU,s2014,wind,avaConv,0.998341926564104
h0068,LU,s2014,wind,avaConv,0.998024957338884
h0069,LU,s2014,wind,avaConv,0.998393702404418
h0070,LU,s2014,wind,avaConv,0.990969314163631
h0071,LU,s2014,wind,avaConv,0.976962210798887
h0072,LU,s2014,wind,avaConv,0.897706724815744
h0073,LU,s2014,wind,avaConv,0.775146660008739
h0074,LU,s2014,wind,avaConv,0.710378032347645
h0075,LU,s2014,wind,avaConv,0.526660073380851
h0076,LU,s2014,wind,avaConv,0.561747998642258
h0077,LU,s2014,wind,avaConv,0.565624518176734
h0078,LU,s2014,wind,avaConv,0.529644564950444
h0079,LU,s2014,wind,avaConv,0.509148984381147
h0080,LU,s2014,wind,avaConv,0.566632292482677
h0081,LU,s2014,wind,avaConv,0.713951710858511
h0082,LU,s2014,wind,avaConv,0.87437981067954
h0083,LU,s2014,wind,avaConv,0.928064301949412
h0084,LU,s2014,wind,avaConv,0.92963217870411
h0085,LU,s2014,wind,avaConv,0.918040939937904
h0086,LU,s2014,wind,avaConv,0.91802558892325
h0087,LU,s2014,wind,avaConv,0.909236993809454
h0088,LU,s2014,wind,avaConv,0.819431901601737
h0089,LU,s2014,wind,avaConv,0.66175238016282
h0090,LU,s2014,wind,avaConv,0.702015283834192
h0091,LU,s2014,wind,avaConv,0.686145868980679
h0092,LU,s2014,wind,avaConv,0.733805223181754
h0093,LU,s2014,wind,avaConv,0.622753840379509
h0094,LU,s2014,wind,avaConv,0.556258495273663
h0095,LU,s2014,wind,avaConv,0.378419699474644
h0096,LU,s2014,wind,avaConv,0.248839231140321
