region_4,timestep_4,value,parameter,carrier_1
01ES,d092,0.9627397594876573,mustOut,processHeat_medium
01ES,d093,0.9567485418691136,mustOut,processHeat_medium
01ES,d094,0.9659224053543806,mustOut,processHeat_medium
01ES,d095,0.9737755800034488,mustOut,processHeat_medium
01ES,d096,0.9719599153752663,mustOut,processHeat_medium
01ES,d097,0.9728765433107588,mustOut,processHeat_medium
01ES,d098,0.9558690009573096,mustOut,processHeat_medium
01ES,d099,0.9580409664996915,mustOut,processHeat_medium
01ES,d100,0.9739837227590967,mustOut,processHeat_medium
01ES,d101,0.9537113995885044,mustOut,processHeat_medium
01ES,d102,0.9552027571062904,mustOut,processHeat_medium
01ES,d103,0.9612792853909333,mustOut,processHeat_medium
01ES,d104,0.972152843671965,mustOut,processHeat_medium
01ES,d105,0.9748273507248526,mustOut,processHeat_medium
01ES,d106,0.9748409052247017,mustOut,processHeat_medium
01ES,d107,0.9746980032195541,mustOut,processHeat_medium
01ES,d108,0.9682937945783533,mustOut,processHeat_medium
01ES,d109,0.9649638976883,mustOut,processHeat_medium
01ES,d110,0.9749660433002992,mustOut,processHeat_medium
01ES,d111,0.9725414936910098,mustOut,processHeat_medium
01ES,d112,0.9779860794081644,mustOut,processHeat_medium
01ES,d113,0.9719979657707422,mustOut,processHeat_medium
01ES,d114,0.9733142435946837,mustOut,processHeat_medium
01ES,d115,0.9522219646299445,mustOut,processHeat_medium
01ES,d116,0.9575818881084315,mustOut,processHeat_medium
01ES,d117,0.9738932007554392,mustOut,processHeat_medium
01ES,d118,0.9747374143302693,mustOut,processHeat_medium
01ES,d119,0.9755651634856698,mustOut,processHeat_medium
01ES,d120,0.9743600444681902,mustOut,processHeat_medium
01ES,d121,0.9685530130953874,mustOut,processHeat_medium
01ES,d122,0.9532476927363179,mustOut,processHeat_medium
01ES,d123,0.9571542427384178,mustOut,processHeat_medium
01ES,d124,0.9718220297772259,mustOut,processHeat_medium
01ES,d125,0.9587392219069065,mustOut,processHeat_medium
01ES,d126,0.9724998038754067,mustOut,processHeat_medium
01ES,d127,0.9719605952010539,mustOut,processHeat_medium
01ES,d128,0.9738285949896328,mustOut,processHeat_medium
01ES,d129,0.9719016740795694,mustOut,processHeat_medium
01ES,d130,0.9677265572135983,mustOut,processHeat_medium
01ES,d131,0.9545404045443315,mustOut,processHeat_medium
01ES,d132,0.9659447588784467,mustOut,processHeat_medium
01ES,d133,0.9692391424988891,mustOut,processHeat_medium
01ES,d134,0.9725086153655695,mustOut,processHeat_medium
01ES,d135,0.9735192342926902,mustOut,processHeat_medium
01ES,d136,0.9732324844346225,mustOut,processHeat_medium
01ES,d137,0.9641359830920643,mustOut,processHeat_medium
01ES,d138,0.9557903321094464,mustOut,processHeat_medium
01ES,d139,0.9624024135567629,mustOut,processHeat_medium
01ES,d140,0.9695850434221217,mustOut,processHeat_medium
01ES,d141,0.9726647081351092,mustOut,processHeat_medium
01ES,d142,0.9725032780451532,mustOut,processHeat_medium
01ES,d143,0.9581876745614654,mustOut,processHeat_medium
01ES,d144,0.9727748930721162,mustOut,processHeat_medium
01ES,d145,0.9646103916045479,mustOut,processHeat_medium
01ES,d146,0.9541313371177172,mustOut,processHeat_medium
01ES,d147,0.9576151019075011,mustOut,processHeat_medium
01ES,d148,0.9710822301194111,mustOut,processHeat_medium
01ES,d149,0.9695544484396872,mustOut,processHeat_medium
01ES,d150,0.9567775095899078,mustOut,processHeat_medium
01ES,d151,0.9711537816771645,mustOut,processHeat_medium
01ES,d152,0.9729864050054399,mustOut,processHeat_medium
01ES,d153,0.9714880176018368,mustOut,processHeat_medium
01ES,d154,0.9673768581029218,mustOut,processHeat_medium
01ES,d155,0.9731668093609475,mustOut,processHeat_medium
01ES,d156,0.9735378631473807,mustOut,processHeat_medium
01ES,d157,0.9550377905604007,mustOut,processHeat_medium
