region_4,timestep_4,value,scenario_1,parameter,technology_1
70AL,d001,0.05787751871021011,scr1986,avaConv,solar
70AL,d002,0.06730987641991006,scr1986,avaConv,solar
70AL,d003,0.061126561863873934,scr1986,avaConv,solar
70AL,d004,0.021379882062950478,scr1986,avaConv,solar
70AL,d005,0.04758846105810893,scr1986,avaConv,solar
70AL,d006,0.09890153471218303,scr1986,avaConv,solar
70AL,d007,0.06356171805218744,scr1986,avaConv,solar
70AL,d008,0.0690537386181422,scr1986,avaConv,solar
70AL,d009,0.09098657681489002,scr1986,avaConv,solar
70AL,d010,0.07537674892460768,scr1986,avaConv,solar
70AL,d011,0.14365924169182828,scr1986,avaConv,solar
70AL,d012,0.03237376697587769,scr1986,avaConv,solar
70AL,d013,0.13188472803466786,scr1986,avaConv,solar
70AL,d014,0.13675569595816145,scr1986,avaConv,solar
70AL,d015,0.019536359109031304,scr1986,avaConv,solar
70AL,d016,0.036388686331987795,scr1986,avaConv,solar
70AL,d017,0.11026980570871393,scr1986,avaConv,solar
70AL,d018,0.12333202739471887,scr1986,avaConv,solar
70AL,d019,0.11152263442370203,scr1986,avaConv,solar
70AL,d020,0.06070632720637786,scr1986,avaConv,solar
70AL,d021,0.14229210458544364,scr1986,avaConv,solar
70AL,d022,0.017886043242755677,scr1986,avaConv,solar
70AL,d023,0.042775356016851916,scr1986,avaConv,solar
70AL,d024,0.024170301772708912,scr1986,avaConv,solar
70AL,d025,0.04680000985019237,scr1986,avaConv,solar
70AL,d026,0.08702575025485994,scr1986,avaConv,solar
70AL,d027,0.07977205066070599,scr1986,avaConv,solar
70AL,d028,0.12172786560406551,scr1986,avaConv,solar
70AL,d029,0.14549466430579375,scr1986,avaConv,solar
70AL,d030,0.07246371645546947,scr1986,avaConv,solar
70AL,d031,0.0654991302957945,scr1986,avaConv,solar
70AL,d032,0.07340914242928408,scr1986,avaConv,solar
70AL,d033,0.07644264714637414,scr1986,avaConv,solar
70AL,d034,0.10479196746904185,scr1986,avaConv,solar
70AL,d035,0.08551919698445125,scr1986,avaConv,solar
70AL,d036,0.1290974880292647,scr1986,avaConv,solar
70AL,d037,0.0468284606332092,scr1986,avaConv,solar
70AL,d038,0.07776084243812097,scr1986,avaConv,solar
70AL,d039,0.1321446848001345,scr1986,avaConv,solar
70AL,d040,0.03614104592861302,scr1986,avaConv,solar
70AL,d041,0.11901963012131496,scr1986,avaConv,solar
70AL,d042,0.11450269199851991,scr1986,avaConv,solar
70AL,d043,0.08005054565510472,scr1986,avaConv,solar
70AL,d044,0.17221933326973174,scr1986,avaConv,solar
70AL,d045,0.11867323790829198,scr1986,avaConv,solar
70AL,d046,0.022658775487505417,scr1986,avaConv,solar
70AL,d047,0.043478352424220934,scr1986,avaConv,solar
70AL,d048,0.08008069294667924,scr1986,avaConv,solar
70AL,d049,0.054714226476684925,scr1986,avaConv,solar
70AL,d050,0.08751468778345382,scr1986,avaConv,solar
70AL,d051,0.09203111269076435,scr1986,avaConv,solar
70AL,d052,0.1156051357501126,scr1986,avaConv,solar
70AL,d053,0.02858805661260487,scr1986,avaConv,solar
70AL,d054,0.11223558314484029,scr1986,avaConv,solar
70AL,d055,0.07305036725541018,scr1986,avaConv,solar
70AL,d056,0.0521913291233345,scr1986,avaConv,solar
70AL,d057,0.15089596071931455,scr1986,avaConv,solar
70AL,d058,0.13370470444682253,scr1986,avaConv,solar
70AL,d059,0.1061383826625902,scr1986,avaConv,solar
70AL,d060,0.11586879804197657,scr1986,avaConv,solar
70AL,d061,0.05722972337418272,scr1986,avaConv,solar
70AL,d062,0.05216425690303427,scr1986,avaConv,solar
70AL,d063,0.07639382001863361,scr1986,avaConv,solar
70AL,d064,0.06809803435639937,scr1986,avaConv,solar
70AL,d065,0.19900409311602904,scr1986,avaConv,solar
70AL,d066,0.12667562182117725,scr1986,avaConv,solar
70AL,d067,0.12340815845175691,scr1986,avaConv,solar
70AL,d068,0.07483138916961807,scr1986,avaConv,solar
70AL,d069,0.13752886848234144,scr1986,avaConv,solar
70AL,d070,0.08777339785692823,scr1986,avaConv,solar
70AL,d071,0.09063218427692465,scr1986,avaConv,solar
70AL,d072,0.13905383747825986,scr1986,avaConv,solar
70AL,d073,0.14606954763499988,scr1986,avaConv,solar
70AL,d074,0.16104313987098942,scr1986,avaConv,solar
70AL,d075,0.14400362060944386,scr1986,avaConv,solar
70AL,d076,0.05827256459895403,scr1986,avaConv,solar
70AL,d077,0.09167726512463,scr1986,avaConv,solar
70AL,d078,0.16976776027759954,scr1986,avaConv,solar
70AL,d079,0.17397221108357944,scr1986,avaConv,solar
70AL,d080,0.17050205524008752,scr1986,avaConv,solar
70AL,d081,0.10325453271251844,scr1986,avaConv,solar
70AL,d082,0.1580340859997956,scr1986,avaConv,solar
70AL,d083,0.12485004348803301,scr1986,avaConv,solar
70AL,d084,0.0890089603911432,scr1986,avaConv,solar
70AL,d085,0.1296625654313699,scr1986,avaConv,solar
70AL,d086,0.10196471528273333,scr1986,avaConv,solar
70AL,d087,0.1488001902883883,scr1986,avaConv,solar
70AL,d088,0.19541762776657134,scr1986,avaConv,solar
70AL,d089,0.2139524023648061,scr1986,avaConv,solar
70AL,d090,0.21994035325073472,scr1986,avaConv,solar
70AL,d091,0.2279585718623258,scr1986,avaConv,solar
49AT,d001,0.04108997554034297,scr1986,avaConv,solar
49AT,d002,0.024789139545165123,scr1986,avaConv,solar
49AT,d003,0.06049437856020314,scr1986,avaConv,solar
49AT,d004,0.04580770691581193,scr1986,avaConv,solar
49AT,d005,0.12245123814717261,scr1986,avaConv,solar
49AT,d006,0.044952451196246725,scr1986,avaConv,solar
49AT,d007,0.10630803590340276,scr1986,avaConv,solar
49AT,d008,0.1172943951778712,scr1986,avaConv,solar
49AT,d009,0.08024710512399855,scr1986,avaConv,solar
