region_3,timestep_4,value,scenario_1,parameter,carrier_1
at,d001,5.96505728070547,scr1988,dem,electricity
at,d002,5.970674687392641,scr1988,dem,electricity
at,d003,5.834073513754215,scr1988,dem,electricity
at,d004,7.306862256730983,scr1988,dem,electricity
at,d005,7.4109691737967305,scr1988,dem,electricity
at,d006,7.347104809641717,scr1988,dem,electricity
at,d007,6.271563990037033,scr1988,dem,electricity
at,d008,7.102380435953289,scr1988,dem,electricity
at,d009,6.775858700008218,scr1988,dem,electricity
at,d010,6.256801325302088,scr1988,dem,electricity
at,d011,7.675966183314511,scr1988,dem,electricity
at,d012,7.931641985357371,scr1988,dem,electricity
at,d013,7.9894540313607,scr1988,dem,electricity
at,d014,8.095036695319692,scr1988,dem,electricity
at,d015,7.865992562148064,scr1988,dem,electricity
at,d016,6.806851485969755,scr1988,dem,electricity
at,d017,6.207073414816496,scr1988,dem,electricity
at,d018,7.9052559460966805,scr1988,dem,electricity
at,d019,8.113556465295241,scr1988,dem,electricity
at,d020,8.110190735659712,scr1988,dem,electricity
at,d021,8.142565089633338,scr1988,dem,electricity
at,d022,7.931309801296663,scr1988,dem,electricity
at,d023,6.825039400155099,scr1988,dem,electricity
at,d024,7.87943729620067,scr1988,dem,electricity
at,d025,7.984531870657752,scr1988,dem,electricity
at,d026,7.969712938349896,scr1988,dem,electricity
at,d027,7.971301741346426,scr1988,dem,electricity
at,d028,8.0115659865874,scr1988,dem,electricity
at,d029,7.890105210538252,scr1988,dem,electricity
at,d030,6.812196321845331,scr1988,dem,electricity
at,d031,7.8303865355360465,scr1988,dem,electricity
at,d032,7.859259865155685,scr1988,dem,electricity
at,d033,7.958043002588269,scr1988,dem,electricity
at,d034,7.980456211479552,scr1988,dem,electricity
at,d035,8.028420552798163,scr1988,dem,electricity
at,d036,7.874170250121323,scr1988,dem,electricity
at,d037,6.786192050062254,scr1988,dem,electricity
at,d038,6.143187716540829,scr1988,dem,electricity
at,d039,7.848423740079087,scr1988,dem,electricity
at,d040,8.009702022221184,scr1988,dem,electricity
at,d041,8.005654893716628,scr1988,dem,electricity
at,d042,8.046357527266172,scr1988,dem,electricity
at,d043,7.869217981914343,scr1988,dem,electricity
at,d044,6.774560811883194,scr1988,dem,electricity
at,d045,6.122184767443122,scr1988,dem,electricity
at,d046,7.790383563130487,scr1988,dem,electricity
at,d047,7.942935458169569,scr1988,dem,electricity
at,d048,7.941706719456004,scr1988,dem,electricity
at,d049,7.974073217382544,scr1988,dem,electricity
at,d050,7.822241729346292,scr1988,dem,electricity
at,d051,6.756833902233989,scr1988,dem,electricity
at,d052,6.113676056799363,scr1988,dem,electricity
at,d053,7.741432568904798,scr1988,dem,electricity
at,d054,7.899396446122065,scr1988,dem,electricity
at,d055,7.91277897764888,scr1988,dem,electricity
at,d056,7.955807946203706,scr1988,dem,electricity
at,d057,7.805137566357948,scr1988,dem,electricity
at,d058,6.727221610654804,scr1988,dem,electricity
at,d059,6.093693618401402,scr1988,dem,electricity
at,d060,7.912527934794814,scr1988,dem,electricity
