region_4,timestep_4,value,scenario_1,parameter,carrier_1
01ES,d001,0.5467783477071758,scr1989,mustOut,spaceHeat
01ES,d002,0.5790411846541159,scr1989,mustOut,spaceHeat
01ES,d003,0.5446070422118082,scr1989,mustOut,spaceHeat
01ES,d004,0.47609668107883185,scr1989,mustOut,spaceHeat
01ES,d005,0.47783370411831955,scr1989,mustOut,spaceHeat
01ES,d006,0.413635329574332,scr1989,mustOut,spaceHeat
01ES,d007,0.40950007490403445,scr1989,mustOut,spaceHeat
01ES,d008,0.4724968185011646,scr1989,mustOut,spaceHeat
01ES,d009,0.5080484808767554,scr1989,mustOut,spaceHeat
01ES,d010,0.4601791026016609,scr1989,mustOut,spaceHeat
01ES,d011,0.45614244264246046,scr1989,mustOut,spaceHeat
01ES,d012,0.4483420454960618,scr1989,mustOut,spaceHeat
01ES,d013,0.41761437682811614,scr1989,mustOut,spaceHeat
01ES,d014,0.44948210261254956,scr1989,mustOut,spaceHeat
01ES,d015,0.4743285868871949,scr1989,mustOut,spaceHeat
01ES,d016,0.5138760410611853,scr1989,mustOut,spaceHeat
01ES,d017,0.5149681845708239,scr1989,mustOut,spaceHeat
01ES,d018,0.537391625845278,scr1989,mustOut,spaceHeat
01ES,d019,0.5327283162808953,scr1989,mustOut,spaceHeat
01ES,d020,0.5449661658335286,scr1989,mustOut,spaceHeat
01ES,d021,0.45582451018238496,scr1989,mustOut,spaceHeat
01ES,d022,0.5144704566817598,scr1989,mustOut,spaceHeat
01ES,d023,0.5488891875487795,scr1989,mustOut,spaceHeat
01ES,d024,0.550401408976548,scr1989,mustOut,spaceHeat
01ES,d025,0.46875582619292083,scr1989,mustOut,spaceHeat
01ES,d026,0.4214351135617711,scr1989,mustOut,spaceHeat
01ES,d027,0.4792530559824156,scr1989,mustOut,spaceHeat
01ES,d028,0.4655373228326419,scr1989,mustOut,spaceHeat
01ES,d029,0.4736025198156104,scr1989,mustOut,spaceHeat
01ES,d030,0.4976617008905948,scr1989,mustOut,spaceHeat
01ES,d031,0.5159007293052446,scr1989,mustOut,spaceHeat
01ES,d032,0.4815119218966397,scr1989,mustOut,spaceHeat
01ES,d033,0.4535607687680494,scr1989,mustOut,spaceHeat
01ES,d034,0.4551164295363668,scr1989,mustOut,spaceHeat
01ES,d035,0.4640900030289916,scr1989,mustOut,spaceHeat
01ES,d036,0.47024526947869466,scr1989,mustOut,spaceHeat
01ES,d037,0.489427042619617,scr1989,mustOut,spaceHeat
01ES,d038,0.5098279863084983,scr1989,mustOut,spaceHeat
01ES,d039,0.47484323951754587,scr1989,mustOut,spaceHeat
01ES,d040,0.5010516773575501,scr1989,mustOut,spaceHeat
01ES,d041,0.5264717973555458,scr1989,mustOut,spaceHeat
01ES,d042,0.4565832888886517,scr1989,mustOut,spaceHeat
01ES,d043,0.4481827304121031,scr1989,mustOut,spaceHeat
01ES,d044,0.455397965141273,scr1989,mustOut,spaceHeat
01ES,d045,0.39832899507633707,scr1989,mustOut,spaceHeat
01ES,d046,0.4491656005664891,scr1989,mustOut,spaceHeat
01ES,d047,0.47647560042498527,scr1989,mustOut,spaceHeat
01ES,d048,0.428028227390101,scr1989,mustOut,spaceHeat
01ES,d049,0.3587832205327887,scr1989,mustOut,spaceHeat
01ES,d050,0.3325590863103864,scr1989,mustOut,spaceHeat
01ES,d051,0.3403165226520855,scr1989,mustOut,spaceHeat
01ES,d052,0.4309251070151709,scr1989,mustOut,spaceHeat
01ES,d053,0.5022956592018637,scr1989,mustOut,spaceHeat
01ES,d054,0.5424733977450714,scr1989,mustOut,spaceHeat
01ES,d055,0.47284557051001413,scr1989,mustOut,spaceHeat
01ES,d056,0.42923126203079526,scr1989,mustOut,spaceHeat
01ES,d057,0.545749894158146,scr1989,mustOut,spaceHeat
01ES,d058,0.4836772208161746,scr1989,mustOut,spaceHeat
01ES,d059,0.41251053296066664,scr1989,mustOut,spaceHeat
01ES,d060,0.387968769552344,scr1989,mustOut,spaceHeat
01ES,d061,0.3727686887345755,scr1989,mustOut,spaceHeat
01ES,d062,0.3890917131443819,scr1989,mustOut,spaceHeat
01ES,d063,0.358246300315513,scr1989,mustOut,spaceHeat
01ES,d064,0.3787118360405537,scr1989,mustOut,spaceHeat
01ES,d065,0.3809165345797223,scr1989,mustOut,spaceHeat
01ES,d066,0.424458532948124,scr1989,mustOut,spaceHeat
01ES,d067,0.4723535948368261,scr1989,mustOut,spaceHeat
01ES,d068,0.435341425554758,scr1989,mustOut,spaceHeat
01ES,d069,0.39357251553946443,scr1989,mustOut,spaceHeat
01ES,d070,0.33215127211588713,scr1989,mustOut,spaceHeat
01ES,d071,0.3409363359479594,scr1989,mustOut,spaceHeat
01ES,d072,0.438635634468475,scr1989,mustOut,spaceHeat
01ES,d073,0.47446905458558714,scr1989,mustOut,spaceHeat
01ES,d074,0.4218743655887484,scr1989,mustOut,spaceHeat
01ES,d075,0.42108796637673934,scr1989,mustOut,spaceHeat
01ES,d076,0.5032026210817618,scr1989,mustOut,spaceHeat
01ES,d077,0.4925372690476187,scr1989,mustOut,spaceHeat
01ES,d078,0.47570734955271043,scr1989,mustOut,spaceHeat
01ES,d079,0.4341710317406336,scr1989,mustOut,spaceHeat
01ES,d080,0.376067906727013,scr1989,mustOut,spaceHeat
01ES,d081,0.41200317876075276,scr1989,mustOut,spaceHeat
01ES,d082,0.4082921167820554,scr1989,mustOut,spaceHeat
01ES,d083,0.417804054616932,scr1989,mustOut,spaceHeat
01ES,d084,0.3668613283979976,scr1989,mustOut,spaceHeat
01ES,d085,0.35238887389161144,scr1989,mustOut,spaceHeat
01ES,d086,0.39143397591861556,scr1989,mustOut,spaceHeat
01ES,d087,0.4871970425881867,scr1989,mustOut,spaceHeat
01ES,d088,0.3846818661617128,scr1989,mustOut,spaceHeat
01ES,d089,0.37045590064921585,scr1989,mustOut,spaceHeat
01ES,d090,0.3876515282882634,scr1989,mustOut,spaceHeat
01ES,d091,0.4255253243486097,scr1989,mustOut,spaceHeat
02ES,d001,0.5455269994731845,scr1989,mustOut,spaceHeat
02ES,d002,0.579257903327214,scr1989,mustOut,spaceHeat
02ES,d003,0.572636906605675,scr1989,mustOut,spaceHeat
02ES,d004,0.5344669547206747,scr1989,mustOut,spaceHeat
02ES,d005,0.5157759409712769,scr1989,mustOut,spaceHeat
02ES,d006,0.47274497949785,scr1989,mustOut,spaceHeat
02ES,d007,0.45815230003643387,scr1989,mustOut,spaceHeat
02ES,d008,0.48359122249647873,scr1989,mustOut,spaceHeat
02ES,d009,0.5137117197593223,scr1989,mustOut,spaceHeat
02ES,d010,0.495760192808409,scr1989,mustOut,spaceHeat
02ES,d011,0.4841007667923402,scr1989,mustOut,spaceHeat
02ES,d012,0.4699348744586904,scr1989,mustOut,spaceHeat
02ES,d013,0.4760736304564322,scr1989,mustOut,spaceHeat
02ES,d014,0.47511586770726016,scr1989,mustOut,spaceHeat
02ES,d015,0.47223988902430963,scr1989,mustOut,spaceHeat
02ES,d016,0.5159717211390387,scr1989,mustOut,spaceHeat
02ES,d017,0.5232469476758245,scr1989,mustOut,spaceHeat
02ES,d018,0.5277512672616803,scr1989,mustOut,spaceHeat
02ES,d019,0.5465141767446127,scr1989,mustOut,spaceHeat
02ES,d020,0.5277917111900631,scr1989,mustOut,spaceHeat
02ES,d021,0.48588569868913006,scr1989,mustOut,spaceHeat
02ES,d022,0.5030756795751746,scr1989,mustOut,spaceHeat
02ES,d023,0.5488751361903385,scr1989,mustOut,spaceHeat
02ES,d024,0.5565476457863584,scr1989,mustOut,spaceHeat
02ES,d025,0.5186296993059729,scr1989,mustOut,spaceHeat
02ES,d026,0.4557432941364252,scr1989,mustOut,spaceHeat
02ES,d027,0.4867472605980121,scr1989,mustOut,spaceHeat
02ES,d028,0.48944131776817074,scr1989,mustOut,spaceHeat
02ES,d029,0.4968908274162182,scr1989,mustOut,spaceHeat
02ES,d030,0.5039260892246364,scr1989,mustOut,spaceHeat
02ES,d031,0.5177372880368738,scr1989,mustOut,spaceHeat
02ES,d032,0.48830878759319135,scr1989,mustOut,spaceHeat
02ES,d033,0.49192673350948385,scr1989,mustOut,spaceHeat
02ES,d034,0.4979200215212271,scr1989,mustOut,spaceHeat
02ES,d035,0.5003149728105797,scr1989,mustOut,spaceHeat
02ES,d036,0.49817823439909237,scr1989,mustOut,spaceHeat
02ES,d037,0.5031650398181012,scr1989,mustOut,spaceHeat
02ES,d038,0.4998778682890632,scr1989,mustOut,spaceHeat
02ES,d039,0.46671876501764414,scr1989,mustOut,spaceHeat
02ES,d040,0.4959329566244089,scr1989,mustOut,spaceHeat
02ES,d041,0.507665350502625,scr1989,mustOut,spaceHeat
02ES,d042,0.4582624904983093,scr1989,mustOut,spaceHeat
02ES,d043,0.45667388650747504,scr1989,mustOut,spaceHeat
02ES,d044,0.4621068858608958,scr1989,mustOut,spaceHeat
02ES,d045,0.4401407973441975,scr1989,mustOut,spaceHeat
02ES,d046,0.45190547077793203,scr1989,mustOut,spaceHeat
02ES,d047,0.45831229189887895,scr1989,mustOut,spaceHeat
02ES,d048,0.43918825168877085,scr1989,mustOut,spaceHeat
02ES,d049,0.38232877882342825,scr1989,mustOut,spaceHeat
02ES,d050,0.3637627722275196,scr1989,mustOut,spaceHeat
02ES,d051,0.3612586767689759,scr1989,mustOut,spaceHeat
02ES,d052,0.4174723808183703,scr1989,mustOut,spaceHeat
02ES,d053,0.46574695264550253,scr1989,mustOut,spaceHeat
02ES,d054,0.5296203386276402,scr1989,mustOut,spaceHeat
02ES,d055,0.5200227250480448,scr1989,mustOut,spaceHeat
02ES,d056,0.4442665961784702,scr1989,mustOut,spaceHeat
02ES,d057,0.5549101134176534,scr1989,mustOut,spaceHeat
02ES,d058,0.5249342909236049,scr1989,mustOut,spaceHeat
02ES,d059,0.43729618830091926,scr1989,mustOut,spaceHeat
02ES,d060,0.4206837922543762,scr1989,mustOut,spaceHeat
02ES,d061,0.38426472986581817,scr1989,mustOut,spaceHeat
02ES,d062,0.3872557078139482,scr1989,mustOut,spaceHeat
02ES,d063,0.36775703430073586,scr1989,mustOut,spaceHeat
02ES,d064,0.3466463837092523,scr1989,mustOut,spaceHeat
02ES,d065,0.3604691190209323,scr1989,mustOut,spaceHeat
02ES,d066,0.4086190864195534,scr1989,mustOut,spaceHeat
02ES,d067,0.4423628168190912,scr1989,mustOut,spaceHeat
02ES,d068,0.3917539406236679,scr1989,mustOut,spaceHeat
02ES,d069,0.3721692214367424,scr1989,mustOut,spaceHeat
02ES,d070,0.33650527131882885,scr1989,mustOut,spaceHeat
02ES,d071,0.32514904146252105,scr1989,mustOut,spaceHeat
02ES,d072,0.44910284878241286,scr1989,mustOut,spaceHeat
02ES,d073,0.4521284705733169,scr1989,mustOut,spaceHeat
02ES,d074,0.3771403329142711,scr1989,mustOut,spaceHeat
02ES,d075,0.39739522921496745,scr1989,mustOut,spaceHeat
02ES,d076,0.5012294281379973,scr1989,mustOut,spaceHeat
02ES,d077,0.5043747490920942,scr1989,mustOut,spaceHeat
02ES,d078,0.4889409447166271,scr1989,mustOut,spaceHeat
02ES,d079,0.4544533229605245,scr1989,mustOut,spaceHeat
02ES,d080,0.39349307161144437,scr1989,mustOut,spaceHeat
02ES,d081,0.3810957932712257,scr1989,mustOut,spaceHeat
02ES,d082,0.3969235584238753,scr1989,mustOut,spaceHeat
02ES,d083,0.38492289202598134,scr1989,mustOut,spaceHeat
02ES,d084,0.34603204829704426,scr1989,mustOut,spaceHeat
02ES,d085,0.31427638914973677,scr1989,mustOut,spaceHeat
02ES,d086,0.31685620499122985,scr1989,mustOut,spaceHeat
02ES,d087,0.48831441843669604,scr1989,mustOut,spaceHeat
02ES,d088,0.39053677158122985,scr1989,mustOut,spaceHeat
02ES,d089,0.3763835417072852,scr1989,mustOut,spaceHeat
02ES,d090,0.3778976523011432,scr1989,mustOut,spaceHeat
02ES,d091,0.371765205862814,scr1989,mustOut,spaceHeat
03ES,d001,0.5605868347114785,scr1989,mustOut,spaceHeat
03ES,d002,0.5952015671383537,scr1989,mustOut,spaceHeat
03ES,d003,0.6029119848247008,scr1989,mustOut,spaceHeat
03ES,d004,0.5899979488302771,scr1989,mustOut,spaceHeat
03ES,d005,0.5624398498285887,scr1989,mustOut,spaceHeat
03ES,d006,0.5297235807758935,scr1989,mustOut,spaceHeat
03ES,d007,0.47717858974363914,scr1989,mustOut,spaceHeat
03ES,d008,0.4949753821092367,scr1989,mustOut,spaceHeat
03ES,d009,0.5339173748697399,scr1989,mustOut,spaceHeat
03ES,d010,0.5168784191364969,scr1989,mustOut,spaceHeat
03ES,d011,0.47671250652214076,scr1989,mustOut,spaceHeat
03ES,d012,0.48222302606848544,scr1989,mustOut,spaceHeat
03ES,d013,0.4953632594557555,scr1989,mustOut,spaceHeat
03ES,d014,0.5007423813269881,scr1989,mustOut,spaceHeat
03ES,d015,0.48823675940510164,scr1989,mustOut,spaceHeat
03ES,d016,0.5313408927602703,scr1989,mustOut,spaceHeat
03ES,d017,0.5309104759758527,scr1989,mustOut,spaceHeat
03ES,d018,0.5150520493944147,scr1989,mustOut,spaceHeat
03ES,d019,0.5573395300090195,scr1989,mustOut,spaceHeat
03ES,d020,0.5323821992391177,scr1989,mustOut,spaceHeat
03ES,d021,0.5168462397450101,scr1989,mustOut,spaceHeat
03ES,d022,0.5274589746496837,scr1989,mustOut,spaceHeat
03ES,d023,0.5591544885500518,scr1989,mustOut,spaceHeat
03ES,d024,0.5707502807035368,scr1989,mustOut,spaceHeat
03ES,d025,0.5436498903572043,scr1989,mustOut,spaceHeat
03ES,d026,0.49137584166722176,scr1989,mustOut,spaceHeat
03ES,d027,0.5276742210512922,scr1989,mustOut,spaceHeat
03ES,d028,0.5273185480097294,scr1989,mustOut,spaceHeat
03ES,d029,0.521945487128955,scr1989,mustOut,spaceHeat
03ES,d030,0.5221712573660707,scr1989,mustOut,spaceHeat
03ES,d031,0.5394073439654982,scr1989,mustOut,spaceHeat
03ES,d032,0.49413696199840357,scr1989,mustOut,spaceHeat
03ES,d033,0.504737761202181,scr1989,mustOut,spaceHeat
03ES,d034,0.4989909521411296,scr1989,mustOut,spaceHeat
03ES,d035,0.5145963728072139,scr1989,mustOut,spaceHeat
03ES,d036,0.5171876778671368,scr1989,mustOut,spaceHeat
03ES,d037,0.5237271077053786,scr1989,mustOut,spaceHeat
03ES,d038,0.5099370815588707,scr1989,mustOut,spaceHeat
03ES,d039,0.4731312699670036,scr1989,mustOut,spaceHeat
03ES,d040,0.49163626442452907,scr1989,mustOut,spaceHeat
03ES,d041,0.4781699962728195,scr1989,mustOut,spaceHeat
03ES,d042,0.4455838188977834,scr1989,mustOut,spaceHeat
03ES,d043,0.4746152929467165,scr1989,mustOut,spaceHeat
