region_3,timestep_4,value,scenario_1,parameter,technology_3
al,d092,0.4598848760814352,scr1991,avaConv,runOfRiver
al,d093,0.43538439026934556,scr1991,avaConv,runOfRiver
al,d094,0.4286284055776908,scr1991,avaConv,runOfRiver
al,d095,0.4340827765330777,scr1991,avaConv,runOfRiver
al,d096,0.44003300720614863,scr1991,avaConv,runOfRiver
al,d097,0.4596280948554094,scr1991,avaConv,runOfRiver
al,d098,0.4806311454810841,scr1991,avaConv,runOfRiver
al,d099,0.47784194819584497,scr1991,avaConv,runOfRiver
al,d100,0.46872173052552485,scr1991,avaConv,runOfRiver
al,d101,0.4654809581669461,scr1991,avaConv,runOfRiver
al,d102,0.5012004129601055,scr1991,avaConv,runOfRiver
al,d103,0.526790359579174,scr1991,avaConv,runOfRiver
al,d104,0.5235584028500598,scr1991,avaConv,runOfRiver
al,d105,0.5089128000729922,scr1991,avaConv,runOfRiver
al,d106,0.489955041833484,scr1991,avaConv,runOfRiver
al,d107,0.47795705812524164,scr1991,avaConv,runOfRiver
al,d108,0.45343876594602833,scr1991,avaConv,runOfRiver
al,d109,0.47194479654230176,scr1991,avaConv,runOfRiver
al,d110,0.4856251385314299,scr1991,avaConv,runOfRiver
al,d111,0.5187680310460082,scr1991,avaConv,runOfRiver
al,d112,0.5022629665278352,scr1991,avaConv,runOfRiver
al,d113,0.4876351339396654,scr1991,avaConv,runOfRiver
al,d114,0.46544554104125785,scr1991,avaConv,runOfRiver
al,d115,0.4522876744775759,scr1991,avaConv,runOfRiver
al,d116,0.44218465526022865,scr1991,avaConv,runOfRiver
al,d117,0.4356588785235822,scr1991,avaConv,runOfRiver
al,d118,0.4675706387394804,scr1991,avaConv,runOfRiver
al,d119,0.4547138192949059,scr1991,avaConv,runOfRiver
al,d120,0.49910186759248304,scr1991,avaConv,runOfRiver
al,d121,0.4967819509681443,scr1991,avaConv,runOfRiver
al,d122,0.4876351336748724,scr1991,avaConv,runOfRiver
al,d123,0.47421156850083507,scr1991,avaConv,runOfRiver
al,d124,0.46916445899049036,scr1991,avaConv,runOfRiver
al,d125,0.4653038668691443,scr1991,avaConv,runOfRiver
al,d126,0.45720194676222276,scr1991,avaConv,runOfRiver
al,d127,0.40859074260764877,scr1991,avaConv,runOfRiver
al,d128,0.4187113856489682,scr1991,avaConv,runOfRiver
al,d129,0.42250110097352517,scr1991,avaConv,runOfRiver
al,d130,0.38272697515121323,scr1991,avaConv,runOfRiver
al,d131,0.3858791354525764,scr1991,avaConv,runOfRiver
al,d132,0.39118292448991704,scr1991,avaConv,runOfRiver
al,d133,0.39140428471274075,scr1991,avaConv,runOfRiver
al,d134,0.3934408000737375,scr1991,avaConv,runOfRiver
al,d135,0.40024985261265683,scr1991,avaConv,runOfRiver
al,d136,0.4017639606510032,scr1991,avaConv,runOfRiver
al,d137,0.3779898751223362,scr1991,avaConv,runOfRiver
al,d138,0.3920240943000373,scr1991,avaConv,runOfRiver
al,d139,0.3967523534036584,scr1991,avaConv,runOfRiver
al,d140,0.3865432157365616,scr1991,avaConv,runOfRiver
al,d141,0.3769273480331136,scr1991,avaConv,runOfRiver
al,d142,0.39119177946929545,scr1991,avaConv,runOfRiver
al,d143,0.3948840703007516,scr1991,avaConv,runOfRiver
al,d144,0.399700877795623,scr1991,avaConv,runOfRiver
al,d145,0.40438487443286947,scr1991,avaConv,runOfRiver
al,d146,0.3781049824848877,scr1991,avaConv,runOfRiver
al,d147,0.3547560511495036,scr1991,avaConv,runOfRiver
al,d148,0.3560310726253298,scr1991,avaConv,runOfRiver
al,d149,0.33637452019366937,scr1991,avaConv,runOfRiver
al,d150,0.31392900215184644,scr1991,avaConv,runOfRiver
al,d151,0.3083065778128639,scr1991,avaConv,runOfRiver
al,d152,0.3050482335358245,scr1991,avaConv,runOfRiver
al,d153,0.3205962337546458,scr1991,avaConv,runOfRiver
al,d154,0.3377734960354235,scr1991,avaConv,runOfRiver
al,d155,0.3446001533252836,scr1991,avaConv,runOfRiver
al,d156,0.3399782120528205,scr1991,avaConv,runOfRiver
al,d157,0.3442459813048173,scr1991,avaConv,runOfRiver
al,d158,0.36317652388380833,scr1991,avaConv,runOfRiver
al,d159,0.35564148240832943,scr1991,avaConv,runOfRiver
al,d160,0.36607189540873003,scr1991,avaConv,runOfRiver
al,d161,0.37835290347762784,scr1991,avaConv,runOfRiver
al,d162,0.3925110869579938,scr1991,avaConv,runOfRiver
al,d163,0.40817457760859827,scr1991,avaConv,runOfRiver
al,d164,0.40882980626417864,scr1991,avaConv,runOfRiver
al,d165,0.41086633047209437,scr1991,avaConv,runOfRiver
al,d166,0.4019941762052765,scr1991,avaConv,runOfRiver
al,d167,0.37533356202817064,scr1991,avaConv,runOfRiver
al,d168,0.3505679580348593,scr1991,avaConv,runOfRiver
al,d169,0.32836140835737754,scr1991,avaConv,runOfRiver
al,d170,0.29974458032422135,scr1991,avaConv,runOfRiver
al,d171,0.27104833800553063,scr1991,avaConv,runOfRiver
al,d172,0.2482668698003331,scr1991,avaConv,runOfRiver
al,d173,0.2324625136975228,scr1991,avaConv,runOfRiver
al,d174,0.20758305172526526,scr1991,avaConv,runOfRiver
al,d175,0.17740936126365103,scr1991,avaConv,runOfRiver
al,d176,0.1517072311070888,scr1991,avaConv,runOfRiver
al,d177,0.13068900028060854,scr1991,avaConv,runOfRiver
al,d178,0.11393840099450507,scr1991,avaConv,runOfRiver
al,d179,0.10103033610270441,scr1991,avaConv,runOfRiver
al,d180,0.09907377622118187,scr1991,avaConv,runOfRiver
al,d181,0.09168138656218688,scr1991,avaConv,runOfRiver
al,d182,0.09034456466244112,scr1991,avaConv,runOfRiver
at,d092,0.42493234526311824,scr1991,avaConv,runOfRiver
at,d093,0.4271383240085029,scr1991,avaConv,runOfRiver
at,d094,0.4240121773158581,scr1991,avaConv,runOfRiver
at,d095,0.42500929798185316,scr1991,avaConv,runOfRiver
at,d096,0.43612874879144997,scr1991,avaConv,runOfRiver
at,d097,0.45716259956027305,scr1991,avaConv,runOfRiver
at,d098,0.45919323300647097,scr1991,avaConv,runOfRiver
at,d099,0.4592855769925815,scr1991,avaConv,runOfRiver
at,d100,0.45639120013037665,scr1991,avaConv,runOfRiver
at,d101,0.4442190740396758,scr1991,avaConv,runOfRiver
at,d102,0.43069447651684123,scr1991,avaConv,runOfRiver
at,d103,0.4205609664857189,scr1991,avaConv,runOfRiver
at,d104,0.4125718900893554,scr1991,avaConv,runOfRiver
at,d105,0.40981839050769686,scr1991,avaConv,runOfRiver
at,d106,0.40502542178479856,scr1991,avaConv,runOfRiver
at,d107,0.40815761711186127,scr1991,avaConv,runOfRiver
at,d108,0.39768324105899394,scr1991,avaConv,runOfRiver
at,d109,0.3900561175979218,scr1991,avaConv,runOfRiver
at,d110,0.3800798779570537,scr1991,avaConv,runOfRiver
at,d111,0.3716361686519775,scr1991,avaConv,runOfRiver
at,d112,0.3670074103141456,scr1991,avaConv,runOfRiver
at,d113,0.36506216762818416,scr1991,avaConv,runOfRiver
at,d114,0.3678496806104217,scr1991,avaConv,runOfRiver
at,d115,0.36948665171451256,scr1991,avaConv,runOfRiver
at,d116,0.3690160807326371,scr1991,avaConv,runOfRiver
at,d117,0.37005469485136616,scr1991,avaConv,runOfRiver
at,d118,0.37538908130684984,scr1991,avaConv,runOfRiver
at,d119,0.38519788020459966,scr1991,avaConv,runOfRiver
at,d120,0.3968558882623432,scr1991,avaConv,runOfRiver
at,d121,0.40649451269544845,scr1991,avaConv,runOfRiver
at,d122,0.4583915262421874,scr1991,avaConv,runOfRiver
at,d123,0.5483769039412028,scr1991,avaConv,runOfRiver
at,d124,0.6172946664746086,scr1991,avaConv,runOfRiver
at,d125,0.6071882978018014,scr1991,avaConv,runOfRiver
