region_3,timestep_4,value,scenario_1,parameter,technology_3
at,d275,0.4521241178201572,scr2003,stInflow,pumpedStorageOpen
at,d276,0.4521241178201572,scr2003,stInflow,pumpedStorageOpen
at,d277,0.4521241178201572,scr2003,stInflow,pumpedStorageOpen
at,d278,0.4521241178201572,scr2003,stInflow,pumpedStorageOpen
at,d279,0.4521241178201572,scr2003,stInflow,pumpedStorageOpen
at,d280,0.4521241178201572,scr2003,stInflow,pumpedStorageOpen
at,d281,0.4471581041435499,scr2003,stInflow,pumpedStorageOpen
at,d282,0.44694219056315093,scr2003,stInflow,pumpedStorageOpen
at,d283,0.44694219056315093,scr2003,stInflow,pumpedStorageOpen
at,d284,0.44694219056315093,scr2003,stInflow,pumpedStorageOpen
at,d285,0.44694219056315093,scr2003,stInflow,pumpedStorageOpen
at,d286,0.44694219056315093,scr2003,stInflow,pumpedStorageOpen
at,d287,0.44694219056315093,scr2003,stInflow,pumpedStorageOpen
at,d288,0.42924261185850426,scr2003,stInflow,pumpedStorageOpen
at,d289,0.4284730657113213,scr2003,stInflow,pumpedStorageOpen
at,d290,0.4284730657113213,scr2003,stInflow,pumpedStorageOpen
at,d291,0.4284730657113213,scr2003,stInflow,pumpedStorageOpen
at,d292,0.4284730657113213,scr2003,stInflow,pumpedStorageOpen
at,d293,0.4284730657113213,scr2003,stInflow,pumpedStorageOpen
at,d294,0.4284730657113213,scr2003,stInflow,pumpedStorageOpen
at,d295,0.39644286076321494,scr2003,stInflow,pumpedStorageOpen
at,d296,0.3950502457788037,scr2003,stInflow,pumpedStorageOpen
at,d297,0.3950502457788037,scr2003,stInflow,pumpedStorageOpen
at,d298,0.3950502457788037,scr2003,stInflow,pumpedStorageOpen
at,d299,0.3950502457788037,scr2003,stInflow,pumpedStorageOpen
at,d300,0.3950502457788037,scr2003,stInflow,pumpedStorageOpen
at,d301,0.3950502457788037,scr2003,stInflow,pumpedStorageOpen
at,d302,0.35782937356286265,scr2003,stInflow,pumpedStorageOpen
at,d303,0.35621107865293306,scr2003,stInflow,pumpedStorageOpen
at,d304,0.35621107865293306,scr2003,stInflow,pumpedStorageOpen
at,d305,0.35621107865293306,scr2003,stInflow,pumpedStorageOpen
at,d306,0.35621107865293306,scr2003,stInflow,pumpedStorageOpen
at,d307,0.35621107865293306,scr2003,stInflow,pumpedStorageOpen
at,d308,0.35621107865293306,scr2003,stInflow,pumpedStorageOpen
at,d309,0.3191780695753136,scr2003,stInflow,pumpedStorageOpen
at,d310,0.31756794303131103,scr2003,stInflow,pumpedStorageOpen
at,d311,0.31756794303131103,scr2003,stInflow,pumpedStorageOpen
at,d312,0.31756794303131103,scr2003,stInflow,pumpedStorageOpen
at,d313,0.31756794303131103,scr2003,stInflow,pumpedStorageOpen
at,d314,0.31756794303131103,scr2003,stInflow,pumpedStorageOpen
at,d315,0.31756794303131103,scr2003,stInflow,pumpedStorageOpen
at,d316,0.2849399758690314,scr2003,stInflow,pumpedStorageOpen
at,d317,0.2835213723299868,scr2003,stInflow,pumpedStorageOpen
at,d318,0.2835213723299868,scr2003,stInflow,pumpedStorageOpen
at,d319,0.2835213723299868,scr2003,stInflow,pumpedStorageOpen
at,d320,0.2835213723299868,scr2003,stInflow,pumpedStorageOpen
at,d321,0.2835213723299868,scr2003,stInflow,pumpedStorageOpen
at,d322,0.2835213723299868,scr2003,stInflow,pumpedStorageOpen
at,d323,0.2587292511747649,scr2003,stInflow,pumpedStorageOpen
at,d324,0.2576513352545709,scr2003,stInflow,pumpedStorageOpen
at,d325,0.2576513352545709,scr2003,stInflow,pumpedStorageOpen
at,d326,0.2576513352545709,scr2003,stInflow,pumpedStorageOpen
at,d327,0.2576513352545709,scr2003,stInflow,pumpedStorageOpen
at,d328,0.2576513352545709,scr2003,stInflow,pumpedStorageOpen
at,d329,0.2576513352545709,scr2003,stInflow,pumpedStorageOpen
at,d330,0.2380985124643368,scr2003,stInflow,pumpedStorageOpen
at,d331,0.23724839136036882,scr2003,stInflow,pumpedStorageOpen
at,d332,0.23724839136036882,scr2003,stInflow,pumpedStorageOpen
at,d333,0.23724839136036882,scr2003,stInflow,pumpedStorageOpen
at,d334,0.23724839136036882,scr2003,stInflow,pumpedStorageOpen
at,d335,0.23724839136036882,scr2003,stInflow,pumpedStorageOpen
at,d336,0.23724839136036882,scr2003,stInflow,pumpedStorageOpen
at,d337,0.21819623331046825,scr2003,stInflow,pumpedStorageOpen
at,d338,0.21736788029337564,scr2003,stInflow,pumpedStorageOpen
at,d339,0.21736788029337564,scr2003,stInflow,pumpedStorageOpen
at,d340,0.21736788029337564,scr2003,stInflow,pumpedStorageOpen
at,d341,0.21736788029337564,scr2003,stInflow,pumpedStorageOpen
at,d342,0.21736788029337564,scr2003,stInflow,pumpedStorageOpen
at,d343,0.21736788029337564,scr2003,stInflow,pumpedStorageOpen
at,d344,0.20262934776837158,scr2003,stInflow,pumpedStorageOpen
at,d345,0.2019885430967028,scr2003,stInflow,pumpedStorageOpen
at,d346,0.2019885430967028,scr2003,stInflow,pumpedStorageOpen
at,d347,0.2019885430967028,scr2003,stInflow,pumpedStorageOpen
at,d348,0.2019885430967028,scr2003,stInflow,pumpedStorageOpen
at,d349,0.2019885430967028,scr2003,stInflow,pumpedStorageOpen
at,d350,0.2019885430967028,scr2003,stInflow,pumpedStorageOpen
at,d351,0.19915815436777873,scr2003,stInflow,pumpedStorageOpen
at,d352,0.19903509403029798,scr2003,stInflow,pumpedStorageOpen
at,d353,0.19903509403029798,scr2003,stInflow,pumpedStorageOpen
at,d354,0.19903509403029798,scr2003,stInflow,pumpedStorageOpen
at,d355,0.19903509403029798,scr2003,stInflow,pumpedStorageOpen
at,d356,0.19903509403029798,scr2003,stInflow,pumpedStorageOpen
at,d357,0.19903509403029798,scr2003,stInflow,pumpedStorageOpen
at,d358,0.20634017480997804,scr2003,stInflow,pumpedStorageOpen
at,d359,0.20665778729460682,scr2003,stInflow,pumpedStorageOpen
at,d360,0.20665778729460682,scr2003,stInflow,pumpedStorageOpen
at,d361,0.20665778729460682,scr2003,stInflow,pumpedStorageOpen
at,d362,0.20665778729460682,scr2003,stInflow,pumpedStorageOpen
at,d363,0.20665778729460682,scr2003,stInflow,pumpedStorageOpen
at,d364,0.20665778729460682,scr2003,stInflow,pumpedStorageOpen
at,d365,0.20665778729460682,scr2003,stInflow,pumpedStorageOpen
ba,d275,0.0,scr2003,stInflow,pumpedStorageOpen
ba,d276,0.0,scr2003,stInflow,pumpedStorageOpen
ba,d277,0.0,scr2003,stInflow,pumpedStorageOpen
ba,d278,0.0,scr2003,stInflow,pumpedStorageOpen
ba,d279,0.0,scr2003,stInflow,pumpedStorageOpen
ba,d280,0.0,scr2003,stInflow,pumpedStorageOpen
ba,d281,0.006837116765266378,scr2003,stInflow,pumpedStorageOpen
ba,d282,0.007134402454911174,scr2003,stInflow,pumpedStorageOpen
ba,d283,0.007134402454911174,scr2003,stInflow,pumpedStorageOpen
ba,d284,0.007134402454911174,scr2003,stInflow,pumpedStorageOpen
ba,d285,0.007134402454911174,scr2003,stInflow,pumpedStorageOpen
ba,d286,0.007134402454911174,scr2003,stInflow,pumpedStorageOpen
ba,d287,0.007134402454911174,scr2003,stInflow,pumpedStorageOpen
ba,d288,0.006335996274207154,scr2003,stInflow,pumpedStorageOpen
ba,d289,0.006301283061889987,scr2003,stInflow,pumpedStorageOpen
