region_4,timestep_4,value,scenario_1,parameter,technology_2
70AL,d275,0.9226690306121211,scr2009,avaConv,offshore
70AL,d276,0.3717534843733034,scr2009,avaConv,offshore
70AL,d277,0.02956551199652828,scr2009,avaConv,offshore
70AL,d278,0.04794418260781822,scr2009,avaConv,offshore
70AL,d279,0.0741295721180001,scr2009,avaConv,offshore
70AL,d280,0.11323242318975661,scr2009,avaConv,offshore
70AL,d281,0.01666539762952281,scr2009,avaConv,offshore
70AL,d282,0.00033887908120717314,scr2009,avaConv,offshore
70AL,d283,0.12367793873154326,scr2009,avaConv,offshore
70AL,d284,0.4080801703500007,scr2009,avaConv,offshore
70AL,d285,0.5604704575852163,scr2009,avaConv,offshore
70AL,d286,0.9467092676050771,scr2009,avaConv,offshore
70AL,d287,0.30105409907869235,scr2009,avaConv,offshore
70AL,d288,0.23850533405334726,scr2009,avaConv,offshore
70AL,d289,0.2787804358042239,scr2009,avaConv,offshore
70AL,d290,0.024948318317305155,scr2009,avaConv,offshore
70AL,d291,0.2985407253152641,scr2009,avaConv,offshore
70AL,d292,0.07269875110269465,scr2009,avaConv,offshore
70AL,d293,0.0010518777064998065,scr2009,avaConv,offshore
70AL,d294,0.26817446628914404,scr2009,avaConv,offshore
70AL,d295,0.9432708879858196,scr2009,avaConv,offshore
70AL,d296,0.9453789432745681,scr2009,avaConv,offshore
70AL,d297,0.7335235201188272,scr2009,avaConv,offshore
70AL,d298,0.17618175345247986,scr2009,avaConv,offshore
70AL,d299,0.17643478248104058,scr2009,avaConv,offshore
70AL,d300,0.5712538888835095,scr2009,avaConv,offshore
70AL,d301,0.47719340168132307,scr2009,avaConv,offshore
70AL,d302,0.16901583564968226,scr2009,avaConv,offshore
70AL,d303,0.42574153001862375,scr2009,avaConv,offshore
70AL,d304,0.5042462713737063,scr2009,avaConv,offshore
70AL,d305,0.15850458705624995,scr2009,avaConv,offshore
70AL,d306,0.17321942017015124,scr2009,avaConv,offshore
70AL,d307,0.5292974270096146,scr2009,avaConv,offshore
70AL,d308,0.5110429440855649,scr2009,avaConv,offshore
70AL,d309,0.6968763704282432,scr2009,avaConv,offshore
70AL,d310,0.8467011327401873,scr2009,avaConv,offshore
70AL,d311,0.07747741848808944,scr2009,avaConv,offshore
70AL,d312,0.25236439619021156,scr2009,avaConv,offshore
70AL,d313,0.38120377470842265,scr2009,avaConv,offshore
70AL,d314,0.2685409774216496,scr2009,avaConv,offshore
70AL,d315,0.1046723902371901,scr2009,avaConv,offshore
70AL,d316,0.1521856432418118,scr2009,avaConv,offshore
70AL,d317,0.01434320145796833,scr2009,avaConv,offshore
70AL,d318,0.0060176124918979515,scr2009,avaConv,offshore
70AL,d319,0.0017871121961744992,scr2009,avaConv,offshore
70AL,d320,0.03429594090591827,scr2009,avaConv,offshore
70AL,d321,0.010823928632630007,scr2009,avaConv,offshore
70AL,d322,0.03629622619934748,scr2009,avaConv,offshore
70AL,d323,0.3271130618596629,scr2009,avaConv,offshore
70AL,d324,0.24090653539266485,scr2009,avaConv,offshore
70AL,d325,0.18821896378500844,scr2009,avaConv,offshore
70AL,d326,0.08667878465849559,scr2009,avaConv,offshore
70AL,d327,0.008897373946809936,scr2009,avaConv,offshore
70AL,d328,0.1284846108086987,scr2009,avaConv,offshore
70AL,d329,0.3115000583480898,scr2009,avaConv,offshore
70AL,d330,0.08512509475614088,scr2009,avaConv,offshore
70AL,d331,0.6296358267398631,scr2009,avaConv,offshore
70AL,d332,0.5765882241111152,scr2009,avaConv,offshore
70AL,d333,0.27442149899526974,scr2009,avaConv,offshore
70AL,d334,0.9488485080101124,scr2009,avaConv,offshore
70AL,d335,0.9073192789391608,scr2009,avaConv,offshore
70AL,d336,0.33338648230974766,scr2009,avaConv,offshore
70AL,d337,0.7028574065262073,scr2009,avaConv,offshore
70AL,d338,0.4764409653261632,scr2009,avaConv,offshore
70AL,d339,0.4188125946870347,scr2009,avaConv,offshore
70AL,d340,0.21174686577752186,scr2009,avaConv,offshore
70AL,d341,0.04303198882372578,scr2009,avaConv,offshore
70AL,d342,0.3299017100983619,scr2009,avaConv,offshore
70AL,d343,0.3948630813252502,scr2009,avaConv,offshore
70AL,d344,0.8687013573620738,scr2009,avaConv,offshore
70AL,d345,0.15398256295696316,scr2009,avaConv,offshore
70AL,d346,0.010459981034866889,scr2009,avaConv,offshore
70AL,d347,0.01741065673196112,scr2009,avaConv,offshore
70AL,d348,0.8364307045152669,scr2009,avaConv,offshore
70AL,d349,0.8557697003736501,scr2009,avaConv,offshore
70AL,d350,0.37777971929828347,scr2009,avaConv,offshore
70AL,d351,0.38092609931429594,scr2009,avaConv,offshore
70AL,d352,0.2146166088529526,scr2009,avaConv,offshore
70AL,d353,0.666241943118403,scr2009,avaConv,offshore
70AL,d354,0.3846070798776237,scr2009,avaConv,offshore
70AL,d355,0.21055105071587346,scr2009,avaConv,offshore
70AL,d356,0.9496860112363188,scr2009,avaConv,offshore
70AL,d357,0.9437225922637924,scr2009,avaConv,offshore
70AL,d358,0.9491063882278382,scr2009,avaConv,offshore
70AL,d359,0.9484456960677505,scr2009,avaConv,offshore
70AL,d360,0.5174821376253204,scr2009,avaConv,offshore
70AL,d361,0.4876214175504367,scr2009,avaConv,offshore
70AL,d362,0.5520445762450226,scr2009,avaConv,offshore
70AL,d363,0.27117509597541317,scr2009,avaConv,offshore
