region_4,timestep_4,value,scenario_1,parameter,technology_3
01ES,d092,5.800379518587076,scr2013,effConv,heatpumpGroundSpace
01ES,d093,5.7061004279353975,scr2013,effConv,heatpumpGroundSpace
01ES,d094,5.535926838473913,scr2013,effConv,heatpumpGroundSpace
01ES,d095,5.2157957788025024,scr2013,effConv,heatpumpGroundSpace
01ES,d096,5.282123383262786,scr2013,effConv,heatpumpGroundSpace
01ES,d097,5.215395672182456,scr2013,effConv,heatpumpGroundSpace
01ES,d098,5.558309693573322,scr2013,effConv,heatpumpGroundSpace
01ES,d099,5.7162272583454365,scr2013,effConv,heatpumpGroundSpace
01ES,d100,5.945639537798748,scr2013,effConv,heatpumpGroundSpace
01ES,d101,5.949147893865664,scr2013,effConv,heatpumpGroundSpace
01ES,d102,5.976696789531111,scr2013,effConv,heatpumpGroundSpace
01ES,d103,6.129627762219173,scr2013,effConv,heatpumpGroundSpace
01ES,d104,6.130879566393047,scr2013,effConv,heatpumpGroundSpace
01ES,d105,6.091884013350943,scr2013,effConv,heatpumpGroundSpace
01ES,d106,6.033819702393917,scr2013,effConv,heatpumpGroundSpace
01ES,d107,6.1381898311716485,scr2013,effConv,heatpumpGroundSpace
01ES,d108,6.049919592209086,scr2013,effConv,heatpumpGroundSpace
01ES,d109,5.88284243671406,scr2013,effConv,heatpumpGroundSpace
01ES,d110,5.901324557669835,scr2013,effConv,heatpumpGroundSpace
01ES,d111,5.938180662004643,scr2013,effConv,heatpumpGroundSpace
01ES,d112,5.96194549776817,scr2013,effConv,heatpumpGroundSpace
01ES,d113,6.098155644736097,scr2013,effConv,heatpumpGroundSpace
01ES,d114,6.243911169512722,scr2013,effConv,heatpumpGroundSpace
01ES,d115,6.274157623616271,scr2013,effConv,heatpumpGroundSpace
01ES,d116,6.083128527378308,scr2013,effConv,heatpumpGroundSpace
01ES,d117,5.477672907542304,scr2013,effConv,heatpumpGroundSpace
01ES,d118,5.403876329793953,scr2013,effConv,heatpumpGroundSpace
01ES,d119,5.606906075984308,scr2013,effConv,heatpumpGroundSpace
01ES,d120,5.531021335845845,scr2013,effConv,heatpumpGroundSpace
01ES,d121,5.6381879147169265,scr2013,effConv,heatpumpGroundSpace
01ES,d122,5.849794770812294,scr2013,effConv,heatpumpGroundSpace
01ES,d123,5.91733395279459,scr2013,effConv,heatpumpGroundSpace
01ES,d124,6.0749868607822854,scr2013,effConv,heatpumpGroundSpace
01ES,d125,6.210093846286411,scr2013,effConv,heatpumpGroundSpace
01ES,d126,6.131231555583501,scr2013,effConv,heatpumpGroundSpace
01ES,d127,6.261513923479964,scr2013,effConv,heatpumpGroundSpace
01ES,d128,6.250759523547999,scr2013,effConv,heatpumpGroundSpace
01ES,d129,6.118690747989086,scr2013,effConv,heatpumpGroundSpace
01ES,d130,5.9605411233692465,scr2013,effConv,heatpumpGroundSpace
01ES,d131,5.900398480813387,scr2013,effConv,heatpumpGroundSpace
01ES,d132,5.99497887463557,scr2013,effConv,heatpumpGroundSpace
01ES,d133,6.096250219005924,scr2013,effConv,heatpumpGroundSpace
01ES,d134,6.152102722615969,scr2013,effConv,heatpumpGroundSpace
01ES,d135,5.95550241465002,scr2013,effConv,heatpumpGroundSpace
01ES,d136,5.684354295414124,scr2013,effConv,heatpumpGroundSpace
01ES,d137,5.687179422951996,scr2013,effConv,heatpumpGroundSpace
01ES,d138,5.682750521147798,scr2013,effConv,heatpumpGroundSpace
01ES,d139,5.745967010511284,scr2013,effConv,heatpumpGroundSpace
01ES,d140,5.8339029870522845,scr2013,effConv,heatpumpGroundSpace
01ES,d141,5.946346626290523,scr2013,effConv,heatpumpGroundSpace
01ES,d142,6.114516838805888,scr2013,effConv,heatpumpGroundSpace
01ES,d143,6.118841620583364,scr2013,effConv,heatpumpGroundSpace
01ES,d144,6.041073718119628,scr2013,effConv,heatpumpGroundSpace
01ES,d145,6.0421226354003155,scr2013,effConv,heatpumpGroundSpace
01ES,d146,6.035860934074569,scr2013,effConv,heatpumpGroundSpace
01ES,d147,5.97196129570931,scr2013,effConv,heatpumpGroundSpace
01ES,d148,5.943797838480755,scr2013,effConv,heatpumpGroundSpace
01ES,d149,5.802958474393123,scr2013,effConv,heatpumpGroundSpace
01ES,d150,6.014614749808494,scr2013,effConv,heatpumpGroundSpace
01ES,d151,6.120261551239055,scr2013,effConv,heatpumpGroundSpace
01ES,d152,6.173221819819059,scr2013,effConv,heatpumpGroundSpace
01ES,d153,6.1946120708967625,scr2013,effConv,heatpumpGroundSpace
01ES,d154,6.185527471607113,scr2013,effConv,heatpumpGroundSpace
01ES,d155,6.284775896912674,scr2013,effConv,heatpumpGroundSpace
01ES,d156,6.316194496680139,scr2013,effConv,heatpumpGroundSpace
01ES,d157,6.317983254173232,scr2013,effConv,heatpumpGroundSpace
01ES,d158,6.264137749368707,scr2013,effConv,heatpumpGroundSpace
01ES,d159,6.225783684650611,scr2013,effConv,heatpumpGroundSpace
01ES,d160,6.2914136061313,scr2013,effConv,heatpumpGroundSpace
01ES,d161,6.323905727104276,scr2013,effConv,heatpumpGroundSpace
01ES,d162,6.331335039250882,scr2013,effConv,heatpumpGroundSpace
01ES,d163,6.335461419597878,scr2013,effConv,heatpumpGroundSpace
01ES,d164,6.336011399138119,scr2013,effConv,heatpumpGroundSpace
01ES,d165,6.260894071911912,scr2013,effConv,heatpumpGroundSpace
01ES,d166,6.308206361711581,scr2013,effConv,heatpumpGroundSpace
01ES,d167,6.311512439384984,scr2013,effConv,heatpumpGroundSpace
01ES,d168,6.26137915650348,scr2013,effConv,heatpumpGroundSpace
01ES,d169,6.2152133023644405,scr2013,effConv,heatpumpGroundSpace
01ES,d170,6.274887495373819,scr2013,effConv,heatpumpGroundSpace
01ES,d171,6.205333261469469,scr2013,effConv,heatpumpGroundSpace
01ES,d172,6.326519326508547,scr2013,effConv,heatpumpGroundSpace
01ES,d173,6.259664291788746,scr2013,effConv,heatpumpGroundSpace
01ES,d174,6.303664035675863,scr2013,effConv,heatpumpGroundSpace
01ES,d175,6.237686640564228,scr2013,effConv,heatpumpGroundSpace
01ES,d176,6.3000767139116265,scr2013,effConv,heatpumpGroundSpace
01ES,d177,6.331747462128234,scr2013,effConv,heatpumpGroundSpace
01ES,d178,6.332985336216939,scr2013,effConv,heatpumpGroundSpace
01ES,d179,6.33463595219684,scr2013,effConv,heatpumpGroundSpace
01ES,d180,6.3400000000000025,scr2013,effConv,heatpumpGroundSpace
01ES,d181,6.3400000000000025,scr2013,effConv,heatpumpGroundSpace
01ES,d182,6.3400000000000025,scr2013,effConv,heatpumpGroundSpace
02ES,d092,5.353928913528402,scr2013,effConv,heatpumpGroundSpace
02ES,d093,5.2385845656187255,scr2013,effConv,heatpumpGroundSpace
02ES,d094,5.160836332694944,scr2013,effConv,heatpumpGroundSpace
02ES,d095,4.786126470705879,scr2013,effConv,heatpumpGroundSpace
02ES,d096,4.794442895224533,scr2013,effConv,heatpumpGroundSpace
02ES,d097,4.812824339392369,scr2013,effConv,heatpumpGroundSpace
02ES,d098,5.19679879594733,scr2013,effConv,heatpumpGroundSpace
02ES,d099,5.411452888709124,scr2013,effConv,heatpumpGroundSpace
02ES,d100,5.631598639536271,scr2013,effConv,heatpumpGroundSpace
02ES,d101,5.607589534108762,scr2013,effConv,heatpumpGroundSpace
02ES,d102,5.471006668845026,scr2013,effConv,heatpumpGroundSpace
02ES,d103,5.757076968770405,scr2013,effConv,heatpumpGroundSpace
02ES,d104,5.929685778729752,scr2013,effConv,heatpumpGroundSpace
02ES,d105,6.0017506979413495,scr2013,effConv,heatpumpGroundSpace
02ES,d106,5.96643786426964,scr2013,effConv,heatpumpGroundSpace
02ES,d107,6.0843723865121815,scr2013,effConv,heatpumpGroundSpace
02ES,d108,5.84949452346267,scr2013,effConv,heatpumpGroundSpace
02ES,d109,5.6147763871065814,scr2013,effConv,heatpumpGroundSpace
