region_4,timestep_4,value,scenario_1,parameter,technology_2
01ES,d092,3.9757423850282074,scr2014,effConv,heatpumpAir
01ES,d093,3.9383781395631083,scr2014,effConv,heatpumpAir
01ES,d094,3.959771450072616,scr2014,effConv,heatpumpAir
01ES,d095,4.054192863403667,scr2014,effConv,heatpumpAir
01ES,d096,4.055852534275389,scr2014,effConv,heatpumpAir
01ES,d097,4.04700008800777,scr2014,effConv,heatpumpAir
01ES,d098,4.004429914910728,scr2014,effConv,heatpumpAir
01ES,d099,4.027599726175887,scr2014,effConv,heatpumpAir
01ES,d100,4.060000000000001,scr2014,effConv,heatpumpAir
01ES,d101,4.046998851402439,scr2014,effConv,heatpumpAir
01ES,d102,4.018038858197376,scr2014,effConv,heatpumpAir
01ES,d103,4.0472753995361685,scr2014,effConv,heatpumpAir
01ES,d104,4.05792637054199,scr2014,effConv,heatpumpAir
01ES,d105,4.060000000000001,scr2014,effConv,heatpumpAir
01ES,d106,4.056267049976986,scr2014,effConv,heatpumpAir
01ES,d107,4.059170586373443,scr2014,effConv,heatpumpAir
01ES,d108,4.05792637054199,scr2014,effConv,heatpumpAir
01ES,d109,4.056266364025704,scr2014,effConv,heatpumpAir
01ES,d110,4.009051390987436,scr2014,effConv,heatpumpAir
01ES,d111,3.958323896553004,scr2014,effConv,heatpumpAir
01ES,d112,3.9896886525233284,scr2014,effConv,heatpumpAir
01ES,d113,4.026086801798061,scr2014,effConv,heatpumpAir
01ES,d114,3.907567578222901,scr2014,effConv,heatpumpAir
01ES,d115,3.922902276886988,scr2014,effConv,heatpumpAir
01ES,d116,4.029113892775054,scr2014,effConv,heatpumpAir
01ES,d117,3.970240837624228,scr2014,effConv,heatpumpAir
01ES,d118,4.0403564864327235,scr2014,effConv,heatpumpAir
01ES,d119,4.038967800229866,scr2014,effConv,heatpumpAir
01ES,d120,4.055714335795039,scr2014,effConv,heatpumpAir
01ES,d121,4.036893549007172,scr2014,effConv,heatpumpAir
01ES,d122,4.031076496363881,scr2014,effConv,heatpumpAir
01ES,d123,4.0044055582698075,scr2014,effConv,heatpumpAir
01ES,d124,4.043535032895535,scr2014,effConv,heatpumpAir
01ES,d125,4.057511472811222,scr2014,effConv,heatpumpAir
01ES,d126,4.060000000000001,scr2014,effConv,heatpumpAir
01ES,d127,4.056267257009643,scr2014,effConv,heatpumpAir
