region_4,category,timestep_4,value,scenario_1,parameter,technology_3
70AL,1,d001,0.26047261616961864,scr2016,avaConv,onshore_a
70AL,1,d002,0.29467594978135014,scr2016,avaConv,onshore_a
70AL,1,d003,0.7453430978512852,scr2016,avaConv,onshore_a
70AL,1,d004,0.7469406278603786,scr2016,avaConv,onshore_a
70AL,1,d005,0.6158416448434484,scr2016,avaConv,onshore_a
70AL,1,d006,0.8374514587681626,scr2016,avaConv,onshore_a
70AL,1,d007,0.8124476193632798,scr2016,avaConv,onshore_a
70AL,1,d008,0.3385858744675414,scr2016,avaConv,onshore_a
70AL,1,d009,0.7969423808029038,scr2016,avaConv,onshore_a
70AL,1,d010,0.8748810998519899,scr2016,avaConv,onshore_a
70AL,1,d011,0.8800717773084693,scr2016,avaConv,onshore_a
70AL,1,d012,0.802021574072819,scr2016,avaConv,onshore_a
70AL,1,d013,0.5282274044672763,scr2016,avaConv,onshore_a
70AL,1,d014,0.4394590599874715,scr2016,avaConv,onshore_a
70AL,1,d015,0.8806370811541192,scr2016,avaConv,onshore_a
70AL,1,d016,0.6700815257151346,scr2016,avaConv,onshore_a
70AL,1,d017,0.7844002729300629,scr2016,avaConv,onshore_a
70AL,1,d018,0.7712368600560211,scr2016,avaConv,onshore_a
70AL,1,d019,0.4933924186471045,scr2016,avaConv,onshore_a
70AL,1,d020,0.4380225882564356,scr2016,avaConv,onshore_a
70AL,1,d021,0.17930798596431358,scr2016,avaConv,onshore_a
70AL,1,d022,0.6677021460309659,scr2016,avaConv,onshore_a
70AL,1,d023,0.6140551705607603,scr2016,avaConv,onshore_a
70AL,1,d024,0.3374534641102248,scr2016,avaConv,onshore_a
70AL,1,d025,0.18651197439961043,scr2016,avaConv,onshore_a
70AL,1,d026,0.41587141291876195,scr2016,avaConv,onshore_a
70AL,1,d027,0.20564881153379044,scr2016,avaConv,onshore_a
70AL,1,d028,0.26034565837536605,scr2016,avaConv,onshore_a
70AL,1,d029,0.3310735221896546,scr2016,avaConv,onshore_a
70AL,1,d030,0.26552336094575546,scr2016,avaConv,onshore_a
70AL,1,d031,0.6881025653605249,scr2016,avaConv,onshore_a
70AL,1,d032,0.482033434586601,scr2016,avaConv,onshore_a
70AL,1,d033,0.3517898303397655,scr2016,avaConv,onshore_a
70AL,1,d034,0.7528851426196821,scr2016,avaConv,onshore_a
70AL,1,d035,0.7749333571300633,scr2016,avaConv,onshore_a
70AL,1,d036,0.8316637545520015,scr2016,avaConv,onshore_a
70AL,1,d037,0.4140755629806926,scr2016,avaConv,onshore_a
70AL,1,d038,0.420991437599078,scr2016,avaConv,onshore_a
70AL,1,d039,0.6309638437256343,scr2016,avaConv,onshore_a
70AL,1,d040,0.834605305910454,scr2016,avaConv,onshore_a
70AL,1,d041,0.8408730215259562,scr2016,avaConv,onshore_a
70AL,1,d042,0.6944600538086475,scr2016,avaConv,onshore_a
70AL,1,d043,0.5721357723432519,scr2016,avaConv,onshore_a
70AL,1,d044,0.8476782847630823,scr2016,avaConv,onshore_a
70AL,1,d045,0.8957014128010331,scr2016,avaConv,onshore_a
70AL,1,d046,0.8971759624120309,scr2016,avaConv,onshore_a
70AL,1,d047,0.7671873312397769,scr2016,avaConv,onshore_a
70AL,1,d048,0.7072785069886568,scr2016,avaConv,onshore_a
70AL,1,d049,0.7591826279842951,scr2016,avaConv,onshore_a
70AL,1,d050,0.6476899027246557,scr2016,avaConv,onshore_a
70AL,1,d051,0.5264831456948389,scr2016,avaConv,onshore_a
70AL,1,d052,0.4856575525344813,scr2016,avaConv,onshore_a
70AL,1,d053,0.33277513060795194,scr2016,avaConv,onshore_a
70AL,1,d054,0.488019755228396,scr2016,avaConv,onshore_a
70AL,1,d055,0.5086579595822124,scr2016,avaConv,onshore_a
70AL,1,d056,0.39873100753256363,scr2016,avaConv,onshore_a
70AL,1,d057,0.7888663153337215,scr2016,avaConv,onshore_a
70AL,1,d058,0.4763459798501357,scr2016,avaConv,onshore_a
70AL,1,d059,0.8082519814182457,scr2016,avaConv,onshore_a
70AL,1,d060,0.8448869465823264,scr2016,avaConv,onshore_a
70AL,1,d061,0.7134990576603064,scr2016,avaConv,onshore_a
70AL,1,d062,0.3667552139116298,scr2016,avaConv,onshore_a
70AL,1,d063,0.7353853798663208,scr2016,avaConv,onshore_a
70AL,1,d064,0.5368118061824809,scr2016,avaConv,onshore_a
70AL,1,d065,0.6094371410684666,scr2016,avaConv,onshore_a
70AL,1,d066,0.912828790357375,scr2016,avaConv,onshore_a
70AL,1,d067,0.7225471537165623,scr2016,avaConv,onshore_a
70AL,1,d068,0.31426869935810786,scr2016,avaConv,onshore_a
70AL,1,d069,0.3579048585874295,scr2016,avaConv,onshore_a
70AL,1,d070,0.3792610359439619,scr2016,avaConv,onshore_a
70AL,1,d071,0.43480012119479816,scr2016,avaConv,onshore_a
70AL,1,d072,0.8497892308369311,scr2016,avaConv,onshore_a
70AL,1,d073,0.8458649359391229,scr2016,avaConv,onshore_a
70AL,1,d074,0.7558715058764048,scr2016,avaConv,onshore_a
70AL,1,d075,0.46876586161907896,scr2016,avaConv,onshore_a
70AL,1,d076,0.6400097374311228,scr2016,avaConv,onshore_a
70AL,1,d077,0.6799908392112213,scr2016,avaConv,onshore_a
70AL,1,d078,0.44531042887024763,scr2016,avaConv,onshore_a
70AL,1,d079,0.47641706811780227,scr2016,avaConv,onshore_a
70AL,1,d080,0.3435566129968385,scr2016,avaConv,onshore_a
70AL,1,d081,0.6023916640266468,scr2016,avaConv,onshore_a
70AL,1,d082,0.7878748878609853,scr2016,avaConv,onshore_a
70AL,1,d083,0.8457109791108487,scr2016,avaConv,onshore_a
70AL,1,d084,0.717127150330196,scr2016,avaConv,onshore_a
70AL,1,d085,0.642870770181356,scr2016,avaConv,onshore_a
70AL,1,d086,0.19750016112404423,scr2016,avaConv,onshore_a
70AL,1,d087,0.39068438266207794,scr2016,avaConv,onshore_a
70AL,1,d088,0.4497872237329318,scr2016,avaConv,onshore_a
70AL,1,d089,0.5682253226396455,scr2016,avaConv,onshore_a
70AL,1,d090,0.3079629590171672,scr2016,avaConv,onshore_a
