region_4,timestep_5,value,scenario_1,parameter,technology_2
01ES,hh0001,3.8503629401948274,scr2003,effConv,heatpumpAir
01ES,hh0002,3.299622565997197,scr2003,effConv,heatpumpAir
01ES,hh0003,3.8132514568205806,scr2003,effConv,heatpumpAir
01ES,hh0004,3.5873358403969178,scr2003,effConv,heatpumpAir
01ES,hh0005,3.4819402770463057,scr2003,effConv,heatpumpAir
01ES,hh0006,4.031289708769691,scr2003,effConv,heatpumpAir
02ES,hh0001,3.567834565690646,scr2003,effConv,heatpumpAir
02ES,hh0002,3.098856752671054,scr2003,effConv,heatpumpAir
02ES,hh0003,3.63529772511356,scr2003,effConv,heatpumpAir
02ES,hh0004,3.2974977468893485,scr2003,effConv,heatpumpAir
02ES,hh0005,3.3425837242757552,scr2003,effConv,heatpumpAir
02ES,hh0006,3.989030321850805,scr2003,effConv,heatpumpAir
03ES,hh0001,3.471411878394065,scr2003,effConv,heatpumpAir
03ES,hh0002,3.0092918908248976,scr2003,effConv,heatpumpAir
03ES,hh0003,3.5810881596516992,scr2003,effConv,heatpumpAir
03ES,hh0004,3.0825849951161217,scr2003,effConv,heatpumpAir
03ES,hh0005,3.2359179900740855,scr2003,effConv,heatpumpAir
03ES,hh0006,3.987177591166983,scr2003,effConv,heatpumpAir
04ES,hh0001,3.599221058189869,scr2003,effConv,heatpumpAir
04ES,hh0002,3.227348418906331,scr2003,effConv,heatpumpAir
04ES,hh0003,3.6748234294354916,scr2003,effConv,heatpumpAir
04ES,hh0004,3.2449152041226625,scr2003,effConv,heatpumpAir
04ES,hh0005,3.332954293116927,scr2003,effConv,heatpumpAir
04ES,hh0006,3.9853779077529907,scr2003,effConv,heatpumpAir
05ES,hh0001,3.3356142789125443,scr2003,effConv,heatpumpAir
05ES,hh0002,3.1631745379418135,scr2003,effConv,heatpumpAir
05ES,hh0003,3.710271941497922,scr2003,effConv,heatpumpAir
05ES,hh0004,3.133175304159522,scr2003,effConv,heatpumpAir
05ES,hh0005,3.2555976156145334,scr2003,effConv,heatpumpAir
05ES,hh0006,3.9642423689365387,scr2003,effConv,heatpumpAir
06ES,hh0001,3.464418950577965,scr2003,effConv,heatpumpAir
06ES,hh0002,3.46062740652269,scr2003,effConv,heatpumpAir
06ES,hh0003,3.8741384111690422,scr2003,effConv,heatpumpAir
06ES,hh0004,3.463859678413428,scr2003,effConv,heatpumpAir
06ES,hh0005,3.5553685718841734,scr2003,effConv,heatpumpAir
06ES,hh0006,4.009566294882461,scr2003,effConv,heatpumpAir
07ES,hh0001,3.467851426859852,scr2003,effConv,heatpumpAir
07ES,hh0002,3.153208621979502,scr2003,effConv,heatpumpAir
07ES,hh0003,3.7423044293300336,scr2003,effConv,heatpumpAir
07ES,hh0004,3.2804706826864276,scr2003,effConv,heatpumpAir
07ES,hh0005,3.392794267514546,scr2003,effConv,heatpumpAir
07ES,hh0006,4.033368695909303,scr2003,effConv,heatpumpAir
08ES,hh0001,3.6951315864116623,scr2003,effConv,heatpumpAir
08ES,hh0002,3.2292654582743126,scr2003,effConv,heatpumpAir
08ES,hh0003,3.8671349693049706,scr2003,effConv,heatpumpAir
08ES,hh0004,3.4189307579054002,scr2003,effConv,heatpumpAir
08ES,hh0005,3.5851594364885386,scr2003,effConv,heatpumpAir
08ES,hh0006,4.046813232494969,scr2003,effConv,heatpumpAir
09ES,hh0001,3.7983438012452098,scr2003,effConv,heatpumpAir
09ES,hh0002,3.5497544651716453,scr2003,effConv,heatpumpAir
09ES,hh0003,3.9735507945915742,scr2003,effConv,heatpumpAir
09ES,hh0004,3.659274496145372,scr2003,effConv,heatpumpAir
09ES,hh0005,3.871451377395715,scr2003,effConv,heatpumpAir
09ES,hh0006,4.0543216309215495,scr2003,effConv,heatpumpAir
10ES,hh0001,3.428913015679427,scr2003,effConv,heatpumpAir
10ES,hh0002,3.1923484398430446,scr2003,effConv,heatpumpAir
10ES,hh0003,3.803710598507678,scr2003,effConv,heatpumpAir
10ES,hh0004,3.3379028283852676,scr2003,effConv,heatpumpAir
10ES,hh0005,3.677964315735153,scr2003,effConv,heatpumpAir
10ES,hh0006,4.0389815913222264,scr2003,effConv,heatpumpAir
11ES,hh0001,3.739778183400631,scr2003,effConv,heatpumpAir
11ES,hh0002,3.411682181060314,scr2003,effConv,heatpumpAir
11ES,hh0003,3.849712423980236,scr2003,effConv,heatpumpAir
11ES,hh0004,3.419998001307249,scr2003,effConv,heatpumpAir
11ES,hh0005,3.5325942933559418,scr2003,effConv,heatpumpAir
11ES,hh0006,4.03883695229888,scr2003,effConv,heatpumpAir
12PT,hh0001,3.868184409029709,scr2003,effConv,heatpumpAir
12PT,hh0002,3.367057844565352,scr2003,effConv,heatpumpAir
12PT,hh0003,3.9280049584322114,scr2003,effConv,heatpumpAir
12PT,hh0004,3.636243623268456,scr2003,effConv,heatpumpAir
12PT,hh0005,3.580881859634246,scr2003,effConv,heatpumpAir
12PT,hh0006,4.028686450421446,scr2003,effConv,heatpumpAir
13PT,hh0001,3.97359801402672,scr2003,effConv,heatpumpAir
13PT,hh0002,3.5478718791036954,scr2003,effConv,heatpumpAir
13PT,hh0003,4.021123189872014,scr2003,effConv,heatpumpAir
13PT,hh0004,3.857816882600673,scr2003,effConv,heatpumpAir
13PT,hh0005,3.8427555147354724,scr2003,effConv,heatpumpAir
13PT,hh0006,4.05892774703716,scr2003,effConv,heatpumpAir
14FR,hh0001,3.460529661830291,scr2003,effConv,heatpumpAir
14FR,hh0002,3.1589843658997063,scr2003,effConv,heatpumpAir
14FR,hh0003,3.675032331721901,scr2003,effConv,heatpumpAir
14FR,hh0004,3.2022993930660695,scr2003,effConv,heatpumpAir
14FR,hh0005,3.516660157381174,scr2003,effConv,heatpumpAir
14FR,hh0006,3.964677260366582,scr2003,effConv,heatpumpAir
15FR,hh0001,3.484193493488918,scr2003,effConv,heatpumpAir
15FR,hh0002,3.0766784236738425,scr2003,effConv,heatpumpAir
15FR,hh0003,3.5580752401533444,scr2003,effConv,heatpumpAir
15FR,hh0004,3.130539462367868,scr2003,effConv,heatpumpAir
15FR,hh0005,3.477280763848073,scr2003,effConv,heatpumpAir
15FR,hh0006,3.9426572805922095,scr2003,effConv,heatpumpAir
16FR,hh0001,3.5348094338835496,scr2003,effConv,heatpumpAir
16FR,hh0002,3.250264210697089,scr2003,effConv,heatpumpAir
16FR,hh0003,3.6885619265879765,scr2003,effConv,heatpumpAir
16FR,hh0004,3.280818363367238,scr2003,effConv,heatpumpAir
16FR,hh0005,3.4343534604002546,scr2003,effConv,heatpumpAir
16FR,hh0006,3.934939415526146,scr2003,effConv,heatpumpAir
17FR,hh0001,3.5216793642458954,scr2003,effConv,heatpumpAir
17FR,hh0002,3.0919095366718503,scr2003,effConv,heatpumpAir
17FR,hh0003,3.6297594271849896,scr2003,effConv,heatpumpAir
17FR,hh0004,3.1924541972089617,scr2003,effConv,heatpumpAir
