region_4,timestep_5,value,scenario_1,parameter,technology_3
01ES,hh0001,4.607440233230591,scr2006,effConv,heatpumpGroundSpace
01ES,hh0002,4.609766006469727,scr2006,effConv,heatpumpGroundSpace
01ES,hh0003,4.899065483361483,scr2006,effConv,heatpumpGroundSpace
01ES,hh0004,4.4270418882369995,scr2006,effConv,heatpumpGroundSpace
01ES,hh0005,4.672863107174635,scr2006,effConv,heatpumpGroundSpace
01ES,hh0006,5.330473076552153,scr2006,effConv,heatpumpGroundSpace
02ES,hh0001,4.318342786282301,scr2006,effConv,heatpumpGroundSpace
02ES,hh0002,4.292088828980923,scr2006,effConv,heatpumpGroundSpace
02ES,hh0003,4.52116584777832,scr2006,effConv,heatpumpGroundSpace
02ES,hh0004,4.064013224095106,scr2006,effConv,heatpumpGroundSpace
02ES,hh0005,4.3385393135249615,scr2006,effConv,heatpumpGroundSpace
02ES,hh0006,4.955279495567083,scr2006,effConv,heatpumpGroundSpace
03ES,hh0001,4.288117915399198,scr2006,effConv,heatpumpGroundSpace
03ES,hh0002,4.201645117391308,scr2006,effConv,heatpumpGroundSpace
03ES,hh0003,4.334917461505029,scr2006,effConv,heatpumpGroundSpace
03ES,hh0004,3.8265063718008605,scr2006,effConv,heatpumpGroundSpace
03ES,hh0005,4.2181937977038615,scr2006,effConv,heatpumpGroundSpace
03ES,hh0006,4.823805327991067,scr2006,effConv,heatpumpGroundSpace
04ES,hh0001,4.559701217762267,scr2006,effConv,heatpumpGroundSpace
04ES,hh0002,4.678802547916348,scr2006,effConv,heatpumpGroundSpace
04ES,hh0003,4.7467587709525105,scr2006,effConv,heatpumpGroundSpace
04ES,hh0004,4.192171904389397,scr2006,effConv,heatpumpGroundSpace
04ES,hh0005,4.742463108714219,scr2006,effConv,heatpumpGroundSpace
04ES,hh0006,5.130505162444024,scr2006,effConv,heatpumpGroundSpace
05ES,hh0001,4.27965531072914,scr2006,effConv,heatpumpGroundSpace
05ES,hh0002,4.524221425912401,scr2006,effConv,heatpumpGroundSpace
05ES,hh0003,4.645700563971332,scr2006,effConv,heatpumpGroundSpace
05ES,hh0004,3.9309123247658135,scr2006,effConv,heatpumpGroundSpace
05ES,hh0005,4.794176335031807,scr2006,effConv,heatpumpGroundSpace
05ES,hh0006,5.332714243424562,scr2006,effConv,heatpumpGroundSpace
06ES,hh0001,4.3839033851909335,scr2006,effConv,heatpumpGroundSpace
06ES,hh0002,4.955057590563229,scr2006,effConv,heatpumpGroundSpace
06ES,hh0003,5.103051097557909,scr2006,effConv,heatpumpGroundSpace
06ES,hh0004,4.530313095332531,scr2006,effConv,heatpumpGroundSpace
06ES,hh0005,5.2963248059786565,scr2006,effConv,heatpumpGroundSpace
06ES,hh0006,5.6950239061661705,scr2006,effConv,heatpumpGroundSpace
07ES,hh0001,4.415616678934384,scr2006,effConv,heatpumpGroundSpace
07ES,hh0002,4.361176393147616,scr2006,effConv,heatpumpGroundSpace
07ES,hh0003,4.426027519828494,scr2006,effConv,heatpumpGroundSpace
07ES,hh0004,3.805331957850285,scr2006,effConv,heatpumpGroundSpace
07ES,hh0005,4.384347120410894,scr2006,effConv,heatpumpGroundSpace
07ES,hh0006,5.250463541091449,scr2006,effConv,heatpumpGroundSpace
08ES,hh0001,4.244170490652323,scr2006,effConv,heatpumpGroundSpace
08ES,hh0002,4.167782370001078,scr2006,effConv,heatpumpGroundSpace
08ES,hh0003,4.474112443625927,scr2006,effConv,heatpumpGroundSpace
08ES,hh0004,3.8928199373185635,scr2006,effConv,heatpumpGroundSpace
08ES,hh0005,4.452030412852764,scr2006,effConv,heatpumpGroundSpace
08ES,hh0006,5.378317069262266,scr2006,effConv,heatpumpGroundSpace
