region_3,timestep_6,value,scenario_1,parameter,technology_3
at,h0001,0.11510863140682537,scr1993,stInflow,pumpedStorageOpen
at,h0002,0.11510863140682537,scr1993,stInflow,pumpedStorageOpen
at,h0003,0.11510863140682537,scr1993,stInflow,pumpedStorageOpen
at,h0004,0.11286743796844814,scr1993,stInflow,pumpedStorageOpen
at,h0005,0.11066912778048735,scr1993,stInflow,pumpedStorageOpen
at,h0006,0.10652889973192507,scr1993,stInflow,pumpedStorageOpen
at,h0007,0.10458353417301755,scr1993,stInflow,pumpedStorageOpen
at,h0008,0.10220326491753584,scr1993,stInflow,pumpedStorageOpen
at,h0009,0.10172993744831327,scr1993,stInflow,pumpedStorageOpen
at,h0010,0.10125934255046101,scr1993,stInflow,pumpedStorageOpen
at,h0011,0.10130322005163284,scr1993,stInflow,pumpedStorageOpen
at,h0012,0.10134712156021335,scr1993,stInflow,pumpedStorageOpen
at,h0013,0.10150304041739852,scr1993,stInflow,pumpedStorageOpen
at,h0014,0.10161518914593681,scr1993,stInflow,pumpedStorageOpen
at,h0015,0.1030637481324309,scr1993,stInflow,pumpedStorageOpen
at,h0016,0.10442121863155826,scr1993,stInflow,pumpedStorageOpen
at,h0017,0.10951941597921513,scr1993,stInflow,pumpedStorageOpen
at,h0018,0.11337618982135435,scr1993,stInflow,pumpedStorageOpen
at,h0019,0.11736520161118072,scr1993,stInflow,pumpedStorageOpen
at,h0020,0.12322412860915531,scr1993,stInflow,pumpedStorageOpen
at,h0021,0.1293283750693314,scr1993,stInflow,pumpedStorageOpen
at,h0022,0.14235900987183597,scr1993,stInflow,pumpedStorageOpen
at,h0023,0.14927736011334714,scr1993,stInflow,pumpedStorageOpen
at,h0024,0.16272860144200127,scr1993,stInflow,pumpedStorageOpen
ba,h0001,0.08236018986133657,scr1993,stInflow,pumpedStorageOpen
ba,h0002,0.08236018986133657,scr1993,stInflow,pumpedStorageOpen
ba,h0003,0.08236018986133659,scr1993,stInflow,pumpedStorageOpen
ba,h0004,0.080857610039431,scr1993,stInflow,pumpedStorageOpen
ba,h0005,0.07935446303012988,scr1993,stInflow,pumpedStorageOpen
ba,h0006,0.060602810857146534,scr1993,stInflow,pumpedStorageOpen
ba,h0007,0.04325317399569415,scr1993,stInflow,pumpedStorageOpen
ba,h0008,0.023061093438604657,scr1993,stInflow,pumpedStorageOpen
ba,h0009,0.020358981041162634,scr1993,stInflow,pumpedStorageOpen
ba,h0010,0.017649544879747892,scr1993,stInflow,pumpedStorageOpen
ba,h0011,0.01721177861669957,scr1993,stInflow,pumpedStorageOpen
ba,h0012,0.016773786142417754,scr1993,stInflow,pumpedStorageOpen
ba,h0013,0.01895790150986261,scr1993,stInflow,pumpedStorageOpen
