region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0001,0.32160105141500006,scr2009,avaConv,runOfRiver
al,h0002,0.2729783047132685,scr2009,avaConv,runOfRiver
al,h0003,0.24099696550927074,scr2009,avaConv,runOfRiver
al,h0004,0.1749457900075796,scr2009,avaConv,runOfRiver
al,h0005,0.13386550215255794,scr2009,avaConv,runOfRiver
al,h0006,0.13682692289772574,scr2009,avaConv,runOfRiver
al,h0007,0.156049235137469,scr2009,avaConv,runOfRiver
al,h0008,0.3685098907252763,scr2009,avaConv,runOfRiver
al,h0009,0.5880760485927706,scr2009,avaConv,runOfRiver
al,h0010,0.8485177457311628,scr2009,avaConv,runOfRiver
al,h0011,0.8264078406538571,scr2009,avaConv,runOfRiver
al,h0012,0.7214949758183289,scr2009,avaConv,runOfRiver
al,h0013,0.6239013621208837,scr2009,avaConv,runOfRiver
al,h0014,0.6038833434624261,scr2009,avaConv,runOfRiver
al,h0015,0.6164791118160474,scr2009,avaConv,runOfRiver
al,h0016,0.5525847737396854,scr2009,avaConv,runOfRiver
al,h0017,0.442869276704808,scr2009,avaConv,runOfRiver
al,h0018,0.33671704708674577,scr2009,avaConv,runOfRiver
al,h0019,0.26177100322966107,scr2009,avaConv,runOfRiver
al,h0020,0.21101427408686113,scr2009,avaConv,runOfRiver
al,h0021,0.28135688097090245,scr2009,avaConv,runOfRiver
al,h0022,0.4359236730797547,scr2009,avaConv,runOfRiver
al,h0023,0.5961153100169329,scr2009,avaConv,runOfRiver
al,h0024,0.6116668334616604,scr2009,avaConv,runOfRiver
at,h0001,0.37466445874333987,scr2009,avaConv,runOfRiver
at,h0002,0.3638628451013224,scr2009,avaConv,runOfRiver
at,h0003,0.35590876749729794,scr2009,avaConv,runOfRiver
at,h0004,0.3420449581314104,scr2009,avaConv,runOfRiver
at,h0005,0.33331502760475684,scr2009,avaConv,runOfRiver
at,h0006,0.32734135286632166,scr2009,avaConv,runOfRiver
at,h0007,0.3236709931096178,scr2009,avaConv,runOfRiver
at,h0008,0.3406756167289,scr2009,avaConv,runOfRiver
at,h0009,0.3541957247661047,scr2009,avaConv,runOfRiver
at,h0010,0.3687688863321469,scr2009,avaConv,runOfRiver
at,h0011,0.3613134667264041,scr2009,avaConv,runOfRiver
at,h0012,0.35859819288719413,scr2009,avaConv,runOfRiver
at,h0013,0.3418255245788401,scr2009,avaConv,runOfRiver
at,h0014,0.33532576493163985,scr2009,avaConv,runOfRiver
at,h0015,0.328496613699199,scr2009,avaConv,runOfRiver
at,h0016,0.33256585041087433,scr2009,avaConv,runOfRiver
at,h0017,0.3265425152746135,scr2009,avaConv,runOfRiver
at,h0018,0.31888823381030706,scr2009,avaConv,runOfRiver
at,h0019,0.31928185019911115,scr2009,avaConv,runOfRiver
at,h0020,0.3519989273005971,scr2009,avaConv,runOfRiver
at,h0021,0.4293786800083031,scr2009,avaConv,runOfRiver
at,h0022,0.559088623056254,scr2009,avaConv,runOfRiver
at,h0023,0.7225989480942229,scr2009,avaConv,runOfRiver
at,h0024,0.8456569309093518,scr2009,avaConv,runOfRiver
ba,h0001,0.3625663745634793,scr2009,avaConv,runOfRiver
ba,h0002,0.34537570413250396,scr2009,avaConv,runOfRiver
ba,h0003,0.31760859139398473,scr2009,avaConv,runOfRiver
ba,h0004,0.2777170754194961,scr2009,avaConv,runOfRiver
