region_4,timestep_6,value,scenario_1,parameter,technology_1
70AL,h0001,0.0,scr1985,avaConv,solar
70AL,h0002,0.0,scr1985,avaConv,solar
70AL,h0003,0.0,scr1985,avaConv,solar
70AL,h0004,0.0,scr1985,avaConv,solar
70AL,h0005,0.02347777485727178,scr1985,avaConv,solar
70AL,h0006,0.1341824524803385,scr1985,avaConv,solar
70AL,h0007,0.19575849070929305,scr1985,avaConv,solar
70AL,h0008,0.12095555820882778,scr1985,avaConv,solar
70AL,h0009,0.018144859622662397,scr1985,avaConv,solar
70AL,h0010,0.0034306326057687146,scr1985,avaConv,solar
70AL,h0011,0.0,scr1985,avaConv,solar
70AL,h0012,0.0,scr1985,avaConv,solar
70AL,h0013,0.0,scr1985,avaConv,solar
70AL,h0014,0.0,scr1985,avaConv,solar
70AL,h0015,0.0,scr1985,avaConv,solar
70AL,h0016,0.0,scr1985,avaConv,solar
70AL,h0017,0.04547853924235338,scr1985,avaConv,solar
70AL,h0018,0.2862268191690809,scr1985,avaConv,solar
70AL,h0019,0.7295070334494196,scr1985,avaConv,solar
70AL,h0020,0.5315376282086878,scr1985,avaConv,solar
70AL,h0021,0.17089098481544607,scr1985,avaConv,solar
70AL,h0022,0.008522641708157733,scr1985,avaConv,solar
70AL,h0023,0.0,scr1985,avaConv,solar
70AL,h0024,0.0,scr1985,avaConv,solar
49AT,h0001,0.0,scr1985,avaConv,solar
49AT,h0002,0.0,scr1985,avaConv,solar
49AT,h0003,0.0,scr1985,avaConv,solar
49AT,h0004,0.0,scr1985,avaConv,solar
49AT,h0005,0.004463537208426631,scr1985,avaConv,solar
49AT,h0006,0.021704934388930657,scr1985,avaConv,solar
49AT,h0007,0.17195879267126077,scr1985,avaConv,solar
49AT,h0008,0.16676046837256575,scr1985,avaConv,solar
49AT,h0009,0.11918204610434648,scr1985,avaConv,solar
49AT,h0010,0.003336219709102584,scr1985,avaConv,solar
49AT,h0011,0.0,scr1985,avaConv,solar
49AT,h0012,0.0,scr1985,avaConv,solar
49AT,h0013,0.0,scr1985,avaConv,solar
49AT,h0014,0.0,scr1985,avaConv,solar
49AT,h0015,0.0,scr1985,avaConv,solar
49AT,h0016,0.0,scr1985,avaConv,solar
49AT,h0017,0.07216743949347754,scr1985,avaConv,solar
49AT,h0018,0.37548877246364454,scr1985,avaConv,solar
49AT,h0019,0.8533911183776113,scr1985,avaConv,solar
49AT,h0020,0.7060247319089497,scr1985,avaConv,solar
49AT,h0021,0.2993162594383118,scr1985,avaConv,solar
49AT,h0022,0.03501608605035465,scr1985,avaConv,solar
49AT,h0023,0.00189011927057974,scr1985,avaConv,solar
49AT,h0024,0.0,scr1985,avaConv,solar
50AT,h0001,0.0,scr1985,avaConv,solar
50AT,h0002,0.0,scr1985,avaConv,solar
50AT,h0003,0.0,scr1985,avaConv,solar
50AT,h0004,0.0,scr1985,avaConv,solar
50AT,h0005,0.0012299274298688198,scr1985,avaConv,solar
50AT,h0006,0.011834314203900355,scr1985,avaConv,solar
50AT,h0007,0.17201219557167063,scr1985,avaConv,solar
50AT,h0008,0.22820340108498002,scr1985,avaConv,solar
50AT,h0009,0.15991137913564582,scr1985,avaConv,solar
50AT,h0010,0.008934243035325126,scr1985,avaConv,solar
50AT,h0011,0.0,scr1985,avaConv,solar
50AT,h0012,0.0,scr1985,avaConv,solar
50AT,h0013,0.0,scr1985,avaConv,solar
