region_4,timestep_5,value,scenario_1,parameter,carrier_1
01ES,hh0019,0.1370921701527914,scr2017,mustOut,spaceHeat
01ES,hh0020,0.22197633117531068,scr2017,mustOut,spaceHeat
01ES,hh0021,0.16970911538776498,scr2017,mustOut,spaceHeat
01ES,hh0022,0.25901699961611946,scr2017,mustOut,spaceHeat
01ES,hh0023,0.3455227857313816,scr2017,mustOut,spaceHeat
01ES,hh0024,0.17278695977048303,scr2017,mustOut,spaceHeat
02ES,hh0019,0.15198816199616255,scr2017,mustOut,spaceHeat
02ES,hh0020,0.22812964729596008,scr2017,mustOut,spaceHeat
02ES,hh0021,0.16191543549097268,scr2017,mustOut,spaceHeat
02ES,hh0022,0.25821271134743284,scr2017,mustOut,spaceHeat
02ES,hh0023,0.30695437250433405,scr2017,mustOut,spaceHeat
02ES,hh0024,0.18323477142134614,scr2017,mustOut,spaceHeat
03ES,hh0019,0.14751101845612472,scr2017,mustOut,spaceHeat
03ES,hh0020,0.21159141534188305,scr2017,mustOut,spaceHeat
03ES,hh0021,0.1295917669145656,scr2017,mustOut,spaceHeat
03ES,hh0022,0.28212705165353846,scr2017,mustOut,spaceHeat
03ES,hh0023,0.30423750527472226,scr2017,mustOut,spaceHeat
03ES,hh0024,0.15030086374103507,scr2017,mustOut,spaceHeat
04ES,hh0019,0.1404241557697693,scr2017,mustOut,spaceHeat
04ES,hh0020,0.1834351325352744,scr2017,mustOut,spaceHeat
04ES,hh0021,0.1334362262067067,scr2017,mustOut,spaceHeat
04ES,hh0022,0.2429167484007002,scr2017,mustOut,spaceHeat
04ES,hh0023,0.23941942650411405,scr2017,mustOut,spaceHeat
04ES,hh0024,0.11892266986996311,scr2017,mustOut,spaceHeat
05ES,hh0019,0.11351797979203548,scr2017,mustOut,spaceHeat
05ES,hh0020,0.16604339406922958,scr2017,mustOut,spaceHeat
05ES,hh0021,0.11611392389529705,scr2017,mustOut,spaceHeat
05ES,hh0022,0.25785742592517935,scr2017,mustOut,spaceHeat
05ES,hh0023,0.2605934937572231,scr2017,mustOut,spaceHeat
05ES,hh0024,0.11963626936992706,scr2017,mustOut,spaceHeat
06ES,hh0019,0.08059349108926005,scr2017,mustOut,spaceHeat
06ES,hh0020,0.12446936130605775,scr2017,mustOut,spaceHeat
06ES,hh0021,0.1169147147162309,scr2017,mustOut,spaceHeat
06ES,hh0022,0.16932209330459724,scr2017,mustOut,spaceHeat
06ES,hh0023,0.19421642874087916,scr2017,mustOut,spaceHeat
06ES,hh0024,0.1349356189714414,scr2017,mustOut,spaceHeat
07ES,hh0019,0.08921368105380843,scr2017,mustOut,spaceHeat
07ES,hh0020,0.1514834815802187,scr2017,mustOut,spaceHeat
07ES,hh0021,0.11110778781438045,scr2017,mustOut,spaceHeat
07ES,hh0022,0.22282248537358285,scr2017,mustOut,spaceHeat
07ES,hh0023,0.2640131105952802,scr2017,mustOut,spaceHeat
07ES,hh0024,0.14722325948944712,scr2017,mustOut,spaceHeat
08ES,hh0019,0.08405207720412117,scr2017,mustOut,spaceHeat
08ES,hh0020,0.14388653182987757,scr2017,mustOut,spaceHeat
08ES,hh0021,0.10317237325988515,scr2017,mustOut,spaceHeat
08ES,hh0022,0.18305190011003442,scr2017,mustOut,spaceHeat
08ES,hh0023,0.24057471016460838,scr2017,mustOut,spaceHeat
08ES,hh0024,0.1274001889470293,scr2017,mustOut,spaceHeat
09ES,hh0019,0.06910392020338157,scr2017,mustOut,spaceHeat
09ES,hh0020,0.1109034948050123,scr2017,mustOut,spaceHeat
09ES,hh0021,0.07709464516267592,scr2017,mustOut,spaceHeat
09ES,hh0022,0.14122030389374357,scr2017,mustOut,spaceHeat
09ES,hh0023,0.1696307633143665,scr2017,mustOut,spaceHeat
09ES,hh0024,0.09101571152159983,scr2017,mustOut,spaceHeat
10ES,hh0019,0.07550049952534482,scr2017,mustOut,spaceHeat
10ES,hh0020,0.12645461474701583,scr2017,mustOut,spaceHeat
10ES,hh0021,0.09352778729800278,scr2017,mustOut,spaceHeat
10ES,hh0022,0.1716775284705237,scr2017,mustOut,spaceHeat
10ES,hh0023,0.2096754309980147,scr2017,mustOut,spaceHeat
10ES,hh0024,0.11821883402695238,scr2017,mustOut,spaceHeat
11ES,hh0019,0.06086698116719981,scr2017,mustOut,spaceHeat
11ES,hh0020,0.10191549555846831,scr2017,mustOut,spaceHeat
11ES,hh0021,0.08123536502425559,scr2017,mustOut,spaceHeat
11ES,hh0022,0.1183061886697218,scr2017,mustOut,spaceHeat
11ES,hh0023,0.15500446660010525,scr2017,mustOut,spaceHeat
11ES,hh0024,0.09585089908732017,scr2017,mustOut,spaceHeat
12PT,hh0019,0.1314650094576986,scr2017,mustOut,spaceHeat
12PT,hh0020,0.2060398263401044,scr2017,mustOut,spaceHeat
12PT,hh0021,0.14955672958558472,scr2017,mustOut,spaceHeat
12PT,hh0022,0.26157073124560676,scr2017,mustOut,spaceHeat
12PT,hh0023,0.3292796934988074,scr2017,mustOut,spaceHeat
12PT,hh0024,0.1572190846345366,scr2017,mustOut,spaceHeat
13PT,hh0019,0.1034821966583796,scr2017,mustOut,spaceHeat
13PT,hh0020,0.16205884525013678,scr2017,mustOut,spaceHeat
13PT,hh0021,0.11161221099703325,scr2017,mustOut,spaceHeat
13PT,hh0022,0.21210182464795688,scr2017,mustOut,spaceHeat
13PT,hh0023,0.27272022867000373,scr2017,mustOut,spaceHeat
13PT,hh0024,0.11139556285298086,scr2017,mustOut,spaceHeat
14FR,hh0019,0.04048489479417576,scr2017,mustOut,spaceHeat
14FR,hh0020,0.041217620993149524,scr2017,mustOut,spaceHeat
14FR,hh0021,0.025484347182803013,scr2017,mustOut,spaceHeat
14FR,hh0022,0.1385416635549214,scr2017,mustOut,spaceHeat
14FR,hh0023,0.07176704229884592,scr2017,mustOut,spaceHeat
14FR,hh0024,0.024664964613684302,scr2017,mustOut,spaceHeat
15FR,hh0019,0.04618641008296378,scr2017,mustOut,spaceHeat
15FR,hh0020,0.043946957340494405,scr2017,mustOut,spaceHeat
15FR,hh0021,0.03848781551664005,scr2017,mustOut,spaceHeat
15FR,hh0022,0.13441004717312427,scr2017,mustOut,spaceHeat
15FR,hh0023,0.07888747783703497,scr2017,mustOut,spaceHeat
15FR,hh0024,0.0505119125635354,scr2017,mustOut,spaceHeat
16FR,hh0019,0.029528018595481105,scr2017,mustOut,spaceHeat
16FR,hh0020,0.02879304886469985,scr2017,mustOut,spaceHeat
16FR,hh0021,0.033454964346267366,scr2017,mustOut,spaceHeat
16FR,hh0022,0.10671668110491424,scr2017,mustOut,spaceHeat
16FR,hh0023,0.06795988759290106,scr2017,mustOut,spaceHeat
16FR,hh0024,0.07392942235135022,scr2017,mustOut,spaceHeat
17FR,hh0019,0.041603287204947235,scr2017,mustOut,spaceHeat
17FR,hh0020,0.04563453977974529,scr2017,mustOut,spaceHeat
17FR,hh0021,0.0266859135587494,scr2017,mustOut,spaceHeat
17FR,hh0022,0.14227590887372632,scr2017,mustOut,spaceHeat
17FR,hh0023,0.0754530356855211,scr2017,mustOut,spaceHeat
17FR,hh0024,0.034541836726412825,scr2017,mustOut,spaceHeat
18FR,hh0019,0.07139741745803145,scr2017,mustOut,spaceHeat
18FR,hh0020,0.05691612886629675,scr2017,mustOut,spaceHeat
18FR,hh0021,0.04071648137533079,scr2017,mustOut,spaceHeat
18FR,hh0022,0.1600950581900713,scr2017,mustOut,spaceHeat
18FR,hh0023,0.08496136249184856,scr2017,mustOut,spaceHeat
18FR,hh0024,0.06759513920586048,scr2017,mustOut,spaceHeat
19FR,hh0019,0.0523697077043393,scr2017,mustOut,spaceHeat
19FR,hh0020,0.04325203194845257,scr2017,mustOut,spaceHeat
19FR,hh0021,0.0590493159633399,scr2017,mustOut,spaceHeat
19FR,hh0022,0.15889732395919776,scr2017,mustOut,spaceHeat
19FR,hh0023,0.09069371168219362,scr2017,mustOut,spaceHeat
19FR,hh0024,0.08230958395388663,scr2017,mustOut,spaceHeat
20FR,hh0019,0.08829190119873886,scr2017,mustOut,spaceHeat
20FR,hh0020,0.06444888511845398,scr2017,mustOut,spaceHeat
20FR,hh0021,0.10549675881447457,scr2017,mustOut,spaceHeat
20FR,hh0022,0.21077228507679996,scr2017,mustOut,spaceHeat
20FR,hh0023,0.14340740425732096,scr2017,mustOut,spaceHeat
20FR,hh0024,0.12858805021227004,scr2017,mustOut,spaceHeat
21FR,hh0019,0.043291210510055356,scr2017,mustOut,spaceHeat
21FR,hh0020,0.04421233743778837,scr2017,mustOut,spaceHeat
21FR,hh0021,0.03291757437903707,scr2017,mustOut,spaceHeat
21FR,hh0022,0.1409461019223488,scr2017,mustOut,spaceHeat
21FR,hh0023,0.09507692474126044,scr2017,mustOut,spaceHeat
21FR,hh0024,0.038376871515865454,scr2017,mustOut,spaceHeat
22FR,hh0019,0.05201698107451927,scr2017,mustOut,spaceHeat
22FR,hh0020,0.04905141422150759,scr2017,mustOut,spaceHeat
22FR,hh0021,0.03899333429752453,scr2017,mustOut,spaceHeat
22FR,hh0022,0.1464576384429172,scr2017,mustOut,spaceHeat
22FR,hh0023,0.08335147614290092,scr2017,mustOut,spaceHeat
22FR,hh0024,0.05015820876368877,scr2017,mustOut,spaceHeat
23FR,hh0019,0.06680142114435975,scr2017,mustOut,spaceHeat
23FR,hh0020,0.05385191536579724,scr2017,mustOut,spaceHeat
23FR,hh0021,0.042240581357599685,scr2017,mustOut,spaceHeat
23FR,hh0022,0.19197390792516927,scr2017,mustOut,spaceHeat
23FR,hh0023,0.09460795078376229,scr2017,mustOut,spaceHeat
23FR,hh0024,0.07698063058597268,scr2017,mustOut,spaceHeat
24FR,hh0019,0.05642050267450066,scr2017,mustOut,spaceHeat
24FR,hh0020,0.042618302534660146,scr2017,mustOut,spaceHeat
24FR,hh0021,0.04067518606619219,scr2017,mustOut,spaceHeat
24FR,hh0022,0.14197109058327423,scr2017,mustOut,spaceHeat
24FR,hh0023,0.08306684606085749,scr2017,mustOut,spaceHeat
24FR,hh0024,0.08551420580344388,scr2017,mustOut,spaceHeat
25FR,hh0019,0.06018017164230813,scr2017,mustOut,spaceHeat
25FR,hh0020,0.050317531138368114,scr2017,mustOut,spaceHeat
25FR,hh0021,0.07462715092937461,scr2017,mustOut,spaceHeat
25FR,hh0022,0.17656120633559785,scr2017,mustOut,spaceHeat
25FR,hh0023,0.13024166447713934,scr2017,mustOut,spaceHeat
25FR,hh0024,0.12682654680795774,scr2017,mustOut,spaceHeat
26FR,hh0019,0.05315793567550803,scr2017,mustOut,spaceHeat
26FR,hh0020,0.04810747750642463,scr2017,mustOut,spaceHeat
26FR,hh0021,0.04499601756918005,scr2017,mustOut,spaceHeat
26FR,hh0022,0.17339772909175982,scr2017,mustOut,spaceHeat
26FR,hh0023,0.1116602910425937,scr2017,mustOut,spaceHeat
26FR,hh0024,0.08002620609131503,scr2017,mustOut,spaceHeat
27FR,hh0019,0.07624626625830948,scr2017,mustOut,spaceHeat
27FR,hh0020,0.059954895917999525,scr2017,mustOut,spaceHeat
27FR,hh0021,0.056514861445035786,scr2017,mustOut,spaceHeat
27FR,hh0022,0.17937680949122664,scr2017,mustOut,spaceHeat
27FR,hh0023,0.11956628007782535,scr2017,mustOut,spaceHeat
27FR,hh0024,0.10476688515204421,scr2017,mustOut,spaceHeat
28BE,hh0019,0.05198904522495329,scr2017,mustOut,spaceHeat
28BE,hh0020,0.0497724864241668,scr2017,mustOut,spaceHeat
28BE,hh0021,0.05385914497049216,scr2017,mustOut,spaceHeat
28BE,hh0022,0.16599662435491852,scr2017,mustOut,spaceHeat
28BE,hh0023,0.12299171953009227,scr2017,mustOut,spaceHeat
28BE,hh0024,0.09715518706130512,scr2017,mustOut,spaceHeat
29LU,hh0019,0.06044448944062483,scr2017,mustOut,spaceHeat
29LU,hh0020,0.049482124286838874,scr2017,mustOut,spaceHeat
29LU,hh0021,0.07345638027037843,scr2017,mustOut,spaceHeat
29LU,hh0022,0.17700750700908946,scr2017,mustOut,spaceHeat
29LU,hh0023,0.12869541169556298,scr2017,mustOut,spaceHeat
