region_4,timestep_6,value,scenario_1,parameter,technology_2
70AL,h0025,0.24039019937087477,scr2006,avaConv,offshore
70AL,h0026,0.030026792996382126,scr2006,avaConv,offshore
70AL,h0027,0.2898162676477909,scr2006,avaConv,offshore
70AL,h0028,0.3132099454681133,scr2006,avaConv,offshore
70AL,h0029,0.3945865796727512,scr2006,avaConv,offshore
70AL,h0030,0.038890340747433895,scr2006,avaConv,offshore
70AL,h0031,0.2655582423599667,scr2006,avaConv,offshore
70AL,h0032,0.7306123447868613,scr2006,avaConv,offshore
70AL,h0033,0.7371477980930994,scr2006,avaConv,offshore
70AL,h0034,0.4794154458651706,scr2006,avaConv,offshore
70AL,h0035,0.07220505795190654,scr2006,avaConv,offshore
70AL,h0036,0.5308599030773029,scr2006,avaConv,offshore
70AL,h0037,0.48741570631850883,scr2006,avaConv,offshore
70AL,h0038,0.43063977748652327,scr2006,avaConv,offshore
70AL,h0039,0.029470054431048394,scr2006,avaConv,offshore
70AL,h0040,0.0972288364785137,scr2006,avaConv,offshore
70AL,h0041,0.10820486966467997,scr2006,avaConv,offshore
70AL,h0042,0.09762261005674089,scr2006,avaConv,offshore
70AL,h0043,0.0020209194812237548,scr2006,avaConv,offshore
70AL,h0044,0.0,scr2006,avaConv,offshore
70AL,h0045,0.05497693524432948,scr2006,avaConv,offshore
70AL,h0046,0.3423358939528296,scr2006,avaConv,offshore
70AL,h0047,0.3460641430896639,scr2006,avaConv,offshore
70AL,h0048,0.5786633739875793,scr2006,avaConv,offshore
49AT,h0025,NaN,scr2006,avaConv,offshore
49AT,h0026,NaN,scr2006,avaConv,offshore
49AT,h0027,NaN,scr2006,avaConv,offshore
49AT,h0028,NaN,scr2006,avaConv,offshore
49AT,h0029,NaN,scr2006,avaConv,offshore
49AT,h0030,NaN,scr2006,avaConv,offshore
49AT,h0031,NaN,scr2006,avaConv,offshore
49AT,h0032,NaN,scr2006,avaConv,offshore
49AT,h0033,NaN,scr2006,avaConv,offshore
49AT,h0034,NaN,scr2006,avaConv,offshore
49AT,h0035,NaN,scr2006,avaConv,offshore
49AT,h0036,NaN,scr2006,avaConv,offshore
49AT,h0037,NaN,scr2006,avaConv,offshore
49AT,h0038,NaN,scr2006,avaConv,offshore
49AT,h0039,NaN,scr2006,avaConv,offshore
49AT,h0040,NaN,scr2006,avaConv,offshore
49AT,h0041,NaN,scr2006,avaConv,offshore
49AT,h0042,NaN,scr2006,avaConv,offshore
49AT,h0043,NaN,scr2006,avaConv,offshore
49AT,h0044,NaN,scr2006,avaConv,offshore
49AT,h0045,NaN,scr2006,avaConv,offshore
49AT,h0046,NaN,scr2006,avaConv,offshore
49AT,h0047,NaN,scr2006,avaConv,offshore
49AT,h0048,NaN,scr2006,avaConv,offshore
50AT,h0025,NaN,scr2006,avaConv,offshore
50AT,h0026,NaN,scr2006,avaConv,offshore
50AT,h0027,NaN,scr2006,avaConv,offshore
50AT,h0028,NaN,scr2006,avaConv,offshore
50AT,h0029,NaN,scr2006,avaConv,offshore
50AT,h0030,NaN,scr2006,avaConv,offshore
50AT,h0031,NaN,scr2006,avaConv,offshore
50AT,h0032,NaN,scr2006,avaConv,offshore
50AT,h0033,NaN,scr2006,avaConv,offshore
50AT,h0034,NaN,scr2006,avaConv,offshore
50AT,h0035,NaN,scr2006,avaConv,offshore
