region_4,category,timestep_6,value,scenario_1,parameter,technology_3
70AL,1,h0001,0.9499923370384035,scr1986,avaConv,onshore_a
70AL,1,h0002,0.9427577662667398,scr1986,avaConv,onshore_a
70AL,1,h0003,0.8359290270638237,scr1986,avaConv,onshore_a
70AL,1,h0004,0.7770213129343181,scr1986,avaConv,onshore_a
70AL,1,h0005,0.6189636480343577,scr1986,avaConv,onshore_a
70AL,1,h0006,0.5442418097251132,scr1986,avaConv,onshore_a
70AL,1,h0007,0.39304990431319586,scr1986,avaConv,onshore_a
70AL,1,h0008,0.5509989312342727,scr1986,avaConv,onshore_a
70AL,1,h0009,0.6371510511512178,scr1986,avaConv,onshore_a
70AL,1,h0010,0.6925185026751582,scr1986,avaConv,onshore_a
70AL,1,h0011,0.7146455358423425,scr1986,avaConv,onshore_a
70AL,1,h0012,0.7660516356660422,scr1986,avaConv,onshore_a
70AL,1,h0013,0.845291740620162,scr1986,avaConv,onshore_a
70AL,1,h0014,0.7214004481863068,scr1986,avaConv,onshore_a
70AL,1,h0015,0.7056521262504337,scr1986,avaConv,onshore_a
70AL,1,h0016,0.7278446699852582,scr1986,avaConv,onshore_a
70AL,1,h0017,0.8438679345045631,scr1986,avaConv,onshore_a
70AL,1,h0018,0.8924788618992647,scr1986,avaConv,onshore_a
70AL,1,h0019,0.8296925435753173,scr1986,avaConv,onshore_a
70AL,1,h0020,0.6462958172005571,scr1986,avaConv,onshore_a
70AL,1,h0021,0.46170607369089095,scr1986,avaConv,onshore_a
70AL,1,h0022,0.28684650698512226,scr1986,avaConv,onshore_a
70AL,1,h0023,0.26360814903758045,scr1986,avaConv,onshore_a
70AL,1,h0024,0.27284578307773266,scr1986,avaConv,onshore_a
49AT,1,h0001,0.2565457062896734,scr1986,avaConv,onshore_a
49AT,1,h0002,0.21897147545438006,scr1986,avaConv,onshore_a
49AT,1,h0003,0.36739515657843475,scr1986,avaConv,onshore_a
49AT,1,h0004,0.32425719315017976,scr1986,avaConv,onshore_a
49AT,1,h0005,0.647840052129407,scr1986,avaConv,onshore_a
49AT,1,h0006,0.5732810677521541,scr1986,avaConv,onshore_a
49AT,1,h0007,0.8700431523078763,scr1986,avaConv,onshore_a
49AT,1,h0008,0.5738112766737762,scr1986,avaConv,onshore_a
49AT,1,h0009,0.944012760447699,scr1986,avaConv,onshore_a
49AT,1,h0010,0.6153266927597196,scr1986,avaConv,onshore_a
49AT,1,h0011,0.9022911402366969,scr1986,avaConv,onshore_a
49AT,1,h0012,0.49307596858633673,scr1986,avaConv,onshore_a
49AT,1,h0013,0.5128217389120249,scr1986,avaConv,onshore_a
49AT,1,h0014,0.23050709776475145,scr1986,avaConv,onshore_a
49AT,1,h0015,0.16807424714744348,scr1986,avaConv,onshore_a
49AT,1,h0016,0.18428986489236557,scr1986,avaConv,onshore_a
49AT,1,h0017,0.09412905401994397,scr1986,avaConv,onshore_a
49AT,1,h0018,0.0738913318125475,scr1986,avaConv,onshore_a
49AT,1,h0019,0.13766949675059698,scr1986,avaConv,onshore_a
49AT,1,h0020,0.23643964409272486,scr1986,avaConv,onshore_a
49AT,1,h0021,0.22982030694486497,scr1986,avaConv,onshore_a
49AT,1,h0022,0.16764250065816463,scr1986,avaConv,onshore_a
49AT,1,h0023,0.062020005279763646,scr1986,avaConv,onshore_a
49AT,1,h0024,0.058900409422519076,scr1986,avaConv,onshore_a
50AT,1,h0001,0.5371573702087191,scr1986,avaConv,onshore_a
50AT,1,h0002,0.3433995823928207,scr1986,avaConv,onshore_a
50AT,1,h0003,0.4495931914333231,scr1986,avaConv,onshore_a
50AT,1,h0004,0.3317208539704375,scr1986,avaConv,onshore_a
50AT,1,h0005,0.6604990863214648,scr1986,avaConv,onshore_a
50AT,1,h0006,0.6852091834484908,scr1986,avaConv,onshore_a
50AT,1,h0007,0.9269056407123619,scr1986,avaConv,onshore_a
50AT,1,h0008,0.6679472735833133,scr1986,avaConv,onshore_a
50AT,1,h0009,0.8001562407437094,scr1986,avaConv,onshore_a
50AT,1,h0010,0.5239955084157328,scr1986,avaConv,onshore_a
50AT,1,h0011,0.7588859747282661,scr1986,avaConv,onshore_a
50AT,1,h0012,0.6746434161581274,scr1986,avaConv,onshore_a
50AT,1,h0013,0.6578993424892616,scr1986,avaConv,onshore_a
