region_3,timestep_6,value,scenario_1,parameter,carrier_1
at,h0001,4.957136729991003,scr1984,dem,electricity
at,h0002,4.845466450646164,scr1984,dem,electricity
at,h0003,4.773764468103451,scr1984,dem,electricity
at,h0004,6.1241106484918575,scr1984,dem,electricity
at,h0005,7.854041826695173,scr1984,dem,electricity
at,h0006,9.498165691860027,scr1984,dem,electricity
at,h0007,9.830058757234152,scr1984,dem,electricity
at,h0008,8.642580693222698,scr1984,dem,electricity
at,h0009,8.598800561268828,scr1984,dem,electricity
at,h0010,8.031829550892926,scr1984,dem,electricity
at,h0011,8.803068752394328,scr1984,dem,electricity
at,h0012,7.893743186860618,scr1984,dem,electricity
at,h0013,7.187208312776928,scr1984,dem,electricity
at,h0014,6.144085459583657,scr1984,dem,electricity
at,h0015,5.433541767430146,scr1984,dem,electricity
at,h0016,6.455469846796468,scr1984,dem,electricity
at,h0017,6.6368749333974435,scr1984,dem,electricity
at,h0018,8.259585806300851,scr1984,dem,electricity
at,h0019,7.872407009304659,scr1984,dem,electricity
at,h0020,8.981318960413745,scr1984,dem,electricity
at,h0021,8.085594182750832,scr1984,dem,electricity
at,h0022,8.966494653826832,scr1984,dem,electricity
at,h0023,8.503363005525298,scr1984,dem,electricity
at,h0024,8.458252263188808,scr1984,dem,electricity
be,h0001,7.018339673115406,scr1984,dem,electricity
be,h0002,6.95525375631405,scr1984,dem,electricity
be,h0003,6.795414408639772,scr1984,dem,electricity
be,h0004,7.60686350594915,scr1984,dem,electricity
be,h0005,9.149423945520539,scr1984,dem,electricity
be,h0006,10.495518754585646,scr1984,dem,electricity
be,h0007,10.949155728405458,scr1984,dem,electricity
be,h0008,9.888020372280153,scr1984,dem,electricity
be,h0009,9.663255041261436,scr1984,dem,electricity
be,h0010,9.334575096800108,scr1984,dem,electricity
be,h0011,10.025462414880167,scr1984,dem,electricity
be,h0012,9.680280757587752,scr1984,dem,electricity
be,h0013,9.104802476766054,scr1984,dem,electricity
be,h0014,8.179430846459582,scr1984,dem,electricity
be,h0015,7.134723809649586,scr1984,dem,electricity
be,h0016,7.561039876018185,scr1984,dem,electricity
be,h0017,7.290947803223389,scr1984,dem,electricity
be,h0018,8.835819631975028,scr1984,dem,electricity
be,h0019,8.75803051503317,scr1984,dem,electricity
be,h0020,9.931536669435445,scr1984,dem,electricity
be,h0021,9.110526505988673,scr1984,dem,electricity
be,h0022,9.63287779033999,scr1984,dem,electricity
be,h0023,9.44308876474679,scr1984,dem,electricity
be,h0024,9.80771497618116,scr1984,dem,electricity
bg,h0001,2.460431362255564,scr1984,dem,electricity
bg,h0002,2.331556992891427,scr1984,dem,electricity
bg,h0003,2.2478453455494556,scr1984,dem,electricity
bg,h0004,2.738321059595476,scr1984,dem,electricity
bg,h0005,3.407801638064795,scr1984,dem,electricity
bg,h0006,4.058633729626139,scr1984,dem,electricity
bg,h0007,4.2121350517591996,scr1984,dem,electricity
bg,h0008,3.879789885450206,scr1984,dem,electricity
bg,h0009,3.9482717272013392,scr1984,dem,electricity
bg,h0010,3.8237050533409853,scr1984,dem,electricity
bg,h0011,4.163084398030884,scr1984,dem,electricity
bg,h0012,3.901697911043991,scr1984,dem,electricity
bg,h0013,3.556877098170725,scr1984,dem,electricity
bg,h0014,2.970289867703096,scr1984,dem,electricity
bg,h0015,2.4507552844860196,scr1984,dem,electricity
bg,h0016,2.818582163391655,scr1984,dem,electricity
bg,h0017,2.9653823686907526,scr1984,dem,electricity
bg,h0018,3.6508432019418624,scr1984,dem,electricity
bg,h0019,3.580915770403129,scr1984,dem,electricity
bg,h0020,3.959050820141586,scr1984,dem,electricity
bg,h0021,3.6907694892448237,scr1984,dem,electricity
bg,h0022,3.9696781960007304,scr1984,dem,electricity
bg,h0023,3.9913806660514712,scr1984,dem,electricity
bg,h0024,3.841302678577156,scr1984,dem,electricity
ch,h0001,3.449059307575226,scr1984,dem,electricity
ch,h0002,3.8723879009485245,scr1984,dem,electricity
ch,h0003,3.836466610431671,scr1984,dem,electricity
