region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0049,1.4183477950875985,scr1988,stInflow,reservoir
al,h0050,1.6115502896583513,scr1988,stInflow,reservoir
al,h0051,2.004915826482938,scr1988,stInflow,reservoir
al,h0052,2.1947234661651365,scr1988,stInflow,reservoir
al,h0053,2.400321487754802,scr1988,stInflow,reservoir
al,h0054,1.8943642381974224,scr1988,stInflow,reservoir
al,h0055,1.488514567932797,scr1988,stInflow,reservoir
al,h0056,1.0839974058100745,scr1988,stInflow,reservoir
al,h0057,1.0056397195535274,scr1988,stInflow,reservoir
al,h0058,0.9051666226580601,scr1988,stInflow,reservoir
al,h0059,0.8774349302641049,scr1988,stInflow,reservoir
al,h0060,0.8508375874027934,scr1988,stInflow,reservoir
al,h0061,0.8171909802429231,scr1988,stInflow,reservoir
al,h0062,0.7854295932090356,scr1988,stInflow,reservoir
al,h0063,0.733464228250889,scr1988,stInflow,reservoir
al,h0064,0.7124667086008376,scr1988,stInflow,reservoir
al,h0065,0.686299310443336,scr1988,stInflow,reservoir
al,h0066,0.6802312610348644,scr1988,stInflow,reservoir
al,h0067,0.6707167739283839,scr1988,stInflow,reservoir
al,h0068,0.6672084551761157,scr1988,stInflow,reservoir
al,h0069,0.6637340406436627,scr1988,stInflow,reservoir
al,h0070,0.6649135363408827,scr1988,stInflow,reservoir
al,h0071,0.6660969490504398,scr1988,stInflow,reservoir
al,h0072,0.6584863370893832,scr1988,stInflow,reservoir
at,h0049,0.5329735290612078,scr1988,stInflow,reservoir
at,h0050,0.5564300751299884,scr1988,stInflow,reservoir
at,h0051,0.6041297174050247,scr1988,stInflow,reservoir
at,h0052,0.6283553956532913,scr1988,stInflow,reservoir
at,h0053,0.6528924477135679,scr1988,stInflow,reservoir
at,h0054,0.6701900208397499,scr1988,stInflow,reservoir
at,h0055,0.6876349114110885,scr1988,stInflow,reservoir
at,h0056,0.7062207277716637,scr1988,stInflow,reservoir
at,h0057,0.7072164234456987,scr1988,stInflow,reservoir
at,h0058,0.6962602967083829,scr1988,stInflow,reservoir
at,h0059,0.6843745538840312,scr1988,stInflow,reservoir
at,h0060,0.6725558446335026,scr1988,stInflow,reservoir
