region_4,timestep_5,value,scenario_1,parameter,carrier_1
01ES,hh0007,0.3410109403888278,scr1989,mustOut,spaceHeat
01ES,hh0008,0.7064912708356366,scr1989,mustOut,spaceHeat
01ES,hh0009,0.5624811037611404,scr1989,mustOut,spaceHeat
01ES,hh0010,0.3135435739802082,scr1989,mustOut,spaceHeat
01ES,hh0011,0.3381326358727935,scr1989,mustOut,spaceHeat
01ES,hh0012,0.17649153230505948,scr1989,mustOut,spaceHeat
02ES,hh0007,0.3410147460652173,scr1989,mustOut,spaceHeat
02ES,hh0008,0.6121890391379516,scr1989,mustOut,spaceHeat
02ES,hh0009,0.5012819825013407,scr1989,mustOut,spaceHeat
02ES,hh0010,0.3460495428469708,scr1989,mustOut,spaceHeat
02ES,hh0011,0.3418486146846221,scr1989,mustOut,spaceHeat
02ES,hh0012,0.20547224642915196,scr1989,mustOut,spaceHeat
03ES,hh0007,0.3389471286828971,scr1989,mustOut,spaceHeat
03ES,hh0008,0.6170970923643595,scr1989,mustOut,spaceHeat
03ES,hh0009,0.4563274003967051,scr1989,mustOut,spaceHeat
03ES,hh0010,0.3400807674243581,scr1989,mustOut,spaceHeat
03ES,hh0011,0.32760600377995,scr1989,mustOut,spaceHeat
03ES,hh0012,0.16467818499508913,scr1989,mustOut,spaceHeat
04ES,hh0007,0.29529190461763666,scr1989,mustOut,spaceHeat
04ES,hh0008,0.450131875828092,scr1989,mustOut,spaceHeat
04ES,hh0009,0.3636287364650138,scr1989,mustOut,spaceHeat
04ES,hh0010,0.32776143450142686,scr1989,mustOut,spaceHeat
04ES,hh0011,0.30664596594246607,scr1989,mustOut,spaceHeat
04ES,hh0012,0.17701964917822066,scr1989,mustOut,spaceHeat
05ES,hh0007,0.30482077295985666,scr1989,mustOut,spaceHeat
05ES,hh0008,0.45111368053146467,scr1989,mustOut,spaceHeat
05ES,hh0009,0.34928472263322924,scr1989,mustOut,spaceHeat
05ES,hh0010,0.33547534681778723,scr1989,mustOut,spaceHeat
05ES,hh0011,0.32183308411770234,scr1989,mustOut,spaceHeat
05ES,hh0012,0.13724122572620046,scr1989,mustOut,spaceHeat
06ES,hh0007,0.3107182601594305,scr1989,mustOut,spaceHeat
06ES,hh0008,0.4045886507660191,scr1989,mustOut,spaceHeat
06ES,hh0009,0.3172459071088459,scr1989,mustOut,spaceHeat
06ES,hh0010,0.29791959363179554,scr1989,mustOut,spaceHeat
06ES,hh0011,0.3071306293732325,scr1989,mustOut,spaceHeat
06ES,hh0012,0.15896713188960515,scr1989,mustOut,spaceHeat
07ES,hh0007,0.32302826351839775,scr1989,mustOut,spaceHeat
07ES,hh0008,0.6473339926471017,scr1989,mustOut,spaceHeat
07ES,hh0009,0.39530481664398104,scr1989,mustOut,spaceHeat
07ES,hh0010,0.3235239375132114,scr1989,mustOut,spaceHeat
07ES,hh0011,0.3363960500832722,scr1989,mustOut,spaceHeat
07ES,hh0012,0.135887324737671,scr1989,mustOut,spaceHeat
08ES,hh0007,0.29283032757093796,scr1989,mustOut,spaceHeat
08ES,hh0008,0.6303600360699085,scr1989,mustOut,spaceHeat
08ES,hh0009,0.36891754629197027,scr1989,mustOut,spaceHeat
08ES,hh0010,0.2983087967951386,scr1989,mustOut,spaceHeat
08ES,hh0011,0.30871308880258164,scr1989,mustOut,spaceHeat
08ES,hh0012,0.11585687806845514,scr1989,mustOut,spaceHeat
09ES,hh0007,0.2668294701209299,scr1989,mustOut,spaceHeat
09ES,hh0008,0.5246365367354746,scr1989,mustOut,spaceHeat
09ES,hh0009,0.24035512185173896,scr1989,mustOut,spaceHeat
09ES,hh0010,0.26104465032560076,scr1989,mustOut,spaceHeat
09ES,hh0011,0.26717345169606566,scr1989,mustOut,spaceHeat
09ES,hh0012,0.07722645066449646,scr1989,mustOut,spaceHeat
10ES,hh0007,0.3220981481697307,scr1989,mustOut,spaceHeat
10ES,hh0008,0.565356835042797,scr1989,mustOut,spaceHeat
10ES,hh0009,0.3191399645735162,scr1989,mustOut,spaceHeat
10ES,hh0010,0.3217582204732158,scr1989,mustOut,spaceHeat
10ES,hh0011,0.31818458072002126,scr1989,mustOut,spaceHeat
10ES,hh0012,0.11612735262842043,scr1989,mustOut,spaceHeat
11ES,hh0007,0.3282629070794178,scr1989,mustOut,spaceHeat
11ES,hh0008,0.4313591847737764,scr1989,mustOut,spaceHeat
11ES,hh0009,0.25522827125746705,scr1989,mustOut,spaceHeat
