region_4,category,timestep_6,value,scenario_1,parameter,technology_3
70AL,1,h0001,0.8986004471918123,scr2002,avaConv,onshore_a
70AL,1,h0002,0.949891778117227,scr2002,avaConv,onshore_a
70AL,1,h0003,0.7596623143134815,scr2002,avaConv,onshore_a
70AL,1,h0004,0.5794370630969643,scr2002,avaConv,onshore_a
70AL,1,h0005,0.24558607532927088,scr2002,avaConv,onshore_a
70AL,1,h0006,0.39432533483815924,scr2002,avaConv,onshore_a
70AL,1,h0007,0.4209473129571855,scr2002,avaConv,onshore_a
70AL,1,h0008,0.41577540495701837,scr2002,avaConv,onshore_a
70AL,1,h0009,0.39642970503097136,scr2002,avaConv,onshore_a
70AL,1,h0010,0.3554785564527058,scr2002,avaConv,onshore_a
70AL,1,h0011,0.3814299784676474,scr2002,avaConv,onshore_a
70AL,1,h0012,0.30604425831969334,scr2002,avaConv,onshore_a
70AL,1,h0013,0.6178456867440084,scr2002,avaConv,onshore_a
70AL,1,h0014,0.5963948961583128,scr2002,avaConv,onshore_a
70AL,1,h0015,0.595132885019251,scr2002,avaConv,onshore_a
70AL,1,h0016,0.4983190612559419,scr2002,avaConv,onshore_a
70AL,1,h0017,0.6896084014322874,scr2002,avaConv,onshore_a
70AL,1,h0018,0.7538016556230013,scr2002,avaConv,onshore_a
70AL,1,h0019,0.7208026526550401,scr2002,avaConv,onshore_a
70AL,1,h0020,0.7083521813125494,scr2002,avaConv,onshore_a
70AL,1,h0021,0.7667482899064378,scr2002,avaConv,onshore_a
70AL,1,h0022,0.8202626486384439,scr2002,avaConv,onshore_a
70AL,1,h0023,0.8503044562588623,scr2002,avaConv,onshore_a
70AL,1,h0024,0.7828555787069057,scr2002,avaConv,onshore_a
49AT,1,h0001,0.9488075421454615,scr2002,avaConv,onshore_a
49AT,1,h0002,0.6141221474019497,scr2002,avaConv,onshore_a
49AT,1,h0003,0.43988480634948374,scr2002,avaConv,onshore_a
49AT,1,h0004,0.12540358818167507,scr2002,avaConv,onshore_a
49AT,1,h0005,0.038366798688048,scr2002,avaConv,onshore_a
49AT,1,h0006,0.008454513238648547,scr2002,avaConv,onshore_a
49AT,1,h0007,0.06121485508858436,scr2002,avaConv,onshore_a
49AT,1,h0008,0.21281061402890625,scr2002,avaConv,onshore_a
49AT,1,h0009,0.24169514999394567,scr2002,avaConv,onshore_a
