region_4,timestep_6,value,scenario_1,parameter,technology_1
70AL,h0049,0.0,scr2003,avaConv,solar
70AL,h0050,0.0,scr2003,avaConv,solar
70AL,h0051,0.0001602237742352372,scr2003,avaConv,solar
70AL,h0052,0.032997829998799535,scr2003,avaConv,solar
70AL,h0053,0.19796722750043752,scr2003,avaConv,solar
70AL,h0054,0.49606350678372374,scr2003,avaConv,solar
70AL,h0055,0.6641626058972938,scr2003,avaConv,solar
70AL,h0056,0.49420362770674914,scr2003,avaConv,solar
70AL,h0057,0.26265910721282715,scr2003,avaConv,solar
70AL,h0058,0.06522992020089233,scr2003,avaConv,solar
70AL,h0059,0.011969810461673579,scr2003,avaConv,solar
70AL,h0060,0.0,scr2003,avaConv,solar
70AL,h0061,0.0,scr2003,avaConv,solar
70AL,h0062,0.0,scr2003,avaConv,solar
70AL,h0063,0.0,scr2003,avaConv,solar
70AL,h0064,0.024899299632172835,scr2003,avaConv,solar
70AL,h0065,0.17684394690529553,scr2003,avaConv,solar
70AL,h0066,0.4303353365020869,scr2003,avaConv,solar
70AL,h0067,0.6601531007492711,scr2003,avaConv,solar
70AL,h0068,0.5958005274039038,scr2003,avaConv,solar
70AL,h0069,0.3684841056451082,scr2003,avaConv,solar
70AL,h0070,0.10595609003956519,scr2003,avaConv,solar
70AL,h0071,0.009903606786868782,scr2003,avaConv,solar
70AL,h0072,0.0,scr2003,avaConv,solar
49AT,h0049,0.0,scr2003,avaConv,solar
49AT,h0050,0.0,scr2003,avaConv,solar
49AT,h0051,0.0,scr2003,avaConv,solar
49AT,h0052,0.010316817419911186,scr2003,avaConv,solar
49AT,h0053,0.13256463819913966,scr2003,avaConv,solar
49AT,h0054,0.5302405376317686,scr2003,avaConv,solar
49AT,h0055,0.8481583277046323,scr2003,avaConv,solar
49AT,h0056,0.7244816336762903,scr2003,avaConv,solar
49AT,h0057,0.36873721436264606,scr2003,avaConv,solar
49AT,h0058,0.09613467259797723,scr2003,avaConv,solar
49AT,h0059,0.011710799737034655,scr2003,avaConv,solar
49AT,h0060,0.0,scr2003,avaConv,solar
49AT,h0061,0.0,scr2003,avaConv,solar
49AT,h0062,0.0,scr2003,avaConv,solar
49AT,h0063,0.0,scr2003,avaConv,solar
49AT,h0064,0.004888471711703674,scr2003,avaConv,solar
49AT,h0065,0.08976975902079742,scr2003,avaConv,solar
49AT,h0066,0.47777585462292743,scr2003,avaConv,solar
49AT,h0067,0.8320036381964838,scr2003,avaConv,solar
49AT,h0068,0.7725134238863749,scr2003,avaConv,solar
49AT,h0069,0.351762855605931,scr2003,avaConv,solar
49AT,h0070,0.08703578973915539,scr2003,avaConv,solar
49AT,h0071,0.008187099179840939,scr2003,avaConv,solar
49AT,h0072,0.0,scr2003,avaConv,solar
50AT,h0049,0.0,scr2003,avaConv,solar
50AT,h0050,0.0,scr2003,avaConv,solar
50AT,h0051,0.0,scr2003,avaConv,solar
50AT,h0052,0.007305921209235061,scr2003,avaConv,solar
50AT,h0053,0.1223159806166662,scr2003,avaConv,solar
50AT,h0054,0.5013494008052517,scr2003,avaConv,solar
50AT,h0055,0.8490861581066169,scr2003,avaConv,solar
50AT,h0056,0.7469631959377524,scr2003,avaConv,solar
50AT,h0057,0.38902757058960835,scr2003,avaConv,solar
50AT,h0058,0.10024049732826383,scr2003,avaConv,solar
50AT,h0059,0.00986410862673168,scr2003,avaConv,solar
50AT,h0060,0.0,scr2003,avaConv,solar
50AT,h0061,0.0,scr2003,avaConv,solar
50AT,h0062,0.0,scr2003,avaConv,solar
50AT,h0063,0.0,scr2003,avaConv,solar
50AT,h0064,0.010165312896110073,scr2003,avaConv,solar
50AT,h0065,0.09718458246438179,scr2003,avaConv,solar
50AT,h0066,0.4827562363612672,scr2003,avaConv,solar
50AT,h0067,0.7478277078520386,scr2003,avaConv,solar
50AT,h0068,0.6797498294317567,scr2003,avaConv,solar
50AT,h0069,0.28207374701058774,scr2003,avaConv,solar
50AT,h0070,0.059078288979549226,scr2003,avaConv,solar
50AT,h0071,0.0051525799385604325,scr2003,avaConv,solar
50AT,h0072,0.0,scr2003,avaConv,solar
51AT,h0049,0.0,scr2003,avaConv,solar
51AT,h0050,0.0,scr2003,avaConv,solar
51AT,h0051,0.0,scr2003,avaConv,solar
51AT,h0052,0.014439835604656696,scr2003,avaConv,solar
51AT,h0053,0.15379399806148017,scr2003,avaConv,solar
51AT,h0054,0.5139004405631026,scr2003,avaConv,solar
51AT,h0055,0.7627312606201802,scr2003,avaConv,solar
51AT,h0056,0.5711624364162694,scr2003,avaConv,solar
51AT,h0057,0.2929612716013468,scr2003,avaConv,solar
51AT,h0058,0.07792431504038187,scr2003,avaConv,solar
