region_4,timestep_5,value,scenario_1,parameter,technology_3
01ES,hh0007,5.630463436245918,scr2005,effConv,heatpumpGroundSpace
01ES,hh0008,6.037792950868607,scr2005,effConv,heatpumpGroundSpace
01ES,hh0009,5.753907918930054,scr2005,effConv,heatpumpGroundSpace
01ES,hh0010,5.438633065670729,scr2005,effConv,heatpumpGroundSpace
01ES,hh0011,6.189931552857161,scr2005,effConv,heatpumpGroundSpace
01ES,hh0012,6.247599557042122,scr2005,effConv,heatpumpGroundSpace
02ES,hh0007,5.230379337590421,scr2005,effConv,heatpumpGroundSpace
02ES,hh0008,5.815138922920596,scr2005,effConv,heatpumpGroundSpace
02ES,hh0009,5.4508052659002715,scr2005,effConv,heatpumpGroundSpace
02ES,hh0010,5.1954548886133125,scr2005,effConv,heatpumpGroundSpace
02ES,hh0011,6.087649265915388,scr2005,effConv,heatpumpGroundSpace
02ES,hh0012,6.143567651550256,scr2005,effConv,heatpumpGroundSpace
03ES,hh0007,5.15883258693842,scr2005,effConv,heatpumpGroundSpace
03ES,hh0008,5.832459540766731,scr2005,effConv,heatpumpGroundSpace
03ES,hh0009,5.505719074852713,scr2005,effConv,heatpumpGroundSpace
03ES,hh0010,5.235281518465154,scr2005,effConv,heatpumpGroundSpace
03ES,hh0011,6.195223629802616,scr2005,effConv,heatpumpGroundSpace
03ES,hh0012,6.264561330863351,scr2005,effConv,heatpumpGroundSpace
04ES,hh0007,5.261209283024073,scr2005,effConv,heatpumpGroundSpace
04ES,hh0008,6.055149652063847,scr2005,effConv,heatpumpGroundSpace
04ES,hh0009,5.464888580143452,scr2005,effConv,heatpumpGroundSpace
04ES,hh0010,5.418335486203432,scr2005,effConv,heatpumpGroundSpace
04ES,hh0011,6.188160244375467,scr2005,effConv,heatpumpGroundSpace
04ES,hh0012,6.285578180104494,scr2005,effConv,heatpumpGroundSpace
05ES,hh0007,5.2841178163934135,scr2005,effConv,heatpumpGroundSpace
05ES,hh0008,6.011699111316155,scr2005,effConv,heatpumpGroundSpace
05ES,hh0009,5.720707019001081,scr2005,effConv,heatpumpGroundSpace
05ES,hh0010,5.607968545871807,scr2005,effConv,heatpumpGroundSpace
05ES,hh0011,6.255765812994116,scr2005,effConv,heatpumpGroundSpace
05ES,hh0012,6.293096550520338,scr2005,effConv,heatpumpGroundSpace
06ES,hh0007,5.204451847777818,scr2005,effConv,heatpumpGroundSpace
06ES,hh0008,6.167327462375397,scr2005,effConv,heatpumpGroundSpace
06ES,hh0009,5.925092439651053,scr2005,effConv,heatpumpGroundSpace
06ES,hh0010,5.823797222150461,scr2005,effConv,heatpumpGroundSpace
06ES,hh0011,6.26460567693357,scr2005,effConv,heatpumpGroundSpace
06ES,hh0012,6.325156628299737,scr2005,effConv,heatpumpGroundSpace
