region_4,timestep_6,value,scenario_1,parameter,technology_2
70AL,h0049,0.07576145074390594,scr2009,avaConv,offshore
70AL,h0050,0.09600896526988562,scr2009,avaConv,offshore
70AL,h0051,0.044909469167396,scr2009,avaConv,offshore
70AL,h0052,0.40383906590028545,scr2009,avaConv,offshore
70AL,h0053,0.40005252713274586,scr2009,avaConv,offshore
70AL,h0054,0.5341011265648895,scr2009,avaConv,offshore
70AL,h0055,0.16398158571551524,scr2009,avaConv,offshore
70AL,h0056,0.15155744475322694,scr2009,avaConv,offshore
70AL,h0057,0.05061821657073064,scr2009,avaConv,offshore
70AL,h0058,0.05061821657073064,scr2009,avaConv,offshore
70AL,h0059,0.061233245852049194,scr2009,avaConv,offshore
70AL,h0060,0.010245604080143713,scr2009,avaConv,offshore
70AL,h0061,0.0476185801022226,scr2009,avaConv,offshore
70AL,h0062,0.062197975079132974,scr2009,avaConv,offshore
70AL,h0063,0.11483805455644083,scr2009,avaConv,offshore
70AL,h0064,0.13073216374346494,scr2009,avaConv,offshore
70AL,h0065,0.17542985807212771,scr2009,avaConv,offshore
70AL,h0066,0.3524306514801903,scr2009,avaConv,offshore
70AL,h0067,0.3719829192130353,scr2009,avaConv,offshore
70AL,h0068,0.6665492870742356,scr2009,avaConv,offshore
70AL,h0069,0.6445855393320805,scr2009,avaConv,offshore
70AL,h0070,0.6259974417856911,scr2009,avaConv,offshore
70AL,h0071,0.2701039054780265,scr2009,avaConv,offshore
70AL,h0072,0.157836519158315,scr2009,avaConv,offshore
49AT,h0049,NaN,scr2009,avaConv,offshore
49AT,h0050,NaN,scr2009,avaConv,offshore
49AT,h0051,NaN,scr2009,avaConv,offshore
49AT,h0052,NaN,scr2009,avaConv,offshore
49AT,h0053,NaN,scr2009,avaConv,offshore
49AT,h0054,NaN,scr2009,avaConv,offshore
49AT,h0055,NaN,scr2009,avaConv,offshore
49AT,h0056,NaN,scr2009,avaConv,offshore
49AT,h0057,NaN,scr2009,avaConv,offshore
49AT,h0058,NaN,scr2009,avaConv,offshore
49AT,h0059,NaN,scr2009,avaConv,offshore
49AT,h0060,NaN,scr2009,avaConv,offshore
49AT,h0061,NaN,scr2009,avaConv,offshore
49AT,h0062,NaN,scr2009,avaConv,offshore
49AT,h0063,NaN,scr2009,avaConv,offshore
49AT,h0064,NaN,scr2009,avaConv,offshore
49AT,h0065,NaN,scr2009,avaConv,offshore
49AT,h0066,NaN,scr2009,avaConv,offshore
49AT,h0067,NaN,scr2009,avaConv,offshore
49AT,h0068,NaN,scr2009,avaConv,offshore
49AT,h0069,NaN,scr2009,avaConv,offshore
49AT,h0070,NaN,scr2009,avaConv,offshore
49AT,h0071,NaN,scr2009,avaConv,offshore
49AT,h0072,NaN,scr2009,avaConv,offshore
50AT,h0049,NaN,scr2009,avaConv,offshore
50AT,h0050,NaN,scr2009,avaConv,offshore
50AT,h0051,NaN,scr2009,avaConv,offshore
50AT,h0052,NaN,scr2009,avaConv,offshore
50AT,h0053,NaN,scr2009,avaConv,offshore
50AT,h0054,NaN,scr2009,avaConv,offshore
50AT,h0055,NaN,scr2009,avaConv,offshore
50AT,h0056,NaN,scr2009,avaConv,offshore
50AT,h0057,NaN,scr2009,avaConv,offshore
50AT,h0058,NaN,scr2009,avaConv,offshore
50AT,h0059,NaN,scr2009,avaConv,offshore
50AT,h0060,NaN,scr2009,avaConv,offshore
50AT,h0061,NaN,scr2009,avaConv,offshore
50AT,h0062,NaN,scr2009,avaConv,offshore
50AT,h0063,NaN,scr2009,avaConv,offshore
50AT,h0064,NaN,scr2009,avaConv,offshore
50AT,h0065,NaN,scr2009,avaConv,offshore
50AT,h0066,NaN,scr2009,avaConv,offshore
50AT,h0067,NaN,scr2009,avaConv,offshore
50AT,h0068,NaN,scr2009,avaConv,offshore
50AT,h0069,NaN,scr2009,avaConv,offshore
50AT,h0070,NaN,scr2009,avaConv,offshore
50AT,h0071,NaN,scr2009,avaConv,offshore
50AT,h0072,NaN,scr2009,avaConv,offshore
51AT,h0049,NaN,scr2009,avaConv,offshore
51AT,h0050,NaN,scr2009,avaConv,offshore
51AT,h0051,NaN,scr2009,avaConv,offshore
51AT,h0052,NaN,scr2009,avaConv,offshore
51AT,h0053,NaN,scr2009,avaConv,offshore
51AT,h0054,NaN,scr2009,avaConv,offshore
51AT,h0055,NaN,scr2009,avaConv,offshore
51AT,h0056,NaN,scr2009,avaConv,offshore
51AT,h0057,NaN,scr2009,avaConv,offshore
51AT,h0058,NaN,scr2009,avaConv,offshore
51AT,h0059,NaN,scr2009,avaConv,offshore
51AT,h0060,NaN,scr2009,avaConv,offshore
51AT,h0061,NaN,scr2009,avaConv,offshore
51AT,h0062,NaN,scr2009,avaConv,offshore
51AT,h0063,NaN,scr2009,avaConv,offshore
51AT,h0064,NaN,scr2009,avaConv,offshore
51AT,h0065,NaN,scr2009,avaConv,offshore
51AT,h0066,NaN,scr2009,avaConv,offshore
51AT,h0067,NaN,scr2009,avaConv,offshore
51AT,h0068,NaN,scr2009,avaConv,offshore
51AT,h0069,NaN,scr2009,avaConv,offshore
51AT,h0070,NaN,scr2009,avaConv,offshore
51AT,h0071,NaN,scr2009,avaConv,offshore
51AT,h0072,NaN,scr2009,avaConv,offshore
63BA,h0049,0.16471566136788837,scr2009,avaConv,offshore
63BA,h0050,0.1907956956119015,scr2009,avaConv,offshore
63BA,h0051,0.18694693631144632,scr2009,avaConv,offshore
63BA,h0052,0.4246710070077527,scr2009,avaConv,offshore
63BA,h0053,0.3999533935550095,scr2009,avaConv,offshore
63BA,h0054,0.3985934812805257,scr2009,avaConv,offshore
63BA,h0055,0.02250630651213507,scr2009,avaConv,offshore
63BA,h0056,0.039361576523780535,scr2009,avaConv,offshore
