region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0025,0.5445218435634972,scr1985,avaConv,runOfRiver
al,h0026,0.7425894049063531,scr1985,avaConv,runOfRiver
al,h0027,0.8316670238166314,scr1985,avaConv,runOfRiver
al,h0028,0.9510079479436091,scr1985,avaConv,runOfRiver
al,h0029,0.9252455626206036,scr1985,avaConv,runOfRiver
al,h0030,0.9533205334842073,scr1985,avaConv,runOfRiver
al,h0031,0.8524632587807739,scr1985,avaConv,runOfRiver
al,h0032,0.8572087270548864,scr1985,avaConv,runOfRiver
al,h0033,0.9419314227452071,scr1985,avaConv,runOfRiver
al,h0034,0.9768685392251831,scr1985,avaConv,runOfRiver
al,h0035,0.9004944584629869,scr1985,avaConv,runOfRiver
al,h0036,0.8193660976303736,scr1985,avaConv,runOfRiver
al,h0037,0.8020533511743981,scr1985,avaConv,runOfRiver
al,h0038,0.795107910133415,scr1985,avaConv,runOfRiver
al,h0039,0.7471046088963509,scr1985,avaConv,runOfRiver
al,h0040,0.7076567761056856,scr1985,avaConv,runOfRiver
al,h0041,0.6577590224137584,scr1985,avaConv,runOfRiver
al,h0042,0.6380389355521017,scr1985,avaConv,runOfRiver
al,h0043,0.6014751374219247,scr1985,avaConv,runOfRiver
al,h0044,0.5594566426924823,scr1985,avaConv,runOfRiver
al,h0045,0.5051350876326134,scr1985,avaConv,runOfRiver
al,h0046,0.4694605126026249,scr1985,avaConv,runOfRiver
al,h0047,0.458531246812326,scr1985,avaConv,runOfRiver
al,h0048,0.456876365367292,scr1985,avaConv,runOfRiver
at,h0025,0.3068130675805036,scr1985,avaConv,runOfRiver
at,h0026,0.303362646366698,scr1985,avaConv,runOfRiver
at,h0027,0.30310970147283955,scr1985,avaConv,runOfRiver
at,h0028,0.312423335300058,scr1985,avaConv,runOfRiver
at,h0029,0.3459307365141939,scr1985,avaConv,runOfRiver
at,h0030,0.42848851190418125,scr1985,avaConv,runOfRiver
at,h0031,0.6743003253222074,scr1985,avaConv,runOfRiver
at,h0032,1.1356311892935207,scr1985,avaConv,runOfRiver
at,h0033,1.5083001632564903,scr1985,avaConv,runOfRiver
at,h0034,1.3085153609948161,scr1985,avaConv,runOfRiver
at,h0035,0.905987227535004,scr1985,avaConv,runOfRiver
at,h0036,0.7221204314179939,scr1985,avaConv,runOfRiver
