region_4,timestep_5,value,scenario_1,parameter,carrier_1
01ES,hh0007,0.42530602050385957,scr1984,mustOut,spaceHeat
01ES,hh0008,0.5657109871118179,scr1984,mustOut,spaceHeat
01ES,hh0009,0.30038603030568484,scr1984,mustOut,spaceHeat
01ES,hh0010,0.24578624924572046,scr1984,mustOut,spaceHeat
01ES,hh0011,0.5216293599979118,scr1984,mustOut,spaceHeat
01ES,hh0012,0.4282197027811756,scr1984,mustOut,spaceHeat
02ES,hh0007,0.45526724815435526,scr1984,mustOut,spaceHeat
02ES,hh0008,0.5444852419264767,scr1984,mustOut,spaceHeat
02ES,hh0009,0.33983718645320427,scr1984,mustOut,spaceHeat
02ES,hh0010,0.2601576161786566,scr1984,mustOut,spaceHeat
02ES,hh0011,0.5066745349189922,scr1984,mustOut,spaceHeat
02ES,hh0012,0.46840308732289304,scr1984,mustOut,spaceHeat
03ES,hh0007,0.472191171130985,scr1984,mustOut,spaceHeat
03ES,hh0008,0.5186906696501848,scr1984,mustOut,spaceHeat
03ES,hh0009,0.2893317257692839,scr1984,mustOut,spaceHeat
03ES,hh0010,0.2899801744376117,scr1984,mustOut,spaceHeat
03ES,hh0011,0.4994977804104519,scr1984,mustOut,spaceHeat
03ES,hh0012,0.46996971569708906,scr1984,mustOut,spaceHeat
04ES,hh0007,0.3919379173914769,scr1984,mustOut,spaceHeat
04ES,hh0008,0.4321043626338332,scr1984,mustOut,spaceHeat
04ES,hh0009,0.35660358911252665,scr1984,mustOut,spaceHeat
04ES,hh0010,0.25316727908088177,scr1984,mustOut,spaceHeat
04ES,hh0011,0.41735067745170784,scr1984,mustOut,spaceHeat
04ES,hh0012,0.4010839324900236,scr1984,mustOut,spaceHeat
05ES,hh0007,0.442826204043439,scr1984,mustOut,spaceHeat
05ES,hh0008,0.4579147556015553,scr1984,mustOut,spaceHeat
05ES,hh0009,0.2564210631554727,scr1984,mustOut,spaceHeat
05ES,hh0010,0.2789931995727487,scr1984,mustOut,spaceHeat
05ES,hh0011,0.3801757259497304,scr1984,mustOut,spaceHeat
05ES,hh0012,0.3394859958871137,scr1984,mustOut,spaceHeat
06ES,hh0007,0.384772572102658,scr1984,mustOut,spaceHeat
06ES,hh0008,0.41036472903309706,scr1984,mustOut,spaceHeat
06ES,hh0009,0.3275265888533052,scr1984,mustOut,spaceHeat
06ES,hh0010,0.3070373816645562,scr1984,mustOut,spaceHeat
06ES,hh0011,0.3425452676993396,scr1984,mustOut,spaceHeat
06ES,hh0012,0.29932829448762777,scr1984,mustOut,spaceHeat
07ES,hh0007,0.4593189556600802,scr1984,mustOut,spaceHeat
07ES,hh0008,0.47312753858977163,scr1984,mustOut,spaceHeat
07ES,hh0009,0.23335356671857654,scr1984,mustOut,spaceHeat
07ES,hh0010,0.29495489440078326,scr1984,mustOut,spaceHeat
07ES,hh0011,0.45133599491833387,scr1984,mustOut,spaceHeat
07ES,hh0012,0.4016616419574758,scr1984,mustOut,spaceHeat
08ES,hh0007,0.41451855004353666,scr1984,mustOut,spaceHeat
08ES,hh0008,0.4310950670800639,scr1984,mustOut,spaceHeat
08ES,hh0009,0.21092558905221334,scr1984,mustOut,spaceHeat
08ES,hh0010,0.2680943729379779,scr1984,mustOut,spaceHeat
08ES,hh0011,0.4263257773114701,scr1984,mustOut,spaceHeat
08ES,hh0012,0.3550929383004668,scr1984,mustOut,spaceHeat
09ES,hh0007,0.3413057638140834,scr1984,mustOut,spaceHeat
09ES,hh0008,0.3207565640548993,scr1984,mustOut,spaceHeat
09ES,hh0009,0.15432053420072137,scr1984,mustOut,spaceHeat
09ES,hh0010,0.2213929459891094,scr1984,mustOut,spaceHeat
09ES,hh0011,0.3096866154891114,scr1984,mustOut,spaceHeat
09ES,hh0012,0.2437525095331411,scr1984,mustOut,spaceHeat
10ES,hh0007,0.415414781098093,scr1984,mustOut,spaceHeat
10ES,hh0008,0.3717914256061545,scr1984,mustOut,spaceHeat
10ES,hh0009,0.19716205516563293,scr1984,mustOut,spaceHeat
10ES,hh0010,0.27817772496731363,scr1984,mustOut,spaceHeat
10ES,hh0011,0.39349807627613864,scr1984,mustOut,spaceHeat
10ES,hh0012,0.3611264620082861,scr1984,mustOut,spaceHeat
11ES,hh0007,0.4190473752138011,scr1984,mustOut,spaceHeat
11ES,hh0008,0.33020891858188794,scr1984,mustOut,spaceHeat
11ES,hh0009,0.23735661689489804,scr1984,mustOut,spaceHeat
11ES,hh0010,0.2875361091014025,scr1984,mustOut,spaceHeat
11ES,hh0011,0.3378518501851728,scr1984,mustOut,spaceHeat
11ES,hh0012,0.2839154393769801,scr1984,mustOut,spaceHeat
12PT,hh0007,0.40541454013656164,scr1984,mustOut,spaceHeat
12PT,hh0008,0.5269584874867905,scr1984,mustOut,spaceHeat
12PT,hh0009,0.2758541992492441,scr1984,mustOut,spaceHeat
12PT,hh0010,0.2606953708162132,scr1984,mustOut,spaceHeat
12PT,hh0011,0.4645770263714116,scr1984,mustOut,spaceHeat
12PT,hh0012,0.3681630270725486,scr1984,mustOut,spaceHeat
13PT,hh0007,0.3381407589348693,scr1984,mustOut,spaceHeat
13PT,hh0008,0.43568664136550245,scr1984,mustOut,spaceHeat
13PT,hh0009,0.2522333297918568,scr1984,mustOut,spaceHeat
13PT,hh0010,0.2464899371334913,scr1984,mustOut,spaceHeat
13PT,hh0011,0.40004749593453,scr1984,mustOut,spaceHeat
13PT,hh0012,0.3224882470427628,scr1984,mustOut,spaceHeat
14FR,hh0007,0.3321735258810931,scr1984,mustOut,spaceHeat
14FR,hh0008,0.2854065281509841,scr1984,mustOut,spaceHeat
14FR,hh0009,0.17720246110988053,scr1984,mustOut,spaceHeat
14FR,hh0010,0.17641251653703427,scr1984,mustOut,spaceHeat
14FR,hh0011,0.1961208229486641,scr1984,mustOut,spaceHeat
14FR,hh0012,0.16964323882689428,scr1984,mustOut,spaceHeat
15FR,hh0007,0.33668866373746653,scr1984,mustOut,spaceHeat
15FR,hh0008,0.30161784312169615,scr1984,mustOut,spaceHeat
15FR,hh0009,0.1999823764621183,scr1984,mustOut,spaceHeat
15FR,hh0010,0.20073234945672264,scr1984,mustOut,spaceHeat
15FR,hh0011,0.1955839173593034,scr1984,mustOut,spaceHeat
15FR,hh0012,0.1709410725191341,scr1984,mustOut,spaceHeat
16FR,hh0007,0.3239183904466387,scr1984,mustOut,spaceHeat
16FR,hh0008,0.26019434526972696,scr1984,mustOut,spaceHeat
16FR,hh0009,0.18833753486336463,scr1984,mustOut,spaceHeat
16FR,hh0010,0.19283148361264796,scr1984,mustOut,spaceHeat
16FR,hh0011,0.17199501580010237,scr1984,mustOut,spaceHeat
16FR,hh0012,0.14899568940870717,scr1984,mustOut,spaceHeat
17FR,hh0007,0.3327377697726204,scr1984,mustOut,spaceHeat
17FR,hh0008,0.33829067373196775,scr1984,mustOut,spaceHeat
17FR,hh0009,0.2412911563896534,scr1984,mustOut,spaceHeat
17FR,hh0010,0.17002850800035385,scr1984,mustOut,spaceHeat
17FR,hh0011,0.2525644871721744,scr1984,mustOut,spaceHeat
17FR,hh0012,0.19222984230079593,scr1984,mustOut,spaceHeat
18FR,hh0007,0.3379877619956928,scr1984,mustOut,spaceHeat
18FR,hh0008,0.3253880102415242,scr1984,mustOut,spaceHeat
18FR,hh0009,0.2738528115511911,scr1984,mustOut,spaceHeat
18FR,hh0010,0.1903501689633546,scr1984,mustOut,spaceHeat
18FR,hh0011,0.2726850351522626,scr1984,mustOut,spaceHeat
18FR,hh0012,0.20685072764917367,scr1984,mustOut,spaceHeat
19FR,hh0007,0.3509596476867151,scr1984,mustOut,spaceHeat
19FR,hh0008,0.35017417486086205,scr1984,mustOut,spaceHeat
19FR,hh0009,0.2987573887093764,scr1984,mustOut,spaceHeat
19FR,hh0010,0.21363035397326413,scr1984,mustOut,spaceHeat
19FR,hh0011,0.24942259765915528,scr1984,mustOut,spaceHeat
19FR,hh0012,0.2055249130321128,scr1984,mustOut,spaceHeat
20FR,hh0007,0.3639446113016403,scr1984,mustOut,spaceHeat
20FR,hh0008,0.3777489257248785,scr1984,mustOut,spaceHeat
20FR,hh0009,0.3369275200385002,scr1984,mustOut,spaceHeat
20FR,hh0010,0.2580727078681258,scr1984,mustOut,spaceHeat
20FR,hh0011,0.2811321119472238,scr1984,mustOut,spaceHeat
20FR,hh0012,0.25233921373543106,scr1984,mustOut,spaceHeat
21FR,hh0007,0.3379365128787549,scr1984,mustOut,spaceHeat
21FR,hh0008,0.3638399586769252,scr1984,mustOut,spaceHeat
21FR,hh0009,0.28335112792075856,scr1984,mustOut,spaceHeat
21FR,hh0010,0.17607162265915918,scr1984,mustOut,spaceHeat
21FR,hh0011,0.2935091366140068,scr1984,mustOut,spaceHeat
21FR,hh0012,0.23765477007171543,scr1984,mustOut,spaceHeat
22FR,hh0007,0.3507034771463081,scr1984,mustOut,spaceHeat
22FR,hh0008,0.37248372349163317,scr1984,mustOut,spaceHeat
22FR,hh0009,0.307416247756304,scr1984,mustOut,spaceHeat
22FR,hh0010,0.1951820557436136,scr1984,mustOut,spaceHeat
22FR,hh0011,0.3141154375913011,scr1984,mustOut,spaceHeat
22FR,hh0012,0.22209329436436914,scr1984,mustOut,spaceHeat
23FR,hh0007,0.37131088738916096,scr1984,mustOut,spaceHeat
23FR,hh0008,0.33692321643703255,scr1984,mustOut,spaceHeat
23FR,hh0009,0.30082615627404835,scr1984,mustOut,spaceHeat
23FR,hh0010,0.20503585415656309,scr1984,mustOut,spaceHeat
23FR,hh0011,0.3268535864592296,scr1984,mustOut,spaceHeat
23FR,hh0012,0.18504161919172935,scr1984,mustOut,spaceHeat
24FR,hh0007,0.3652069258605827,scr1984,mustOut,spaceHeat
24FR,hh0008,0.3475590071338237,scr1984,mustOut,spaceHeat
24FR,hh0009,0.3017826226131468,scr1984,mustOut,spaceHeat
24FR,hh0010,0.1934130343971791,scr1984,mustOut,spaceHeat
24FR,hh0011,0.2711953725799023,scr1984,mustOut,spaceHeat
24FR,hh0012,0.18178117179584347,scr1984,mustOut,spaceHeat
25FR,hh0007,0.3958735127530325,scr1984,mustOut,spaceHeat
25FR,hh0008,0.37983937010925317,scr1984,mustOut,spaceHeat
25FR,hh0009,0.35357371175939045,scr1984,mustOut,spaceHeat
25FR,hh0010,0.22744863799279674,scr1984,mustOut,spaceHeat
25FR,hh0011,0.30173698980860075,scr1984,mustOut,spaceHeat
25FR,hh0012,0.1944743258113212,scr1984,mustOut,spaceHeat
26FR,hh0007,0.3490972240016665,scr1984,mustOut,spaceHeat
26FR,hh0008,0.3859780894576961,scr1984,mustOut,spaceHeat
26FR,hh0009,0.34378706330207465,scr1984,mustOut,spaceHeat
26FR,hh0010,0.21164887547241423,scr1984,mustOut,spaceHeat
26FR,hh0011,0.3056473673555151,scr1984,mustOut,spaceHeat
26FR,hh0012,0.1900198618729002,scr1984,mustOut,spaceHeat
27FR,hh0007,0.37290474134414947,scr1984,mustOut,spaceHeat
27FR,hh0008,0.37541469193789945,scr1984,mustOut,spaceHeat
27FR,hh0009,0.3387706312585489,scr1984,mustOut,spaceHeat
27FR,hh0010,0.20624732975947074,scr1984,mustOut,spaceHeat
27FR,hh0011,0.32517242325551654,scr1984,mustOut,spaceHeat
27FR,hh0012,0.19356037977308796,scr1984,mustOut,spaceHeat
28BE,hh0007,0.3648172847930069,scr1984,mustOut,spaceHeat
28BE,hh0008,0.3999863911468351,scr1984,mustOut,spaceHeat
28BE,hh0009,0.3582392828518509,scr1984,mustOut,spaceHeat
28BE,hh0010,0.21590449901545056,scr1984,mustOut,spaceHeat
28BE,hh0011,0.2870732108474465,scr1984,mustOut,spaceHeat
28BE,hh0012,0.15238475491087722,scr1984,mustOut,spaceHeat
29LU,hh0007,0.39835550654756613,scr1984,mustOut,spaceHeat
29LU,hh0008,0.37968669407074307,scr1984,mustOut,spaceHeat
29LU,hh0009,0.35241966016282456,scr1984,mustOut,spaceHeat
29LU,hh0010,0.22881966326983672,scr1984,mustOut,spaceHeat
29LU,hh0011,0.3013184607543726,scr1984,mustOut,spaceHeat
29LU,hh0012,0.1927667772353845,scr1984,mustOut,spaceHeat
30NL,hh0007,0.36722125761867125,scr1984,mustOut,spaceHeat
30NL,hh0008,0.39157203108911126,scr1984,mustOut,spaceHeat
30NL,hh0009,0.3401692879934939,scr1984,mustOut,spaceHeat
30NL,hh0010,0.19741719034327393,scr1984,mustOut,spaceHeat
30NL,hh0011,0.2199640966531514,scr1984,mustOut,spaceHeat
30NL,hh0012,0.12179467604400565,scr1984,mustOut,spaceHeat
31DE,hh0007,0.39294385054404246,scr1984,mustOut,spaceHeat
31DE,hh0008,0.42130804099440067,scr1984,mustOut,spaceHeat
31DE,hh0009,0.30989427034201733,scr1984,mustOut,spaceHeat
31DE,hh0010,0.21726738731822037,scr1984,mustOut,spaceHeat
31DE,hh0011,0.2303088481238839,scr1984,mustOut,spaceHeat
31DE,hh0012,0.09804078655818127,scr1984,mustOut,spaceHeat
32DE,hh0007,0.4161507189341409,scr1984,mustOut,spaceHeat
32DE,hh0008,0.37688531817475995,scr1984,mustOut,spaceHeat
32DE,hh0009,0.2564979314753932,scr1984,mustOut,spaceHeat
32DE,hh0010,0.22084986279751345,scr1984,mustOut,spaceHeat
32DE,hh0011,0.2301030858726722,scr1984,mustOut,spaceHeat
32DE,hh0012,0.07336987512133675,scr1984,mustOut,spaceHeat
33DE,hh0007,0.3710130925460617,scr1984,mustOut,spaceHeat
33DE,hh0008,0.40748159392771843,scr1984,mustOut,spaceHeat
33DE,hh0009,0.3240688421454385,scr1984,mustOut,spaceHeat
33DE,hh0010,0.20998079084230414,scr1984,mustOut,spaceHeat
33DE,hh0011,0.2650444571350697,scr1984,mustOut,spaceHeat
33DE,hh0012,0.11815239448631948,scr1984,mustOut,spaceHeat
34DE,hh0007,0.4049418695282606,scr1984,mustOut,spaceHeat
34DE,hh0008,0.3716699240313551,scr1984,mustOut,spaceHeat
34DE,hh0009,0.2952637732541861,scr1984,mustOut,spaceHeat
34DE,hh0010,0.23977335921751092,scr1984,mustOut,spaceHeat
34DE,hh0011,0.2793539567061294,scr1984,mustOut,spaceHeat
34DE,hh0012,0.10438781662589143,scr1984,mustOut,spaceHeat
35DE,hh0007,0.3943257423299941,scr1984,mustOut,spaceHeat
35DE,hh0008,0.4092540113456084,scr1984,mustOut,spaceHeat
35DE,hh0009,0.3361021399764783,scr1984,mustOut,spaceHeat
35DE,hh0010,0.2235770781532776,scr1984,mustOut,spaceHeat
35DE,hh0011,0.3248897303307537,scr1984,mustOut,spaceHeat
35DE,hh0012,0.1487684667200289,scr1984,mustOut,spaceHeat
36DE,hh0007,0.37788398026295433,scr1984,mustOut,spaceHeat
36DE,hh0008,0.3342611420215933,scr1984,mustOut,spaceHeat
36DE,hh0009,0.2987145327500919,scr1984,mustOut,spaceHeat
36DE,hh0010,0.22388823456389112,scr1984,mustOut,spaceHeat
36DE,hh0011,0.2406167273808128,scr1984,mustOut,spaceHeat
36DE,hh0012,0.13091080129154617,scr1984,mustOut,spaceHeat
37DE,hh0007,0.38386234440010913,scr1984,mustOut,spaceHeat
37DE,hh0008,0.3741225057221166,scr1984,mustOut,spaceHeat
37DE,hh0009,0.3189012293959854,scr1984,mustOut,spaceHeat
37DE,hh0010,0.2614261283231078,scr1984,mustOut,spaceHeat
37DE,hh0011,0.24067468232355654,scr1984,mustOut,spaceHeat
37DE,hh0012,0.12218581180641268,scr1984,mustOut,spaceHeat
38DK,hh0007,0.4249953722961098,scr1984,mustOut,spaceHeat
38DK,hh0008,0.5421512961102074,scr1984,mustOut,spaceHeat
38DK,hh0009,0.40949924069131544,scr1984,mustOut,spaceHeat
38DK,hh0010,0.27161239206322996,scr1984,mustOut,spaceHeat
38DK,hh0011,0.27932786693881234,scr1984,mustOut,spaceHeat
38DK,hh0012,0.13447796237401471,scr1984,mustOut,spaceHeat
39CZ,hh0007,0.407395944781479,scr1984,mustOut,spaceHeat
39CZ,hh0008,0.35783316259729603,scr1984,mustOut,spaceHeat
39CZ,hh0009,0.2983063921704635,scr1984,mustOut,spaceHeat
39CZ,hh0010,0.27825187216161856,scr1984,mustOut,spaceHeat
39CZ,hh0011,0.22171156395289493,scr1984,mustOut,spaceHeat
39CZ,hh0012,0.11910787380170366,scr1984,mustOut,spaceHeat
40CZ,hh0007,0.4026046785548252,scr1984,mustOut,spaceHeat
40CZ,hh0008,0.32400845092980335,scr1984,mustOut,spaceHeat
40CZ,hh0009,0.24144486991734954,scr1984,mustOut,spaceHeat
40CZ,hh0010,0.2566991851728353,scr1984,mustOut,spaceHeat
40CZ,hh0011,0.17614418340083873,scr1984,mustOut,spaceHeat
40CZ,hh0012,0.10148384031566265,scr1984,mustOut,spaceHeat
41PL,hh0007,0.4161635996239874,scr1984,mustOut,spaceHeat
