region_3,timestep_6,value,scenario_1,parameter,carrier_1
at,h0025,6.66454176804162,scr2006,dem,electricity
at,h0026,5.308002805159316,scr2006,dem,electricity
at,h0027,5.180000618928559,scr2006,dem,electricity
at,h0028,5.15130115228149,scr2006,dem,electricity
at,h0029,6.873594877376096,scr2006,dem,electricity
at,h0030,8.246740789070945,scr2006,dem,electricity
at,h0031,9.522429815525125,scr2006,dem,electricity
at,h0032,9.371001831118765,scr2006,dem,electricity
at,h0033,7.72523989061916,scr2006,dem,electricity
at,h0034,7.418442380345068,scr2006,dem,electricity
at,h0035,6.5306682124518955,scr2006,dem,electricity
at,h0036,7.137462029062971,scr2006,dem,electricity
at,h0037,6.107905989769894,scr2006,dem,electricity
at,h0038,5.578090938755388,scr2006,dem,electricity
at,h0039,5.073248143307701,scr2006,dem,electricity
at,h0040,5.82911210236371,scr2006,dem,electricity
at,h0041,7.282552841889116,scr2006,dem,electricity
at,h0042,7.58383791178357,scr2006,dem,electricity
at,h0043,8.080799250823084,scr2006,dem,electricity
at,h0044,7.166233165748415,scr2006,dem,electricity
at,h0045,8.091525230943912,scr2006,dem,electricity
at,h0046,7.6085902367600635,scr2006,dem,electricity
at,h0047,8.073067997918294,scr2006,dem,electricity
at,h0048,7.4424400384870175,scr2006,dem,electricity
be,h0025,8.733637731959917,scr2006,dem,electricity
be,h0026,7.356182583396087,scr2006,dem,electricity
be,h0027,6.931012019720971,scr2006,dem,electricity
be,h0028,6.40364731407778,scr2006,dem,electricity
be,h0029,7.794583228621601,scr2006,dem,electricity
be,h0030,8.945415429170893,scr2006,dem,electricity
be,h0031,10.168715978929946,scr2006,dem,electricity
be,h0032,10.191378260497565,scr2006,dem,electricity
be,h0033,9.094468328160833,scr2006,dem,electricity
be,h0034,8.86594553865497,scr2006,dem,electricity
be,h0035,8.048923851095655,scr2006,dem,electricity
be,h0036,8.81183241425093,scr2006,dem,electricity
be,h0037,8.0793773083596,scr2006,dem,electricity
be,h0038,7.676329250780583,scr2006,dem,electricity
be,h0039,6.833812926333184,scr2006,dem,electricity
be,h0040,6.798871375658212,scr2006,dem,electricity
be,h0041,8.076202856962656,scr2006,dem,electricity
be,h0042,8.266884309904984,scr2006,dem,electricity
be,h0043,9.314768081103395,scr2006,dem,electricity
be,h0044,8.572761356926122,scr2006,dem,electricity
be,h0045,9.43507452618432,scr2006,dem,electricity
be,h0046,8.767482851702095,scr2006,dem,electricity
be,h0047,9.033143745727617,scr2006,dem,electricity
be,h0048,8.720107845276598,scr2006,dem,electricity
bg,h0025,3.3087352515464965,scr2006,dem,electricity
bg,h0026,2.620675573308513,scr2006,dem,electricity
bg,h0027,2.507964219854613,scr2006,dem,electricity
bg,h0028,2.471428370252694,scr2006,dem,electricity
bg,h0029,3.070548853063194,scr2006,dem,electricity
bg,h0030,3.576181229479161,scr2006,dem,electricity
bg,h0031,4.008990904388385,scr2006,dem,electricity
bg,h0032,4.0157135164192574,scr2006,dem,electricity
