region_4,timestep_5,value,scenario_1,parameter,technology_2
01ES,hh0019,4.059999999997672,scr2012,effConv,heatpumpAir
01ES,hh0020,4.059999999997672,scr2012,effConv,heatpumpAir
01ES,hh0021,4.059999999997672,scr2012,effConv,heatpumpAir
01ES,hh0022,4.051691460548682,scr2012,effConv,heatpumpAir
01ES,hh0023,4.043382921099692,scr2012,effConv,heatpumpAir
01ES,hh0024,4.008792062411885,scr2012,effConv,heatpumpAir
02ES,hh0019,4.060000000004948,scr2012,effConv,heatpumpAir
02ES,hh0020,4.060000000004948,scr2012,effConv,heatpumpAir
02ES,hh0021,4.059083297512188,scr2012,effConv,heatpumpAir
02ES,hh0022,4.005327191307515,scr2012,effConv,heatpumpAir
02ES,hh0023,4.009961759478756,scr2012,effConv,heatpumpAir
02ES,hh0024,3.9829910226872016,scr2012,effConv,heatpumpAir
03ES,hh0019,4.059999999997672,scr2012,effConv,heatpumpAir
03ES,hh0020,4.059999999997672,scr2012,effConv,heatpumpAir
03ES,hh0021,4.059999999997672,scr2012,effConv,heatpumpAir
03ES,hh0022,4.018938793735288,scr2012,effConv,heatpumpAir
03ES,hh0023,4.018043906718958,scr2012,effConv,heatpumpAir
03ES,hh0024,4.033349657789586,scr2012,effConv,heatpumpAir
04ES,hh0019,4.060000000004948,scr2012,effConv,heatpumpAir
04ES,hh0020,4.060000000004948,scr2012,effConv,heatpumpAir
04ES,hh0021,4.060000000004948,scr2012,effConv,heatpumpAir
04ES,hh0022,3.988896238419329,scr2012,effConv,heatpumpAir
04ES,hh0023,4.054126222708874,scr2012,effConv,heatpumpAir
04ES,hh0024,4.041373886311703,scr2012,effConv,heatpumpAir
05ES,hh0019,4.059999999997672,scr2012,effConv,heatpumpAir
05ES,hh0020,4.05898835737753,scr2012,effConv,heatpumpAir
05ES,hh0021,4.055952597998839,scr2012,effConv,heatpumpAir
05ES,hh0022,4.040742954037341,scr2012,effConv,heatpumpAir
05ES,hh0023,4.0508852272469085,scr2012,effConv,heatpumpAir
05ES,hh0024,4.048859446083952,scr2012,effConv,heatpumpAir
06ES,hh0019,4.060000000004948,scr2012,effConv,heatpumpAir
06ES,hh0020,4.059016688870543,scr2012,effConv,heatpumpAir
06ES,hh0021,4.056065947237585,scr2012,effConv,heatpumpAir
06ES,hh0022,4.04917468034364,scr2012,effConv,heatpumpAir
06ES,hh0023,4.055081827873437,scr2012,effConv,heatpumpAir
06ES,hh0024,4.052127850662146,scr2012,effConv,heatpumpAir
07ES,hh0019,4.059999999997672,scr2012,effConv,heatpumpAir
07ES,hh0020,4.059999999997672,scr2012,effConv,heatpumpAir
07ES,hh0021,4.059999999997672,scr2012,effConv,heatpumpAir
07ES,hh0022,4.056591016702441,scr2012,effConv,heatpumpAir
07ES,hh0023,4.053182033407211,scr2012,effConv,heatpumpAir
07ES,hh0024,4.055741923859387,scr2012,effConv,heatpumpAir
08ES,hh0019,4.059999999997672,scr2012,effConv,heatpumpAir
08ES,hh0020,4.059999999997672,scr2012,effConv,heatpumpAir
08ES,hh0021,4.059999999997672,scr2012,effConv,heatpumpAir
08ES,hh0022,4.0591602417880495,scr2012,effConv,heatpumpAir
