region_4,timestep_5,value,scenario_1,parameter,technology_3
01ES,hh0001,4.422863073647022,scr1995,effConv,heatpumpGroundSpace
01ES,hh0002,4.439336571842432,scr1995,effConv,heatpumpGroundSpace
01ES,hh0003,5.699629254639149,scr1995,effConv,heatpumpGroundSpace
01ES,hh0004,5.1734821908175945,scr1995,effConv,heatpumpGroundSpace
01ES,hh0005,5.007513005286455,scr1995,effConv,heatpumpGroundSpace
01ES,hh0006,5.405349738895893,scr1995,effConv,heatpumpGroundSpace
02ES,hh0001,4.258859407156706,scr1995,effConv,heatpumpGroundSpace
02ES,hh0002,4.282011356204748,scr1995,effConv,heatpumpGroundSpace
02ES,hh0003,5.288666814565659,scr1995,effConv,heatpumpGroundSpace
02ES,hh0004,4.7957531698048115,scr1995,effConv,heatpumpGroundSpace
02ES,hh0005,4.869560245424509,scr1995,effConv,heatpumpGroundSpace
02ES,hh0006,5.12304399907589,scr1995,effConv,heatpumpGroundSpace
03ES,hh0001,4.333037583741316,scr1995,effConv,heatpumpGroundSpace
03ES,hh0002,4.077313477857388,scr1995,effConv,heatpumpGroundSpace
03ES,hh0003,5.2360996142997465,scr1995,effConv,heatpumpGroundSpace
03ES,hh0004,4.641370511855712,scr1995,effConv,heatpumpGroundSpace
03ES,hh0005,4.829710445519595,scr1995,effConv,heatpumpGroundSpace
03ES,hh0006,5.186089177363101,scr1995,effConv,heatpumpGroundSpace
04ES,hh0001,4.252627264708281,scr1995,effConv,heatpumpGroundSpace
04ES,hh0002,4.580656237900257,scr1995,effConv,heatpumpGroundSpace
04ES,hh0003,5.603325240314007,scr1995,effConv,heatpumpGroundSpace
04ES,hh0004,4.884610813111067,scr1995,effConv,heatpumpGroundSpace
04ES,hh0005,5.219060335308313,scr1995,effConv,heatpumpGroundSpace
04ES,hh0006,5.260143835097551,scr1995,effConv,heatpumpGroundSpace
05ES,hh0001,4.4251133650541306,scr1995,effConv,heatpumpGroundSpace
05ES,hh0002,4.253253553062677,scr1995,effConv,heatpumpGroundSpace
05ES,hh0003,5.461293838918209,scr1995,effConv,heatpumpGroundSpace
05ES,hh0004,4.598983995616436,scr1995,effConv,heatpumpGroundSpace
05ES,hh0005,5.110287483781576,scr1995,effConv,heatpumpGroundSpace
05ES,hh0006,5.403238080441952,scr1995,effConv,heatpumpGroundSpace
06ES,hh0001,4.73139796444957,scr1995,effConv,heatpumpGroundSpace
06ES,hh0002,4.8806754307224764,scr1995,effConv,heatpumpGroundSpace
06ES,hh0003,5.68523611780256,scr1995,effConv,heatpumpGroundSpace
06ES,hh0004,4.931120564793673,scr1995,effConv,heatpumpGroundSpace
06ES,hh0005,5.6324189171537,scr1995,effConv,heatpumpGroundSpace
06ES,hh0006,5.748813554568187,scr1995,effConv,heatpumpGroundSpace
07ES,hh0001,4.662750426919956,scr1995,effConv,heatpumpGroundSpace
07ES,hh0002,4.103965428959782,scr1995,effConv,heatpumpGroundSpace
07ES,hh0003,5.432551799432986,scr1995,effConv,heatpumpGroundSpace
07ES,hh0004,4.7791556634674635,scr1995,effConv,heatpumpGroundSpace
07ES,hh0005,5.1662951706184685,scr1995,effConv,heatpumpGroundSpace
07ES,hh0006,5.627556151974204,scr1995,effConv,heatpumpGroundSpace
08ES,hh0001,4.907800406450406,scr1995,effConv,heatpumpGroundSpace
08ES,hh0002,4.367887638651155,scr1995,effConv,heatpumpGroundSpace
08ES,hh0003,5.672287423863963,scr1995,effConv,heatpumpGroundSpace
08ES,hh0004,5.150258388779548,scr1995,effConv,heatpumpGroundSpace
08ES,hh0005,5.440354248916265,scr1995,effConv,heatpumpGroundSpace
08ES,hh0006,5.865857179922386,scr1995,effConv,heatpumpGroundSpace
09ES,hh0001,5.204817018460744,scr1995,effConv,heatpumpGroundSpace
09ES,hh0002,5.064847333851503,scr1995,effConv,heatpumpGroundSpace
09ES,hh0003,6.22133710937851,scr1995,effConv,heatpumpGroundSpace
09ES,hh0004,5.86955161480364,scr1995,effConv,heatpumpGroundSpace
09ES,hh0005,6.001197398381919,scr1995,effConv,heatpumpGroundSpace
09ES,hh0006,6.2557406936793996,scr1995,effConv,heatpumpGroundSpace
10ES,hh0001,4.800234276513947,scr1995,effConv,heatpumpGroundSpace
10ES,hh0002,4.466715165508504,scr1995,effConv,heatpumpGroundSpace
10ES,hh0003,5.850062673300272,scr1995,effConv,heatpumpGroundSpace
10ES,hh0004,5.088428458697308,scr1995,effConv,heatpumpGroundSpace
10ES,hh0005,5.543107475401484,scr1995,effConv,heatpumpGroundSpace
10ES,hh0006,5.767674780672678,scr1995,effConv,heatpumpGroundSpace
11ES,hh0001,5.14979812502861,scr1995,effConv,heatpumpGroundSpace
11ES,hh0002,4.982260260730982,scr1995,effConv,heatpumpGroundSpace
11ES,hh0003,5.9746598824858665,scr1995,effConv,heatpumpGroundSpace
11ES,hh0004,5.235827170312405,scr1995,effConv,heatpumpGroundSpace
11ES,hh0005,5.739584889262915,scr1995,effConv,heatpumpGroundSpace
11ES,hh0006,6.0016730055212975,scr1995,effConv,heatpumpGroundSpace
12PT,hh0001,5.011317700147629,scr1995,effConv,heatpumpGroundSpace
