region_4,timestep_5,value,parameter,carrier_1
01ES,hh0019,0.4979938934710394,dem,processHeat_high
01ES,hh0020,0.4954782776484234,dem,processHeat_high
01ES,hh0021,0.49696377321646024,dem,processHeat_high
01ES,hh0022,0.4949252443795204,dem,processHeat_high
01ES,hh0023,0.5000463870005057,dem,processHeat_high
01ES,hh0024,0.49094978980609966,dem,processHeat_high
02ES,hh0019,0.5854382284577155,dem,processHeat_high
02ES,hh0020,0.5826920206301942,dem,processHeat_high
02ES,hh0021,0.5838077641311485,dem,processHeat_high
02ES,hh0022,0.581147860341853,dem,processHeat_high
02ES,hh0023,0.5881436988514652,dem,processHeat_high
02ES,hh0024,0.5771676553527205,dem,processHeat_high
03ES,hh0019,0.38695723577039537,dem,processHeat_high
03ES,hh0020,0.385551044111642,dem,processHeat_high
03ES,hh0021,0.3855869888231568,dem,processHeat_high
03ES,hh0022,0.3833722115220012,dem,processHeat_high
03ES,hh0023,0.38911049615639015,dem,processHeat_high
03ES,hh0024,0.38165236036300115,dem,processHeat_high
04ES,hh0019,0.9539475878430825,dem,processHeat_high
04ES,hh0020,0.9492510374677623,dem,processHeat_high
04ES,hh0021,0.9518182343113324,dem,processHeat_high
04ES,hh0022,0.9477704594953635,dem,processHeat_high
04ES,hh0023,0.9580192691705288,dem,processHeat_high
04ES,hh0024,0.940465658104603,dem,processHeat_high
05ES,hh0019,0.3088903970749827,dem,processHeat_high
05ES,hh0020,0.307957922582771,dem,processHeat_high
05ES,hh0021,0.30793559882559635,dem,processHeat_high
05ES,hh0022,0.30598651741380556,dem,processHeat_high
05ES,hh0023,0.3106838738207459,dem,processHeat_high
05ES,hh0024,0.3047797971610824,dem,processHeat_high
06ES,hh0019,1.6588652420132348,dem,processHeat_high
06ES,hh0020,1.657228748577836,dem,processHeat_high
06ES,hh0021,1.649262109652227,dem,processHeat_high
06ES,hh0022,1.6348027567737518,dem,processHeat_high
06ES,hh0023,1.6718195920466314,dem,processHeat_high
06ES,hh0024,1.6393884127519414,dem,processHeat_high
07ES,hh0019,0.7062854499317837,dem,processHeat_high
07ES,hh0020,0.705199216326946,dem,processHeat_high
07ES,hh0021,0.7026215912446787,dem,processHeat_high
07ES,hh0022,0.6968598115731766,dem,processHeat_high
07ES,hh0023,0.711446268470354,dem,processHeat_high
07ES,hh0024,0.6975702444105991,dem,processHeat_high
08ES,hh0019,0.38173116898659265,dem,processHeat_high
08ES,hh0020,0.38018413575532406,dem,processHeat_high
08ES,hh0021,0.38033660655386936,dem,processHeat_high
08ES,hh0022,0.3783126635870814,dem,processHeat_high
08ES,hh0023,0.3837681937543935,dem,processHeat_high
08ES,hh0024,0.3764088940555868,dem,processHeat_high
09ES,hh0019,0.5451128139105291,dem,processHeat_high
09ES,hh0020,0.5428151257554954,dem,processHeat_high
09ES,hh0021,0.5434156134162292,dem,processHeat_high
09ES,hh0022,0.5406517743803185,dem,processHeat_high
09ES,hh0023,0.5478652761566579,dem,processHeat_high
09ES,hh0024,0.5375003273975594,dem,processHeat_high
10ES,hh0019,0.3130669608257438,dem,processHeat_high
10ES,hh0020,0.311747361966085,dem,processHeat_high
10ES,hh0021,0.312092231582359,dem,processHeat_high
10ES,hh0022,0.31050491485616266,dem,processHeat_high
10ES,hh0023,0.3146477436805834,dem,processHeat_high
10ES,hh0024,0.3086949887199229,dem,processHeat_high
11ES,hh0019,2.156254538144017,dem,processHeat_high
11ES,hh0020,2.1495904592082526,dem,processHeat_high
