region_4,timestep_6,value,scenario_1,parameter,technology_1
70AL,h0073,0.0,scr1994,avaConv,solar
70AL,h0074,0.0,scr1994,avaConv,solar
70AL,h0075,0.0,scr1994,avaConv,solar
70AL,h0076,0.0258166694863668,scr1994,avaConv,solar
70AL,h0077,0.18440101329939776,scr1994,avaConv,solar
70AL,h0078,0.3005698611979997,scr1994,avaConv,solar
70AL,h0079,0.5305923894216693,scr1994,avaConv,solar
70AL,h0080,0.45099333952620946,scr1994,avaConv,solar
70AL,h0081,0.34666259561961466,scr1994,avaConv,solar
70AL,h0082,0.08144062378139853,scr1994,avaConv,solar
70AL,h0083,0.0035431963325176555,scr1994,avaConv,solar
70AL,h0084,0.0,scr1994,avaConv,solar
70AL,h0085,0.0,scr1994,avaConv,solar
70AL,h0086,0.0,scr1994,avaConv,solar
70AL,h0087,0.0,scr1994,avaConv,solar
70AL,h0088,0.013954551814005555,scr1994,avaConv,solar
70AL,h0089,0.1226001949913823,scr1994,avaConv,solar
70AL,h0090,0.39197665871538495,scr1994,avaConv,solar
70AL,h0091,0.561413783516413,scr1994,avaConv,solar
70AL,h0092,0.42290221215069285,scr1994,avaConv,solar
70AL,h0093,0.14246070091657165,scr1994,avaConv,solar
70AL,h0094,0.02020736179374288,scr1994,avaConv,solar
70AL,h0095,0.0,scr1994,avaConv,solar
70AL,h0096,0.0,scr1994,avaConv,solar
49AT,h0073,0.0,scr1994,avaConv,solar
49AT,h0074,0.0,scr1994,avaConv,solar
49AT,h0075,0.0,scr1994,avaConv,solar
49AT,h0076,0.007020535757292749,scr1994,avaConv,solar
49AT,h0077,0.09478952895344123,scr1994,avaConv,solar
49AT,h0078,0.3733074205091955,scr1994,avaConv,solar
49AT,h0079,0.432305251876943,scr1994,avaConv,solar
49AT,h0080,0.39702473573603436,scr1994,avaConv,solar
49AT,h0081,0.15777003185132008,scr1994,avaConv,solar
49AT,h0082,0.07826315350243264,scr1994,avaConv,solar
49AT,h0083,0.007248367036814175,scr1994,avaConv,solar
49AT,h0084,0.0,scr1994,avaConv,solar
49AT,h0085,0.0,scr1994,avaConv,solar
49AT,h0086,0.0,scr1994,avaConv,solar
49AT,h0087,0.0,scr1994,avaConv,solar
49AT,h0088,0.0004855976048354142,scr1994,avaConv,solar
49AT,h0089,0.03901849202725079,scr1994,avaConv,solar
49AT,h0090,0.10036264044185442,scr1994,avaConv,solar
49AT,h0091,0.3289633475910855,scr1994,avaConv,solar
49AT,h0092,0.2735012394473674,scr1994,avaConv,solar
49AT,h0093,0.18526480940442197,scr1994,avaConv,solar
49AT,h0094,0.02159082114787916,scr1994,avaConv,solar
49AT,h0095,0.0008045642489010358,scr1994,avaConv,solar
49AT,h0096,0.0,scr1994,avaConv,solar
50AT,h0073,0.0,scr1994,avaConv,solar
50AT,h0074,0.0,scr1994,avaConv,solar
50AT,h0075,0.0,scr1994,avaConv,solar
50AT,h0076,0.014758103017237078,scr1994,avaConv,solar
50AT,h0077,0.14095044481959965,scr1994,avaConv,solar
50AT,h0078,0.3960553684383092,scr1994,avaConv,solar
50AT,h0079,0.4176477845017162,scr1994,avaConv,solar
50AT,h0080,0.3915921897507274,scr1994,avaConv,solar
50AT,h0081,0.16917424689541238,scr1994,avaConv,solar
50AT,h0082,0.10955641653096775,scr1994,avaConv,solar
50AT,h0083,0.008471669739201073,scr1994,avaConv,solar
50AT,h0084,0.0,scr1994,avaConv,solar
50AT,h0085,0.0,scr1994,avaConv,solar
50AT,h0086,0.0,scr1994,avaConv,solar
50AT,h0087,0.0,scr1994,avaConv,solar
50AT,h0088,0.007022939289870455,scr1994,avaConv,solar
