region_4,timestep_5,value,scenario_1,parameter,carrier_1
01ES,hh0013,0.28043079286070344,scr2008,mustOut,spaceHeat
01ES,hh0014,0.35269507823168805,scr2008,mustOut,spaceHeat
01ES,hh0015,0.13966004796704012,scr2008,mustOut,spaceHeat
01ES,hh0016,0.18883261053039885,scr2008,mustOut,spaceHeat
01ES,hh0017,0.2765228557312528,scr2008,mustOut,spaceHeat
01ES,hh0018,0.1218532406178067,scr2008,mustOut,spaceHeat
02ES,hh0013,0.2935575620006241,scr2008,mustOut,spaceHeat
02ES,hh0014,0.379846476941118,scr2008,mustOut,spaceHeat
02ES,hh0015,0.13103217096339767,scr2008,mustOut,spaceHeat
02ES,hh0016,0.17612150767040385,scr2008,mustOut,spaceHeat
02ES,hh0017,0.25589143592195984,scr2008,mustOut,spaceHeat
02ES,hh0018,0.11026224992695714,scr2008,mustOut,spaceHeat
03ES,hh0013,0.3120314116291403,scr2008,mustOut,spaceHeat
03ES,hh0014,0.3650828037417825,scr2008,mustOut,spaceHeat
03ES,hh0015,0.08866817390561743,scr2008,mustOut,spaceHeat
03ES,hh0016,0.16977369076443494,scr2008,mustOut,spaceHeat
03ES,hh0017,0.23072177857640538,scr2008,mustOut,spaceHeat
03ES,hh0018,0.07818076163033195,scr2008,mustOut,spaceHeat
04ES,hh0013,0.23839565444411598,scr2008,mustOut,spaceHeat
04ES,hh0014,0.30404360533400204,scr2008,mustOut,spaceHeat
04ES,hh0015,0.09893584628233718,scr2008,mustOut,spaceHeat
04ES,hh0016,0.13020688332424463,scr2008,mustOut,spaceHeat
04ES,hh0017,0.20668537485567962,scr2008,mustOut,spaceHeat
04ES,hh0018,0.08266997439443148,scr2008,mustOut,spaceHeat
05ES,hh0013,0.2699033089517676,scr2008,mustOut,spaceHeat
05ES,hh0014,0.32744477849265075,scr2008,mustOut,spaceHeat
05ES,hh0015,0.08144016770215123,scr2008,mustOut,spaceHeat
05ES,hh0016,0.11862615629760931,scr2008,mustOut,spaceHeat
05ES,hh0017,0.19013406623068257,scr2008,mustOut,spaceHeat
05ES,hh0018,0.0805300073988745,scr2008,mustOut,spaceHeat
06ES,hh0013,0.20830822407825272,scr2008,mustOut,spaceHeat
06ES,hh0014,0.24172540071346202,scr2008,mustOut,spaceHeat
06ES,hh0015,0.0937242498487667,scr2008,mustOut,spaceHeat
06ES,hh0016,0.10046567997731573,scr2008,mustOut,spaceHeat
06ES,hh0017,0.15372669125952992,scr2008,mustOut,spaceHeat
06ES,hh0018,0.08713822543263511,scr2008,mustOut,spaceHeat
07ES,hh0013,0.283789291911555,scr2008,mustOut,spaceHeat
07ES,hh0014,0.30710604192283797,scr2008,mustOut,spaceHeat
07ES,hh0015,0.07958042211177319,scr2008,mustOut,spaceHeat
07ES,hh0016,0.13865822998063393,scr2008,mustOut,spaceHeat
07ES,hh0017,0.18810225867567745,scr2008,mustOut,spaceHeat
07ES,hh0018,0.07697783211189468,scr2008,mustOut,spaceHeat
08ES,hh0013,0.2607231513200251,scr2008,mustOut,spaceHeat
08ES,hh0014,0.2663202059835587,scr2008,mustOut,spaceHeat
08ES,hh0015,0.07658249154595914,scr2008,mustOut,spaceHeat
08ES,hh0016,0.11328086946457808,scr2008,mustOut,spaceHeat
08ES,hh0017,0.16287292348530172,scr2008,mustOut,spaceHeat
08ES,hh0018,0.07524287491290685,scr2008,mustOut,spaceHeat
09ES,hh0013,0.20094499586157594,scr2008,mustOut,spaceHeat
09ES,hh0014,0.16153066138665684,scr2008,mustOut,spaceHeat
09ES,hh0015,0.05953819257985872,scr2008,mustOut,spaceHeat
09ES,hh0016,0.07620561773873027,scr2008,mustOut,spaceHeat
09ES,hh0017,0.11207691674136447,scr2008,mustOut,spaceHeat
09ES,hh0018,0.05797234337090927,scr2008,mustOut,spaceHeat
10ES,hh0013,0.24031269694156332,scr2008,mustOut,spaceHeat
10ES,hh0014,0.22173885301372273,scr2008,mustOut,spaceHeat
10ES,hh0015,0.07187659279148331,scr2008,mustOut,spaceHeat
10ES,hh0016,0.09126827347933401,scr2008,mustOut,spaceHeat
10ES,hh0017,0.1369807925029741,scr2008,mustOut,spaceHeat
10ES,hh0018,0.06842995476235166,scr2008,mustOut,spaceHeat
11ES,hh0013,0.17494944128004652,scr2008,mustOut,spaceHeat
11ES,hh0014,0.20356494602417818,scr2008,mustOut,spaceHeat
11ES,hh0015,0.07853744443205807,scr2008,mustOut,spaceHeat
11ES,hh0016,0.07493667303442066,scr2008,mustOut,spaceHeat
11ES,hh0017,0.12533345352061973,scr2008,mustOut,spaceHeat
11ES,hh0018,0.07335251322338396,scr2008,mustOut,spaceHeat
12PT,hh0013,0.28313409669888495,scr2008,mustOut,spaceHeat
12PT,hh0014,0.30402275532110834,scr2008,mustOut,spaceHeat
12PT,hh0015,0.10800335335706301,scr2008,mustOut,spaceHeat
12PT,hh0016,0.16375978372849642,scr2008,mustOut,spaceHeat
12PT,hh0017,0.21902398097073972,scr2008,mustOut,spaceHeat
12PT,hh0018,0.11969513583657568,scr2008,mustOut,spaceHeat
13PT,hh0013,0.21566672013389676,scr2008,mustOut,spaceHeat
13PT,hh0014,0.23149272018892772,scr2008,mustOut,spaceHeat
13PT,hh0015,0.1005568490932653,scr2008,mustOut,spaceHeat
13PT,hh0016,0.11723376158641613,scr2008,mustOut,spaceHeat
13PT,hh0017,0.18602509824035876,scr2008,mustOut,spaceHeat
13PT,hh0018,0.10023790839286789,scr2008,mustOut,spaceHeat
14FR,hh0013,0.12159381792934534,scr2008,mustOut,spaceHeat
14FR,hh0014,0.09829860031992906,scr2008,mustOut,spaceHeat
14FR,hh0015,0.018429970644601158,scr2008,mustOut,spaceHeat
14FR,hh0016,0.04939239068021306,scr2008,mustOut,spaceHeat
14FR,hh0017,0.050696641909848635,scr2008,mustOut,spaceHeat
14FR,hh0018,0.01797776450472614,scr2008,mustOut,spaceHeat
15FR,hh0013,0.0982629558505872,scr2008,mustOut,spaceHeat
15FR,hh0014,0.08735530557157029,scr2008,mustOut,spaceHeat
15FR,hh0015,0.017165575873014743,scr2008,mustOut,spaceHeat
15FR,hh0016,0.04801400146834111,scr2008,mustOut,spaceHeat
15FR,hh0017,0.04683914862397858,scr2008,mustOut,spaceHeat
15FR,hh0018,0.017490362180431634,scr2008,mustOut,spaceHeat
16FR,hh0013,0.0703664160241334,scr2008,mustOut,spaceHeat
