region_4,timestep_6,value,scenario_1,parameter,technology_2
70AL,h0001,0.39520610525561867,scr1999,avaConv,offshore
70AL,h0002,0.21944404769410533,scr1999,avaConv,offshore
70AL,h0003,0.16313226361431218,scr1999,avaConv,offshore
70AL,h0004,0.033034496666250995,scr1999,avaConv,offshore
70AL,h0005,0.28066605351235513,scr1999,avaConv,offshore
70AL,h0006,0.28482054720760097,scr1999,avaConv,offshore
70AL,h0007,0.2736841422511981,scr1999,avaConv,offshore
70AL,h0008,0.019623025209959694,scr1999,avaConv,offshore
70AL,h0009,0.00482698915545688,scr1999,avaConv,offshore
70AL,h0010,0.3566654176421953,scr1999,avaConv,offshore
70AL,h0011,0.3611175932150406,scr1999,avaConv,offshore
70AL,h0012,0.36741486713283794,scr1999,avaConv,offshore
70AL,h0013,0.2645489432172461,scr1999,avaConv,offshore
70AL,h0014,0.6180542396373444,scr1999,avaConv,offshore
70AL,h0015,0.6046054048837463,scr1999,avaConv,offshore
70AL,h0016,0.40331006657294804,scr1999,avaConv,offshore
70AL,h0017,0.24880773239911758,scr1999,avaConv,offshore
70AL,h0018,0.5315854131295222,scr1999,avaConv,offshore
70AL,h0019,0.6756168647662248,scr1999,avaConv,offshore
70AL,h0020,0.49840848901458257,scr1999,avaConv,offshore
70AL,h0021,0.41100340308558464,scr1999,avaConv,offshore
70AL,h0022,0.4032290714247306,scr1999,avaConv,offshore
70AL,h0023,0.3741574318917561,scr1999,avaConv,offshore
70AL,h0024,0.19190677371811085,scr1999,avaConv,offshore
49AT,h0001,NaN,scr1999,avaConv,offshore
49AT,h0002,NaN,scr1999,avaConv,offshore
49AT,h0003,NaN,scr1999,avaConv,offshore
49AT,h0004,NaN,scr1999,avaConv,offshore
49AT,h0005,NaN,scr1999,avaConv,offshore
49AT,h0006,NaN,scr1999,avaConv,offshore
49AT,h0007,NaN,scr1999,avaConv,offshore
49AT,h0008,NaN,scr1999,avaConv,offshore
49AT,h0009,NaN,scr1999,avaConv,offshore
49AT,h0010,NaN,scr1999,avaConv,offshore
49AT,h0011,NaN,scr1999,avaConv,offshore
49AT,h0012,NaN,scr1999,avaConv,offshore
49AT,h0013,NaN,scr1999,avaConv,offshore
49AT,h0014,NaN,scr1999,avaConv,offshore
49AT,h0015,NaN,scr1999,avaConv,offshore
49AT,h0016,NaN,scr1999,avaConv,offshore
49AT,h0017,NaN,scr1999,avaConv,offshore
49AT,h0018,NaN,scr1999,avaConv,offshore
49AT,h0019,NaN,scr1999,avaConv,offshore
49AT,h0020,NaN,scr1999,avaConv,offshore
49AT,h0021,NaN,scr1999,avaConv,offshore
49AT,h0022,NaN,scr1999,avaConv,offshore
49AT,h0023,NaN,scr1999,avaConv,offshore
49AT,h0024,NaN,scr1999,avaConv,offshore
50AT,h0001,NaN,scr1999,avaConv,offshore
50AT,h0002,NaN,scr1999,avaConv,offshore
50AT,h0003,NaN,scr1999,avaConv,offshore
50AT,h0004,NaN,scr1999,avaConv,offshore
50AT,h0005,NaN,scr1999,avaConv,offshore
50AT,h0006,NaN,scr1999,avaConv,offshore
50AT,h0007,NaN,scr1999,avaConv,offshore
50AT,h0008,NaN,scr1999,avaConv,offshore
50AT,h0009,NaN,scr1999,avaConv,offshore
50AT,h0010,NaN,scr1999,avaConv,offshore
50AT,h0011,NaN,scr1999,avaConv,offshore
50AT,h0012,NaN,scr1999,avaConv,offshore
50AT,h0013,NaN,scr1999,avaConv,offshore
50AT,h0014,NaN,scr1999,avaConv,offshore
50AT,h0015,NaN,scr1999,avaConv,offshore
50AT,h0016,NaN,scr1999,avaConv,offshore
50AT,h0017,NaN,scr1999,avaConv,offshore
50AT,h0018,NaN,scr1999,avaConv,offshore
50AT,h0019,NaN,scr1999,avaConv,offshore
50AT,h0020,NaN,scr1999,avaConv,offshore
50AT,h0021,NaN,scr1999,avaConv,offshore
50AT,h0022,NaN,scr1999,avaConv,offshore
50AT,h0023,NaN,scr1999,avaConv,offshore
50AT,h0024,NaN,scr1999,avaConv,offshore
51AT,h0001,NaN,scr1999,avaConv,offshore
51AT,h0002,NaN,scr1999,avaConv,offshore
51AT,h0003,NaN,scr1999,avaConv,offshore
51AT,h0004,NaN,scr1999,avaConv,offshore
51AT,h0005,NaN,scr1999,avaConv,offshore
51AT,h0006,NaN,scr1999,avaConv,offshore
51AT,h0007,NaN,scr1999,avaConv,offshore
51AT,h0008,NaN,scr1999,avaConv,offshore
51AT,h0009,NaN,scr1999,avaConv,offshore
51AT,h0010,NaN,scr1999,avaConv,offshore
51AT,h0011,NaN,scr1999,avaConv,offshore
51AT,h0012,NaN,scr1999,avaConv,offshore
51AT,h0013,NaN,scr1999,avaConv,offshore
51AT,h0014,NaN,scr1999,avaConv,offshore
51AT,h0015,NaN,scr1999,avaConv,offshore
51AT,h0016,NaN,scr1999,avaConv,offshore
51AT,h0017,NaN,scr1999,avaConv,offshore
51AT,h0018,NaN,scr1999,avaConv,offshore
51AT,h0019,NaN,scr1999,avaConv,offshore
51AT,h0020,NaN,scr1999,avaConv,offshore
51AT,h0021,NaN,scr1999,avaConv,offshore
51AT,h0022,NaN,scr1999,avaConv,offshore
51AT,h0023,NaN,scr1999,avaConv,offshore
51AT,h0024,NaN,scr1999,avaConv,offshore
63BA,h0001,0.0978774156377063,scr1999,avaConv,offshore
63BA,h0002,0.050128765016824006,scr1999,avaConv,offshore
63BA,h0003,0.0306901472941753,scr1999,avaConv,offshore
63BA,h0004,0.0026186069958208124,scr1999,avaConv,offshore
63BA,h0005,0.11360850876921347,scr1999,avaConv,offshore
63BA,h0006,0.11360850876921347,scr1999,avaConv,offshore
63BA,h0007,0.11360850876921347,scr1999,avaConv,offshore
63BA,h0008,0.0,scr1999,avaConv,offshore
63BA,h0009,0.0,scr1999,avaConv,offshore
63BA,h0010,0.0671595870257568,scr1999,avaConv,offshore
63BA,h0011,0.5529349658276044,scr1999,avaConv,offshore
63BA,h0012,0.5616649095198477,scr1999,avaConv,offshore
63BA,h0013,0.4822768044404347,scr1999,avaConv,offshore
63BA,h0014,0.4823129155645889,scr1999,avaConv,offshore
63BA,h0015,0.9001526316117631,scr1999,avaConv,offshore
63BA,h0016,0.8600565554141576,scr1999,avaConv,offshore
63BA,h0017,0.3264128855014582,scr1999,avaConv,offshore
63BA,h0018,0.4581791667791354,scr1999,avaConv,offshore
