region_4,category,timestep_6,value,scenario_1,parameter,technology_3
70AL,1,h0025,0.4561054671113859,scr2008,avaConv,onshore_a
70AL,1,h0026,0.3951043851242394,scr2008,avaConv,onshore_a
70AL,1,h0027,0.3909441770940721,scr2008,avaConv,onshore_a
70AL,1,h0028,0.6947060868757488,scr2008,avaConv,onshore_a
70AL,1,h0029,0.8521252379903341,scr2008,avaConv,onshore_a
70AL,1,h0030,0.9096301979349996,scr2008,avaConv,onshore_a
70AL,1,h0031,0.5977641798852847,scr2008,avaConv,onshore_a
70AL,1,h0032,0.3947091434088316,scr2008,avaConv,onshore_a
70AL,1,h0033,0.6166640655358873,scr2008,avaConv,onshore_a
70AL,1,h0034,0.75446938126087,scr2008,avaConv,onshore_a
70AL,1,h0035,0.8265252530310783,scr2008,avaConv,onshore_a
70AL,1,h0036,0.7357314630189283,scr2008,avaConv,onshore_a
70AL,1,h0037,0.6005993254706503,scr2008,avaConv,onshore_a
70AL,1,h0038,0.49182723118805594,scr2008,avaConv,onshore_a
70AL,1,h0039,0.4181284386087094,scr2008,avaConv,onshore_a
70AL,1,h0040,0.47702463006816676,scr2008,avaConv,onshore_a
70AL,1,h0041,0.6711377516352766,scr2008,avaConv,onshore_a
70AL,1,h0042,0.577983611471725,scr2008,avaConv,onshore_a
70AL,1,h0043,0.599311050682274,scr2008,avaConv,onshore_a
70AL,1,h0044,0.3986124177873097,scr2008,avaConv,onshore_a
70AL,1,h0045,0.3544975902911817,scr2008,avaConv,onshore_a
70AL,1,h0046,0.306203755645039,scr2008,avaConv,onshore_a
70AL,1,h0047,0.3408860678208902,scr2008,avaConv,onshore_a
70AL,1,h0048,0.24598885628720302,scr2008,avaConv,onshore_a
49AT,1,h0025,0.2795051136483915,scr2008,avaConv,onshore_a
49AT,1,h0026,0.43914438858422367,scr2008,avaConv,onshore_a
49AT,1,h0027,0.6407950214692516,scr2008,avaConv,onshore_a
49AT,1,h0028,0.5561454439787424,scr2008,avaConv,onshore_a
