timestep_2,region_2,technology_3,parameter,value
all,bg,onshore_a,capaConvUp,66.45488389344645
all,bg,onshore_b,capaConvUp,52.27844940655278
all,gr,onshore_a,capaConvUp,40.68543200409115
all,gr,onshore_b,capaConvUp,142.35456799590796
all,hr,onshore_a,capaConvUp,15.933048483171802
all,hr,onshore_b,capaConvUp,18.386951516828276
all,hu,onshore_a,capaConvUp,87.48704015816853
all,hu,onshore_b,capaConvUp,30.72629314183175
all,mk,onshore_a,capaConvUp,12.40046579297154
all,mk,onshore_b,capaConvUp,19.53346108702853
all,me,onshore_a,capaConvUp,4.751373104767506
all,me,onshore_b,capaConvUp,10.368036985232473
all,ro,onshore_a,capaConvUp,205.80084336550755
all,ro,onshore_b,capaConvUp,111.39915663449233
all,at,onshore_a,capaConvUp,48.449449501476856
all,at,onshore_b,capaConvUp,30.937217168523148
all,be,onshore_a,capaConvUp,25.1819284165679
all,be,onshore_b,capaConvUp,5.498071583432025
all,ch,onshore_a,capaConvUp,3.9395859395610016
all,ch,onshore_b,capaConvUp,3.8004140604390004
all,cz,onshore_a,capaConvUp,34.15107081148628
all,cz,onshore_b,capaConvUp,63.08892918851382
all,de,onshore_a,capaConvUp,261.7482495660285
all,de,onshore_b,capaConvUp,124.09175043397285
all,es,onshore_a,capaConvUp,248.77099539160346
all,es,onshore_b,capaConvUp,387.18900460839734
all,dk_w,onshore_a,capaConvUp,15.294263487451477
all,dk_w,onshore_b,capaConvUp,29.620169877792634
all,ee,onshore_a,capaConvUp,14.891501146063835
all,ee,onshore_b,capaConvUp,12.495165523936182
all,dk_e,onshore_a,capaConvUp,1.1133871835062472
all,dk_e,onshore_b,capaConvUp,10.478846121249493
all,fi,onshore_a,capaConvUp,59.80439766958834
all,fi,onshore_b,capaConvUp,64.64893563041142
all,fr,onshore_a,capaConvUp,476.4689228415538
all,fr,onshore_b,capaConvUp,181.0011114859999
all,fr_co,onshore_a,capaConvUp,1.3248694567667045
all,fr_co,onshore_b,capaConvUp,2.818429515684328
all,it_sar,onshore_a,capaConvUp,7.7815161376935125
all,it_sar,onshore_b,capaConvUp,16.672938148517805
all,nl,onshore_a,capaConvUp,28.692229022458122
all,nl,onshore_b,capaConvUp,12.21443764754189
all,ie,onshore_a,capaConvUp,52.74216513614929
all,ie,onshore_b,capaConvUp,44.84450153385065
all,it_n,onshore_a,capaConvUp,45.74520012363604
all,it_n,onshore_b,capaConvUp,70.38320216977945
all,it_cs,onshore_a,capaConvUp,17.19651953391143
all,it_cs,onshore_b,capaConvUp,26.82439630747917
all,it_s,onshore_a,capaConvUp,47.0361939679336
all,it_s,onshore_b,capaConvUp,18.347226982539336
all,lv,onshore_a,capaConvUp,33.754010819155944
all,lv,onshore_b,capaConvUp,15.472655850844058
all,it_cn,onshore_a,capaConvUp,18.11885139170064
all,it_cn,onshore_b,capaConvUp,26.81315356964464
all,lt,onshore_a,capaConvUp,56.07594716337634
all,lt,onshore_b,capaConvUp,9.09738616662378
all,lu,onshore_a,capaConvUp,1.4318284867973
all,lu,onshore_b,capaConvUp,1.5148381802026993
all,it_sic,onshore_a,capaConvUp,11.004694723162109
all,it_sic,onshore_b,capaConvUp,23.75610694400436
all,no_n,onshore_a,capaConvUp,9.523374404845333
all,no_n,onshore_b,capaConvUp,7.184350187904696
all,pl,onshore_a,capaConvUp,254.65386085114014
all,pl,onshore_b,capaConvUp,81.43947244886165
all,no_m,onshore_a,capaConvUp,2.507874054157294
all,no_m,onshore_b,capaConvUp,2.41995769681771
all,no_s,onshore_a,capaConvUp,17.68160457564102
all,no_s,onshore_b,capaConvUp,16.496172410634163
all,pt,onshore_a,capaConvUp,46.606784919572334
all,pt,onshore_b,capaConvUp,41.79321508042718
all,sk,onshore_a,capaConvUp,27.9585392701387
all,sk,onshore_b,capaConvUp,19.18812739986134
all,si,onshore_a,capaConvUp,6.96408481400901
all,si,onshore_b,capaConvUp,7.42258185599096
all,se_4,onshore_a,capaConvUp,7.545938506370917
all,se_4,onshore_b,capaConvUp,14.164146190999828
all,se_3,onshore_a,capaConvUp,37.51034214584371
all,se_3,onshore_b,capaConvUp,21.371701312435714
all,se_2,onshore_a,capaConvUp,20.01237494800938
all,se_2,onshore_b,capaConvUp,32.16339121518307
all,se_1,onshore_a,capaConvUp,13.735270664135037
all,se_1,onshore_b,capaConvUp,15.390168317023889
all,uk,onshore_a,capaConvUp,242.30450109599494
all,uk,onshore_b,capaConvUp,103.82245143874242
all,ni,onshore_a,capaConvUp,0.93754120715198
all,ni,onshore_b,capaConvUp,21.268839558113264
all,rs,onshore_a,capaConvUp,82.98646945273823
all,rs,onshore_b,capaConvUp,46.82574374726173
all,ba,onshore_a,capaConvUp,7.2954233078309825
all,ba,onshore_b,capaConvUp,27.63319208216899
all,al,onshore_a,capaConvUp,5.2179079974963924
all,al,onshore_b,capaConvUp,16.467926402503593
