region_3,timestep_6,value,scenario_1,parameter,technology_3
at,h2161,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2162,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2163,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2164,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2165,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2166,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2167,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2168,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2169,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2170,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2171,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2172,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2173,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2174,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2175,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2176,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2177,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2178,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2179,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2180,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2181,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2182,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2183,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2184,0.6720440108817043,scr1995,stInflow,pumpedStorageOpen
at,h2185,0.6193375098418308,scr1995,stInflow,pumpedStorageOpen
at,h2186,0.5670211363887976,scr1995,stInflow,pumpedStorageOpen
at,h2187,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2188,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2189,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2190,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2191,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2192,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2193,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2194,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2195,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2196,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2197,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2198,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2199,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2200,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2201,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2202,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2203,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2204,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2205,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2206,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2207,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2208,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2209,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2210,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2211,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2212,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2213,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2214,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2215,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2216,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2217,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2218,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2219,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2220,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2221,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2222,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2223,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2224,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2225,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2226,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2227,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2228,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2229,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2230,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2231,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2232,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2233,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2234,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2235,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2236,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2237,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2238,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2239,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2240,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2241,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2242,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2243,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2244,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2245,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2246,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2247,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2248,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2249,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2250,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2251,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2252,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2253,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2254,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2255,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2256,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2257,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2258,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2259,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2260,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2261,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2262,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2263,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2264,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2265,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2266,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2267,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2268,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2269,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2270,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2271,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2272,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2273,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2274,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2275,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2276,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2277,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2278,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2279,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2280,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2281,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2282,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2283,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2284,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2285,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2286,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2287,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2288,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2289,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2290,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2291,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2292,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2293,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2294,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2295,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2296,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2297,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2298,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2299,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2300,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2301,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2302,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2303,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2304,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2305,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2306,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2307,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2308,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2309,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2310,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2311,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2312,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2313,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2314,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2315,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2316,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2317,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2318,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2319,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2320,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2321,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2322,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2323,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2324,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2325,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2326,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2327,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2328,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2329,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2330,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2331,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2332,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2333,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2334,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2335,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2336,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2337,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2338,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2339,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2340,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2341,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2342,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2343,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2344,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2345,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2346,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2347,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2348,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2349,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2350,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2351,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2352,0.515126707191818,scr1995,stInflow,pumpedStorageOpen
at,h2353,0.48119594502715884,scr1995,stInflow,pumpedStorageOpen
at,h2354,0.44747703669129774,scr1995,stInflow,pumpedStorageOpen
at,h2355,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2356,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2357,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2358,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2359,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2360,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2361,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2362,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2363,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2364,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2365,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2366,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2367,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2368,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2369,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2370,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2371,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2372,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2373,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2374,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2375,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2376,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2377,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2378,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2379,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2380,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2381,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2382,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2383,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2384,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2385,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2386,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2387,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2388,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
at,h2389,0.4139843488876107,scr1995,stInflow,pumpedStorageOpen
