region_2,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0721,0.0046371473947723245,scr2002,mustOut,frtRail
AT,h0722,0.001018008715320099,scr2002,mustOut,frtRail
AT,h0723,0.0,scr2002,mustOut,frtRail
AT,h0724,0.0,scr2002,mustOut,frtRail
AT,h0725,0.0,scr2002,mustOut,frtRail
AT,h0726,0.0033621772199214518,scr2002,mustOut,frtRail
AT,h0727,0.05965103550827079,scr2002,mustOut,frtRail
AT,h0728,0.28419430616810837,scr2002,mustOut,frtRail
AT,h0729,0.39091792028519123,scr2002,mustOut,frtRail
AT,h0730,0.2847425564935397,scr2002,mustOut,frtRail
AT,h0731,0.0902615330917751,scr2002,mustOut,frtRail
AT,h0732,0.04869746766927062,scr2002,mustOut,frtRail
AT,h0733,0.05346182531658241,scr2002,mustOut,frtRail
AT,h0734,0.06841137363992088,scr2002,mustOut,frtRail
AT,h0735,0.0772474123626458,scr2002,mustOut,frtRail
AT,h0736,0.0924341248847165,scr2002,mustOut,frtRail
AT,h0737,0.16267132170749732,scr2002,mustOut,frtRail
AT,h0738,0.32801149372142496,scr2002,mustOut,frtRail
AT,h0739,0.42823428569439737,scr2002,mustOut,frtRail
AT,h0740,0.33803186820551734,scr2002,mustOut,frtRail
AT,h0741,0.14983788028755296,scr2002,mustOut,frtRail
AT,h0742,0.0528619770091159,scr2002,mustOut,frtRail
AT,h0743,0.02099406344158106,scr2002,mustOut,frtRail
AT,h0744,0.01223957243329402,scr2002,mustOut,frtRail
AT,h0745,0.0046371473947723245,scr2002,mustOut,frtRail
AT,h0746,0.001018008715320099,scr2002,mustOut,frtRail
AT,h0747,0.0,scr2002,mustOut,frtRail
AT,h0748,0.0,scr2002,mustOut,frtRail
AT,h0749,0.000745357644546173,scr2002,mustOut,frtRail
AT,h0750,0.002671492552478136,scr2002,mustOut,frtRail
AT,h0751,0.010669015341993085,scr2002,mustOut,frtRail
AT,h0752,0.022008541544238175,scr2002,mustOut,frtRail
AT,h0753,0.03935512460702206,scr2002,mustOut,frtRail
AT,h0754,0.06133593571866255,scr2002,mustOut,frtRail
AT,h0755,0.11099134864002494,scr2002,mustOut,frtRail
