region_2,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0721,6.444178434100948,scr2007,dem,electricity
AT,h0722,6.010396910460533,scr2007,dem,electricity
AT,h0723,5.747789357401157,scr2007,dem,electricity
AT,h0724,5.580540502228684,scr2007,dem,electricity
AT,h0725,5.60454040213119,scr2007,dem,electricity
AT,h0726,6.003209034036714,scr2007,dem,electricity
AT,h0727,6.847664452664652,scr2007,dem,electricity
AT,h0728,7.831038036000676,scr2007,dem,electricity
AT,h0729,8.570329590978709,scr2007,dem,electricity
AT,h0730,8.906361981870857,scr2007,dem,electricity
AT,h0731,9.05345155372493,scr2007,dem,electricity
AT,h0732,9.119886699486372,scr2007,dem,electricity
AT,h0733,9.067200954810122,scr2007,dem,electricity
AT,h0734,8.950156668854978,scr2007,dem,electricity
AT,h0735,8.783286768626143,scr2007,dem,electricity
AT,h0736,8.673840362737916,scr2007,dem,electricity
AT,h0737,8.534833280422315,scr2007,dem,electricity
AT,h0738,8.464361306504712,scr2007,dem,electricity
AT,h0739,8.405762671135932,scr2007,dem,electricity
AT,h0740,8.47884807723956,scr2007,dem,electricity
AT,h0741,8.365668031149145,scr2007,dem,electricity
AT,h0742,8.062090123202836,scr2007,dem,electricity
AT,h0743,7.532521334240785,scr2007,dem,electricity
AT,h0744,6.9586271477390085,scr2007,dem,electricity
AT,h0745,6.473895438163983,scr2007,dem,electricity
AT,h0746,6.026817761867533,scr2007,dem,electricity
AT,h0747,5.745390479481868,scr2007,dem,electricity
AT,h0748,5.5688800778176075,scr2007,dem,electricity
AT,h0749,5.581223875751736,scr2007,dem,electricity
AT,h0750,5.978226848953211,scr2007,dem,electricity
AT,h0751,6.83067807429212,scr2007,dem,electricity
AT,h0752,7.844977799621066,scr2007,dem,electricity
AT,h0753,8.611151840082332,scr2007,dem,electricity
AT,h0754,8.96521938252363,scr2007,dem,electricity
AT,h0755,9.116361284192099,scr2007,dem,electricity
AT,h0756,9.186507518828583,scr2007,dem,electricity
AT,h0757,9.125296695019905,scr2007,dem,electricity
AT,h0758,9.002351767507767,scr2007,dem,electricity
AT,h0759,8.823126237121928,scr2007,dem,electricity
AT,h0760,8.712583981410576,scr2007,dem,electricity
AT,h0761,8.57030737993048,scr2007,dem,electricity
AT,h0762,8.49342301248793,scr2007,dem,electricity
AT,h0763,8.444274188670885,scr2007,dem,electricity
AT,h0764,8.520504731883157,scr2007,dem,electricity
