region_2,timestep_5,value,scenario_1,parameter,technology_3
AT,hh0181,4.416185504620286,scr2009,effConv,heatpumpGroundSpace
AT,hh0182,4.2210563828102305,scr2009,effConv,heatpumpGroundSpace
AT,hh0183,4.691544699149493,scr2009,effConv,heatpumpGroundSpace
AT,hh0184,5.2887588450552965,scr2009,effConv,heatpumpGroundSpace
AT,hh0185,5.279803179518311,scr2009,effConv,heatpumpGroundSpace
AT,hh0186,5.0816207334271475,scr2009,effConv,heatpumpGroundSpace
AT,hh0187,4.859770386339868,scr2009,effConv,heatpumpGroundSpace
AT,hh0188,4.696595023637084,scr2009,effConv,heatpumpGroundSpace
AT,hh0189,4.6658470605943645,scr2009,effConv,heatpumpGroundSpace
AT,hh0190,4.6544445822842215,scr2009,effConv,heatpumpGroundSpace
AT,hh0191,4.463653304436294,scr2009,effConv,heatpumpGroundSpace
AT,hh0192,4.303265419177168,scr2009,effConv,heatpumpGroundSpace
AT,hh0193,4.245156558158922,scr2009,effConv,heatpumpGroundSpace
AT,hh0194,4.261271982733554,scr2009,effConv,heatpumpGroundSpace
AT,hh0195,4.426062600992655,scr2009,effConv,heatpumpGroundSpace
AT,hh0196,4.659478262074465,scr2009,effConv,heatpumpGroundSpace
AT,hh0197,4.600716005113073,scr2009,effConv,heatpumpGroundSpace
AT,hh0198,4.419800221496296,scr2009,effConv,heatpumpGroundSpace
AT,hh0199,4.256766844051189,scr2009,effConv,heatpumpGroundSpace
AT,hh0200,4.238378373679043,scr2009,effConv,heatpumpGroundSpace
AT,hh0201,4.615106807201402,scr2009,effConv,heatpumpGroundSpace
AT,hh0202,4.942850868743622,scr2009,effConv,heatpumpGroundSpace
AT,hh0203,4.805630191732153,scr2009,effConv,heatpumpGroundSpace
AT,hh0204,4.657781273853434,scr2009,effConv,heatpumpGroundSpace
AT,hh0205,4.602632458608897,scr2009,effConv,heatpumpGroundSpace
AT,hh0206,4.638927401629585,scr2009,effConv,heatpumpGroundSpace
AT,hh0207,4.96961207530728,scr2009,effConv,heatpumpGroundSpace
AT,hh0208,5.396599273191791,scr2009,effConv,heatpumpGroundSpace
AT,hh0209,5.263666172795948,scr2009,effConv,heatpumpGroundSpace
AT,hh0210,5.01904692337731,scr2009,effConv,heatpumpGroundSpace
AT,hh0211,4.956590208078293,scr2009,effConv,heatpumpGroundSpace
AT,hh0212,5.086748380774942,scr2009,effConv,heatpumpGroundSpace
AT,hh0213,5.717952628807053,scr2009,effConv,heatpumpGroundSpace
AT,hh0214,5.817433982888398,scr2009,effConv,heatpumpGroundSpace
AT,hh0215,5.757356320411104,scr2009,effConv,heatpumpGroundSpace
AT,hh0216,5.6058394732780545,scr2009,effConv,heatpumpGroundSpace
AT,hh0217,5.390503805502152,scr2009,effConv,heatpumpGroundSpace
AT,hh0218,5.3070485968917325,scr2009,effConv,heatpumpGroundSpace
AT,hh0219,5.491489900956697,scr2009,effConv,heatpumpGroundSpace
AT,hh0220,5.648375586512135,scr2009,effConv,heatpumpGroundSpace
AT,hh0221,5.460939094157731,scr2009,effConv,heatpumpGroundSpace
AT,hh0222,5.025149294088114,scr2009,effConv,heatpumpGroundSpace
AT,hh0223,4.734103247606662,scr2009,effConv,heatpumpGroundSpace
AT,hh0224,4.817495062039939,scr2009,effConv,heatpumpGroundSpace
AT,hh0225,5.588342660374481,scr2009,effConv,heatpumpGroundSpace
AT,hh0226,5.78752863104328,scr2009,effConv,heatpumpGroundSpace
AT,hh0227,5.596872458463402,scr2009,effConv,heatpumpGroundSpace
AT,hh0228,5.0370626204889986,scr2009,effConv,heatpumpGroundSpace
AT,hh0229,4.663414649777689,scr2009,effConv,heatpumpGroundSpace
AT,hh0230,4.770172440849533,scr2009,effConv,heatpumpGroundSpace
AT,hh0231,5.619450085283701,scr2009,effConv,heatpumpGroundSpace
AT,hh0232,5.811255874988353,scr2009,effConv,heatpumpGroundSpace
AT,hh0233,5.7356843766178205,scr2009,effConv,heatpumpGroundSpace
AT,hh0234,5.535535740855883,scr2009,effConv,heatpumpGroundSpace
AT,hh0235,5.340486330755839,scr2009,effConv,heatpumpGroundSpace
AT,hh0236,5.341455822350173,scr2009,effConv,heatpumpGroundSpace
AT,hh0237,5.752008567954714,scr2009,effConv,heatpumpGroundSpace
AT,hh0238,5.889785480883068,scr2009,effConv,heatpumpGroundSpace
AT,hh0239,5.850795010710611,scr2009,effConv,heatpumpGroundSpace
AT,hh0240,5.6095600927685805,scr2009,effConv,heatpumpGroundSpace
AT,hh0241,5.288544241593825,scr2009,effConv,heatpumpGroundSpace
AT,hh0242,5.297151797991559,scr2009,effConv,heatpumpGroundSpace
AT,hh0243,5.797506382071565,scr2009,effConv,heatpumpGroundSpace
AT,hh0244,5.890466851575912,scr2009,effConv,heatpumpGroundSpace
AT,hh0245,5.822591575408474,scr2009,effConv,heatpumpGroundSpace
AT,hh0246,5.369206845143716,scr2009,effConv,heatpumpGroundSpace
AT,hh0247,4.855746395522433,scr2009,effConv,heatpumpGroundSpace
AT,hh0248,4.920957400789483,scr2009,effConv,heatpumpGroundSpace
AT,hh0249,5.752608091434485,scr2009,effConv,heatpumpGroundSpace
AT,hh0250,5.929070949661009,scr2009,effConv,heatpumpGroundSpace
AT,hh0251,5.859281643695207,scr2009,effConv,heatpumpGroundSpace
AT,hh0252,5.566390615904198,scr2009,effConv,heatpumpGroundSpace
AT,hh0253,5.380487811401324,scr2009,effConv,heatpumpGroundSpace
AT,hh0254,5.466497603925832,scr2009,effConv,heatpumpGroundSpace
AT,hh0255,5.912754378848916,scr2009,effConv,heatpumpGroundSpace
AT,hh0256,6.079957924780661,scr2009,effConv,heatpumpGroundSpace
AT,hh0257,6.0476177325079075,scr2009,effConv,heatpumpGroundSpace
AT,hh0258,5.557966575883,scr2009,effConv,heatpumpGroundSpace
AT,hh0259,5.0941576017719505,scr2009,effConv,heatpumpGroundSpace
AT,hh0260,5.338333783605697,scr2009,effConv,heatpumpGroundSpace
AT,hh0261,5.996633576036222,scr2009,effConv,heatpumpGroundSpace
AT,hh0262,6.076590436551113,scr2009,effConv,heatpumpGroundSpace
AT,hh0263,6.084914531178482,scr2009,effConv,heatpumpGroundSpace
AT,hh0264,5.924828680578527,scr2009,effConv,heatpumpGroundSpace
AT,hh0265,5.799897106702801,scr2009,effConv,heatpumpGroundSpace
AT,hh0266,5.850669241360555,scr2009,effConv,heatpumpGroundSpace
AT,hh0267,6.066175489545217,scr2009,effConv,heatpumpGroundSpace
