region_3,timestep_6,value,scenario_1,parameter,technology_1
al,h0001,0.0,scr2015,avaConv,solar
al,h0002,0.0,scr2015,avaConv,solar
al,h0003,0.0,scr2015,avaConv,solar
al,h0004,0.0,scr2015,avaConv,solar
al,h0005,0.0,scr2015,avaConv,solar
al,h0006,0.0,scr2015,avaConv,solar
al,h0007,0.0,scr2015,avaConv,solar
al,h0008,0.03522859596157346,scr2015,avaConv,solar
al,h0009,0.13853593079704016,scr2015,avaConv,solar
al,h0010,0.30939292854753353,scr2015,avaConv,solar
al,h0011,0.4605196348906771,scr2015,avaConv,solar
al,h0012,0.5492321831199481,scr2015,avaConv,solar
al,h0013,0.5632497866216785,scr2015,avaConv,solar
al,h0014,0.5051277371364451,scr2015,avaConv,solar
al,h0015,0.3779986052568315,scr2015,avaConv,solar
al,h0016,0.19891683207466418,scr2015,avaConv,solar
al,h0017,0.06670767179495356,scr2015,avaConv,solar
al,h0018,0.005107651357883097,scr2015,avaConv,solar
al,h0019,0.0,scr2015,avaConv,solar
al,h0020,0.0,scr2015,avaConv,solar
al,h0021,0.0,scr2015,avaConv,solar
al,h0022,0.0,scr2015,avaConv,solar
al,h0023,0.0,scr2015,avaConv,solar
al,h0024,0.0,scr2015,avaConv,solar
al,h0025,0.0,scr2015,avaConv,solar
al,h0026,0.0,scr2015,avaConv,solar
al,h0027,0.0,scr2015,avaConv,solar
al,h0028,0.0,scr2015,avaConv,solar
al,h0029,0.0,scr2015,avaConv,solar
al,h0030,0.0,scr2015,avaConv,solar
al,h0031,0.0,scr2015,avaConv,solar
al,h0032,0.03613628654224357,scr2015,avaConv,solar
al,h0033,0.13938249864273758,scr2015,avaConv,solar
al,h0034,0.3081008556318384,scr2015,avaConv,solar
al,h0035,0.4542484052330745,scr2015,avaConv,solar
al,h0036,0.5388211735738545,scr2015,avaConv,solar
al,h0037,0.5498976128365518,scr2015,avaConv,solar
al,h0038,0.49010609677113554,scr2015,avaConv,solar
