region_2,timestep_6,value,scenario_1,parameter,technology_3
AT,h0337,1.2383260686297344,scr2017,stInflow,pumpedStorageOpen
AT,h0338,1.2215319349086502,scr2017,stInflow,pumpedStorageOpen
AT,h0339,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0340,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0341,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0342,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0343,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0344,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0345,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0346,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0347,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0348,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0349,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0350,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0351,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0352,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0353,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0354,1.2047378242757623,scr2017,stInflow,pumpedStorageOpen
AT,h0355,1.1894830188176615,scr2017,stInflow,pumpedStorageOpen
AT,h0356,1.1742282329224611,scr2017,stInflow,pumpedStorageOpen
AT,h0357,1.1589734668442782,scr2017,stInflow,pumpedStorageOpen
AT,h0358,1.1589734668442782,scr2017,stInflow,pumpedStorageOpen
AT,h0359,1.1589734668442782,scr2017,stInflow,pumpedStorageOpen
AT,h0360,1.1589734668442782,scr2017,stInflow,pumpedStorageOpen
AT,h0361,1.1589734668442782,scr2017,stInflow,pumpedStorageOpen
AT,h0362,1.1589734668442782,scr2017,stInflow,pumpedStorageOpen
AT,h0363,1.1589734668442782,scr2017,stInflow,pumpedStorageOpen
AT,h0364,1.1589734668442782,scr2017,stInflow,pumpedStorageOpen
AT,h0365,1.1589734668442782,scr2017,stInflow,pumpedStorageOpen
AT,h0366,1.1589734668442782,scr2017,stInflow,pumpedStorageOpen
AT,h0367,1.1493627335950114,scr2017,stInflow,pumpedStorageOpen
AT,h0368,1.13975200838152,scr2017,stInflow,pumpedStorageOpen
AT,h0369,1.1301412912715536,scr2017,stInflow,pumpedStorageOpen
AT,h0370,1.1301412912715536,scr2017,stInflow,pumpedStorageOpen
AT,h0371,1.1301412912715536,scr2017,stInflow,pumpedStorageOpen
AT,h0372,1.1301412912715536,scr2017,stInflow,pumpedStorageOpen
AT,h0373,1.1301412912715536,scr2017,stInflow,pumpedStorageOpen
AT,h0374,1.1301412912715536,scr2017,stInflow,pumpedStorageOpen
AT,h0375,1.1301412912715536,scr2017,stInflow,pumpedStorageOpen
AT,h0376,1.1301412912715536,scr2017,stInflow,pumpedStorageOpen
AT,h0377,1.1301412912715536,scr2017,stInflow,pumpedStorageOpen
AT,h0378,1.1301412912715536,scr2017,stInflow,pumpedStorageOpen
AT,h0379,1.1261745835542545,scr2017,stInflow,pumpedStorageOpen
AT,h0380,1.1222078772340405,scr2017,stInflow,pumpedStorageOpen
AT,h0381,1.1182411723158485,scr2017,stInflow,pumpedStorageOpen
AT,h0382,1.1182411723158485,scr2017,stInflow,pumpedStorageOpen
AT,h0383,1.1182411723158485,scr2017,stInflow,pumpedStorageOpen
AT,h0384,1.1182411723158485,scr2017,stInflow,pumpedStorageOpen
AT,h0385,1.1182411723158485,scr2017,stInflow,pumpedStorageOpen
AT,h0386,1.1182411723158485,scr2017,stInflow,pumpedStorageOpen
AT,h0387,1.1182411723158485,scr2017,stInflow,pumpedStorageOpen
AT,h0388,1.1182411723158485,scr2017,stInflow,pumpedStorageOpen
AT,h0389,1.1182411723158485,scr2017,stInflow,pumpedStorageOpen
AT,h0390,1.1182411723158485,scr2017,stInflow,pumpedStorageOpen
AT,h0391,1.1158137407222533,scr2017,stInflow,pumpedStorageOpen
AT,h0392,1.1133863096567018,scr2017,stInflow,pumpedStorageOpen
AT,h0393,1.1109588791203453,scr2017,stInflow,pumpedStorageOpen
AT,h0394,1.1109588791203453,scr2017,stInflow,pumpedStorageOpen
AT,h0395,1.1109588791203453,scr2017,stInflow,pumpedStorageOpen
AT,h0396,1.1109588791203453,scr2017,stInflow,pumpedStorageOpen
AT,h0397,1.1109588791203453,scr2017,stInflow,pumpedStorageOpen
AT,h0398,1.1109588791203453,scr2017,stInflow,pumpedStorageOpen
AT,h0399,1.1109588791203453,scr2017,stInflow,pumpedStorageOpen
AT,h0400,1.1109588791203453,scr2017,stInflow,pumpedStorageOpen
AT,h0401,1.1109588791203453,scr2017,stInflow,pumpedStorageOpen
AT,h0402,1.1109588791203453,scr2017,stInflow,pumpedStorageOpen
AT,h0403,1.1081887064168054,scr2017,stInflow,pumpedStorageOpen
AT,h0404,1.105418534405683,scr2017,stInflow,pumpedStorageOpen
AT,h0405,1.1026483630887127,scr2017,stInflow,pumpedStorageOpen
AT,h0406,1.1026483630887127,scr2017,stInflow,pumpedStorageOpen
AT,h0407,1.1026483630887127,scr2017,stInflow,pumpedStorageOpen
AT,h0408,1.1026483630887127,scr2017,stInflow,pumpedStorageOpen
AT,h0409,1.1026483630887127,scr2017,stInflow,pumpedStorageOpen
AT,h0410,1.1026483630887127,scr2017,stInflow,pumpedStorageOpen
AT,h0411,1.1026483630887127,scr2017,stInflow,pumpedStorageOpen
AT,h0412,1.1026483630887127,scr2017,stInflow,pumpedStorageOpen
AT,h0413,1.1026483630887127,scr2017,stInflow,pumpedStorageOpen
AT,h0414,1.1026483630887127,scr2017,stInflow,pumpedStorageOpen
AT,h0415,1.0960052036431869,scr2017,stInflow,pumpedStorageOpen
AT,h0416,1.0893620482239672,scr2017,stInflow,pumpedStorageOpen
AT,h0417,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0418,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0419,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0420,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0421,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0422,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0423,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0424,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0425,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0426,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0427,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0428,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0429,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0430,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0431,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0432,1.0827188968556032,scr2017,stInflow,pumpedStorageOpen
AT,h0433,1.0702834166575368,scr2017,stInflow,pumpedStorageOpen
AT,h0434,1.0578479509073304,scr2017,stInflow,pumpedStorageOpen
AT,h0435,1.0454124997748035,scr2017,stInflow,pumpedStorageOpen
AT,h0436,1.0454124997748035,scr2017,stInflow,pumpedStorageOpen
AT,h0437,1.0454124997748035,scr2017,stInflow,pumpedStorageOpen
AT,h0438,1.0454124997748035,scr2017,stInflow,pumpedStorageOpen
AT,h0439,1.0454124997748035,scr2017,stInflow,pumpedStorageOpen
AT,h0440,1.0454124997748035,scr2017,stInflow,pumpedStorageOpen
AT,h0441,1.0454124997748035,scr2017,stInflow,pumpedStorageOpen
AT,h0442,1.0454124997748035,scr2017,stInflow,pumpedStorageOpen
AT,h0443,1.0454124997748035,scr2017,stInflow,pumpedStorageOpen
AT,h0444,1.0454124997748035,scr2017,stInflow,pumpedStorageOpen
AT,h0445,1.0297210312536589,scr2017,stInflow,pumpedStorageOpen
AT,h0446,1.014029586643205,scr2017,stInflow,pumpedStorageOpen
AT,h0447,0.9983381663134094,scr2017,stInflow,pumpedStorageOpen
AT,h0448,0.9983381663134094,scr2017,stInflow,pumpedStorageOpen
AT,h0449,0.9983381663134094,scr2017,stInflow,pumpedStorageOpen
AT,h0450,0.9983381663134094,scr2017,stInflow,pumpedStorageOpen
AT,h0451,0.9983381663134094,scr2017,stInflow,pumpedStorageOpen
AT,h0452,0.9983381663134094,scr2017,stInflow,pumpedStorageOpen
AT,h0453,0.9983381663134094,scr2017,stInflow,pumpedStorageOpen
AT,h0454,0.9983381663134094,scr2017,stInflow,pumpedStorageOpen
AT,h0455,0.9983381663134094,scr2017,stInflow,pumpedStorageOpen
AT,h0456,0.9983381663134094,scr2017,stInflow,pumpedStorageOpen
AT,h0457,0.9824549059961644,scr2017,stInflow,pumpedStorageOpen
AT,h0458,0.966571671356485,scr2017,stInflow,pumpedStorageOpen
AT,h0459,0.950688462816284,scr2017,stInflow,pumpedStorageOpen
AT,h0460,0.950688462816284,scr2017,stInflow,pumpedStorageOpen
AT,h0461,0.950688462816284,scr2017,stInflow,pumpedStorageOpen
