region_4,timestep_6,value,scenario_1,parameter,technology_3
AT,h0505,0.36975350603461266,scr1991,avaStIn,bevFrtRoadLight
AT,h0506,0.38506190851330757,scr1991,avaStIn,bevFrtRoadLight
AT,h0507,0.4189608385786414,scr1991,avaStIn,bevFrtRoadLight
AT,h0508,0.43969356268644333,scr1991,avaStIn,bevFrtRoadLight
AT,h0509,0.4502532323822379,scr1991,avaStIn,bevFrtRoadLight
AT,h0510,0.4377087540924549,scr1991,avaStIn,bevFrtRoadLight
AT,h0511,0.4095791960135102,scr1991,avaStIn,bevFrtRoadLight
AT,h0512,0.3867439664900303,scr1991,avaStIn,bevFrtRoadLight
AT,h0513,0.39604243356734514,scr1991,avaStIn,bevFrtRoadLight
AT,h0514,0.43659839779138565,scr1991,avaStIn,bevFrtRoadLight
AT,h0515,0.48514845222234726,scr1991,avaStIn,bevFrtRoadLight
AT,h0516,0.5205547660589218,scr1991,avaStIn,bevFrtRoadLight
AT,h0517,0.5288790939375758,scr1991,avaStIn,bevFrtRoadLight
AT,h0518,0.5113108027726412,scr1991,avaStIn,bevFrtRoadLight
AT,h0519,0.46911976113915443,scr1991,avaStIn,bevFrtRoadLight
AT,h0520,0.4189608385786414,scr1991,avaStIn,bevFrtRoadLight
AT,h0521,0.38635138887912035,scr1991,avaStIn,bevFrtRoadLight
AT,h0522,0.38801413774490356,scr1991,avaStIn,bevFrtRoadLight
AT,h0523,0.42371466755867004,scr1991,avaStIn,bevFrtRoadLight
AT,h0524,0.4600320551544428,scr1991,avaStIn,bevFrtRoadLight
AT,h0525,0.4786624200642109,scr1991,avaStIn,bevFrtRoadLight
AT,h0526,0.47577785793691874,scr1991,avaStIn,bevFrtRoadLight
AT,h0527,0.45578497741371393,scr1991,avaStIn,bevFrtRoadLight
AT,h0528,0.42785975337028503,scr1991,avaStIn,bevFrtRoadLight
AT,h0529,0.4052888285368681,scr1991,avaStIn,bevFrtRoadLight
AT,h0530,0.40050726570189,scr1991,avaStIn,bevFrtRoadLight
AT,h0531,0.4189608385786414,scr1991,avaStIn,bevFrtRoadLight
AT,h0532,0.43969356268644333,scr1991,avaStIn,bevFrtRoadLight
AT,h0533,0.4502532323822379,scr1991,avaStIn,bevFrtRoadLight
AT,h0534,0.4377087540924549,scr1991,avaStIn,bevFrtRoadLight
AT,h0535,0.4095791960135102,scr1991,avaStIn,bevFrtRoadLight
AT,h0536,0.3867439664900303,scr1991,avaStIn,bevFrtRoadLight
AT,h0537,0.39604243356734514,scr1991,avaStIn,bevFrtRoadLight
