region_4,timestep_5,value,scenario_1,parameter,technology_2
AT,hh0085,3.983823184025832,scr1985,effConv,heatpumpAir
AT,hh0086,4.0337980743618385,scr1985,effConv,heatpumpAir
AT,hh0087,4.059831426343049,scr1985,effConv,heatpumpAir
AT,hh0088,4.059999999999995,scr1985,effConv,heatpumpAir
AT,hh0089,4.059831426343049,scr1985,effConv,heatpumpAir
AT,hh0090,4.037227377958281,scr1985,effConv,heatpumpAir
AT,hh0091,4.031536933347255,scr1985,effConv,heatpumpAir
AT,hh0092,4.053913350871994,scr1985,effConv,heatpumpAir
AT,hh0093,4.059831426343049,scr1985,effConv,heatpumpAir
AT,hh0094,4.05932570537221,scr1985,effConv,heatpumpAir
AT,hh0095,4.05373434590793,scr1985,effConv,heatpumpAir
AT,hh0096,4.0571328006320275,scr1985,effConv,heatpumpAir
AT,hh0097,4.045619554105583,scr1985,effConv,heatpumpAir
AT,hh0098,4.040528653108513,scr1985,effConv,heatpumpAir
AT,hh0099,4.046975626394129,scr1985,effConv,heatpumpAir
AT,hh0100,4.0589883426346045,scr1985,effConv,heatpumpAir
AT,hh0101,4.006545141914334,scr1985,effConv,heatpumpAir
AT,hh0102,3.809126739688635,scr1985,effConv,heatpumpAir
AT,hh0103,3.8679670325331124,scr1985,effConv,heatpumpAir
AT,hh0104,3.966162020253254,scr1985,effConv,heatpumpAir
AT,hh0105,4.0596628219179465,scr1985,effConv,heatpumpAir
AT,hh0106,4.059999999999995,scr1985,effConv,heatpumpAir
AT,hh0107,4.059999999999995,scr1985,effConv,heatpumpAir
AT,hh0108,4.054130450817123,scr1985,effConv,heatpumpAir
AT,hh0109,4.045076249092553,scr1985,effConv,heatpumpAir
AT,hh0110,4.01712239387337,scr1985,effConv,heatpumpAir
AT,hh0111,3.9430060694216493,scr1985,effConv,heatpumpAir
AT,hh0112,4.02646496384277,scr1985,effConv,heatpumpAir
AT,hh0113,4.050885464085162,scr1985,effConv,heatpumpAir
AT,hh0114,4.02556125012539,scr1985,effConv,heatpumpAir
AT,hh0115,3.9397103207217476,scr1985,effConv,heatpumpAir
AT,hh0116,3.91021016344812,scr1985,effConv,heatpumpAir
AT,hh0117,3.9501553306556545,scr1985,effConv,heatpumpAir
AT,hh0118,4.042348897607171,scr1985,effConv,heatpumpAir
AT,hh0119,4.054864675352311,scr1985,effConv,heatpumpAir
AT,hh0120,3.973192011374456,scr1985,effConv,heatpumpAir
AT,hh0121,3.9615681866315064,scr1985,effConv,heatpumpAir
AT,hh0122,3.986434813415684,scr1985,effConv,heatpumpAir
AT,hh0123,4.053350484484254,scr1985,effConv,heatpumpAir
AT,hh0124,4.059999999999995,scr1985,effConv,heatpumpAir
AT,hh0125,4.056640946981966,scr1985,effConv,heatpumpAir
AT,hh0126,3.9226759469001387,scr1985,effConv,heatpumpAir
