region_4,timestep_5,value,scenario_1,parameter,technology_3
AT,hh0085,5.878834683019274,scr1996,effConv,heatpumpGroundSpace
AT,hh0086,5.984199972334838,scr1996,effConv,heatpumpGroundSpace
AT,hh0087,6.302793233231765,scr1996,effConv,heatpumpGroundSpace
AT,hh0088,6.087052344103231,scr1996,effConv,heatpumpGroundSpace
AT,hh0089,5.905007876543188,scr1996,effConv,heatpumpGroundSpace
AT,hh0090,5.937672287309417,scr1996,effConv,heatpumpGroundSpace
AT,hh0091,6.061045041885175,scr1996,effConv,heatpumpGroundSpace
AT,hh0092,6.140948147363053,scr1996,effConv,heatpumpGroundSpace
AT,hh0093,6.269270543303337,scr1996,effConv,heatpumpGroundSpace
AT,hh0094,6.31396308122215,scr1996,effConv,heatpumpGroundSpace
AT,hh0095,6.28050085494033,scr1996,effConv,heatpumpGroundSpace
AT,hh0096,6.2455106796914865,scr1996,effConv,heatpumpGroundSpace
AT,hh0097,6.196951314331306,scr1996,effConv,heatpumpGroundSpace
AT,hh0098,6.199615980159931,scr1996,effConv,heatpumpGroundSpace
AT,hh0099,6.270823527918795,scr1996,effConv,heatpumpGroundSpace
AT,hh0100,6.235774378115174,scr1996,effConv,heatpumpGroundSpace
AT,hh0101,6.1934332354929875,scr1996,effConv,heatpumpGroundSpace
AT,hh0102,6.106718101518054,scr1996,effConv,heatpumpGroundSpace
AT,hh0103,6.057620842148826,scr1996,effConv,heatpumpGroundSpace
AT,hh0104,6.08894169082023,scr1996,effConv,heatpumpGroundSpace
AT,hh0105,6.179620282509475,scr1996,effConv,heatpumpGroundSpace
AT,hh0106,6.2583303163902695,scr1996,effConv,heatpumpGroundSpace
AT,hh0107,6.225248732154495,scr1996,effConv,heatpumpGroundSpace
AT,hh0108,6.1121748775405855,scr1996,effConv,heatpumpGroundSpace
AT,hh0109,6.109555580577026,scr1996,effConv,heatpumpGroundSpace
AT,hh0110,6.1353516614095,scr1996,effConv,heatpumpGroundSpace
AT,hh0111,6.231548438184508,scr1996,effConv,heatpumpGroundSpace
AT,hh0112,6.262239799065438,scr1996,effConv,heatpumpGroundSpace
AT,hh0113,6.145953717475085,scr1996,effConv,heatpumpGroundSpace
AT,hh0114,5.913949194095643,scr1996,effConv,heatpumpGroundSpace
AT,hh0115,5.928341377756619,scr1996,effConv,heatpumpGroundSpace
AT,hh0116,5.76996604697111,scr1996,effConv,heatpumpGroundSpace
AT,hh0117,5.450669384450227,scr1996,effConv,heatpumpGroundSpace
AT,hh0118,5.924785176957202,scr1996,effConv,heatpumpGroundSpace
AT,hh0119,5.733762444409816,scr1996,effConv,heatpumpGroundSpace
AT,hh0120,5.122748467098079,scr1996,effConv,heatpumpGroundSpace
AT,hh0121,4.829384945636204,scr1996,effConv,heatpumpGroundSpace
AT,hh0122,4.968875358765775,scr1996,effConv,heatpumpGroundSpace
AT,hh0123,5.619358811366894,scr1996,effConv,heatpumpGroundSpace
AT,hh0124,5.537510696601835,scr1996,effConv,heatpumpGroundSpace
AT,hh0125,5.407032720996966,scr1996,effConv,heatpumpGroundSpace
AT,hh0126,5.430208334076573,scr1996,effConv,heatpumpGroundSpace
BE,hh0085,6.162960442332757,scr1996,effConv,heatpumpGroundSpace
BE,hh0086,6.180205465351754,scr1996,effConv,heatpumpGroundSpace
BE,hh0087,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0088,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0089,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0090,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0091,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0092,6.338602494499625,scr1996,effConv,heatpumpGroundSpace
BE,hh0093,6.339301247249814,scr1996,effConv,heatpumpGroundSpace
BE,hh0094,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0095,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0096,6.337903399861393,scr1996,effConv,heatpumpGroundSpace
BE,hh0097,6.317593619789605,scr1996,effConv,heatpumpGroundSpace
BE,hh0098,6.320386204731612,scr1996,effConv,heatpumpGroundSpace
BE,hh0099,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0100,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0101,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0102,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0103,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0104,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0105,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0106,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0107,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0108,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0109,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
BE,hh0110,6.340000000000003,scr1996,effConv,heatpumpGroundSpace
