region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0505,0.9560472259288694,scr2004,stInflow,reservoir
al,h0506,1.0532030631429374,scr2004,stInflow,reservoir
al,h0507,1.150631714517993,scr2004,stInflow,reservoir
al,h0508,1.150631714517993,scr2004,stInflow,reservoir
al,h0509,1.150631714517993,scr2004,stInflow,reservoir
al,h0510,1.150631714517993,scr2004,stInflow,reservoir
al,h0511,1.150631714517993,scr2004,stInflow,reservoir
al,h0512,1.150631714517993,scr2004,stInflow,reservoir
al,h0513,1.150631714517993,scr2004,stInflow,reservoir
al,h0514,1.150631714517993,scr2004,stInflow,reservoir
al,h0515,1.150631714517993,scr2004,stInflow,reservoir
al,h0516,1.150631714517993,scr2004,stInflow,reservoir
al,h0517,1.150631714517993,scr2004,stInflow,reservoir
al,h0518,1.150631714517993,scr2004,stInflow,reservoir
al,h0519,1.150631714517993,scr2004,stInflow,reservoir
al,h0520,1.150631714517993,scr2004,stInflow,reservoir
al,h0521,1.150631714517993,scr2004,stInflow,reservoir
al,h0522,1.150631714517993,scr2004,stInflow,reservoir
al,h0523,0.9958243666583488,scr2004,stInflow,reservoir
al,h0524,0.8417476192262542,scr2004,stInflow,reservoir
al,h0525,0.6885340161302089,scr2004,stInflow,reservoir
al,h0526,0.6885340161302089,scr2004,stInflow,reservoir
al,h0527,0.6885340161302089,scr2004,stInflow,reservoir
al,h0528,0.6885340161302089,scr2004,stInflow,reservoir
al,h0529,0.6885340161302089,scr2004,stInflow,reservoir
al,h0530,0.6885340161302089,scr2004,stInflow,reservoir
al,h0531,0.6885340161302089,scr2004,stInflow,reservoir
al,h0532,0.6885340161302089,scr2004,stInflow,reservoir
al,h0533,0.6885340161302089,scr2004,stInflow,reservoir
al,h0534,0.6885340161302089,scr2004,stInflow,reservoir
al,h0535,1.033623679859183,scr2004,stInflow,reservoir
al,h0536,1.3823161133523443,scr2004,stInflow,reservoir
al,h0537,1.7337010679247933,scr2004,stInflow,reservoir
al,h0538,1.7337010679247933,scr2004,stInflow,reservoir
al,h0539,1.7337010679247933,scr2004,stInflow,reservoir
al,h0540,1.7337010679247933,scr2004,stInflow,reservoir
al,h0541,1.7337010679247933,scr2004,stInflow,reservoir
al,h0542,1.7337010679247933,scr2004,stInflow,reservoir
al,h0543,1.7337010679247933,scr2004,stInflow,reservoir
al,h0544,1.7337010679247933,scr2004,stInflow,reservoir
al,h0545,1.7337010679247933,scr2004,stInflow,reservoir
al,h0546,1.7337010679247933,scr2004,stInflow,reservoir
al,h0547,1.4305503233935322,scr2004,stInflow,reservoir
al,h0548,1.1293301348612585,scr2004,stInflow,reservoir
al,h0549,0.8305492566612369,scr2004,stInflow,reservoir
al,h0550,0.8305492566612369,scr2004,stInflow,reservoir
al,h0551,0.8305492566612369,scr2004,stInflow,reservoir
