region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0001,0.6146309152894849,scr2000,avaConv,runOfRiver
al,h0002,0.6146309152894849,scr2000,avaConv,runOfRiver
al,h0003,0.6146309152894849,scr2000,avaConv,runOfRiver
al,h0004,0.6146309152894849,scr2000,avaConv,runOfRiver
al,h0005,0.6146309152894849,scr2000,avaConv,runOfRiver
al,h0006,0.6146309152894849,scr2000,avaConv,runOfRiver
al,h0007,0.556737553311891,scr2000,avaConv,runOfRiver
al,h0008,0.4998885663166557,scr2000,avaConv,runOfRiver
al,h0009,0.44416156585473476,scr2000,avaConv,runOfRiver
al,h0010,0.44416156585473476,scr2000,avaConv,runOfRiver
al,h0011,0.44416156585473476,scr2000,avaConv,runOfRiver
al,h0012,0.44416156585473476,scr2000,avaConv,runOfRiver
al,h0013,0.4217873427109979,scr2000,avaConv,runOfRiver
al,h0014,0.39962171075682845,scr2000,avaConv,runOfRiver
al,h0015,0.37767232374344994,scr2000,avaConv,runOfRiver
al,h0016,0.37767232374344994,scr2000,avaConv,runOfRiver
al,h0017,0.37767232374344994,scr2000,avaConv,runOfRiver
al,h0018,0.37767232374344994,scr2000,avaConv,runOfRiver
al,h0019,0.35425996836103396,scr2000,avaConv,runOfRiver
al,h0020,0.3311200779037655,scr2000,avaConv,runOfRiver
al,h0021,0.30826528068833176,scr2000,avaConv,runOfRiver
al,h0022,0.30826528068833176,scr2000,avaConv,runOfRiver
al,h0023,0.30826528068833176,scr2000,avaConv,runOfRiver
al,h0024,0.30826528068833176,scr2000,avaConv,runOfRiver
al,h0025,0.2818995252595956,scr2000,avaConv,runOfRiver
al,h0026,0.25596898041655197,scr2000,avaConv,runOfRiver
al,h0027,0.23050299719147688,scr2000,avaConv,runOfRiver
al,h0028,0.23050299719147688,scr2000,avaConv,runOfRiver
al,h0029,0.23050299719147688,scr2000,avaConv,runOfRiver
al,h0030,0.23050299719147688,scr2000,avaConv,runOfRiver
al,h0031,0.21398020332147744,scr2000,avaConv,runOfRiver
al,h0032,0.1976854607589562,scr2000,avaConv,runOfRiver
al,h0033,0.1816314470300775,scr2000,avaConv,runOfRiver
al,h0034,0.1816314470300775,scr2000,avaConv,runOfRiver
al,h0035,0.1816314470300775,scr2000,avaConv,runOfRiver
al,h0036,0.1816314470300775,scr2000,avaConv,runOfRiver
al,h0037,0.16996065286886147,scr2000,avaConv,runOfRiver
al,h0038,0.15843490393190277,scr2000,avaConv,runOfRiver
al,h0039,0.14706140880624122,scr2000,avaConv,runOfRiver
al,h0040,0.14706140880624122,scr2000,avaConv,runOfRiver
al,h0041,0.14706140880624122,scr2000,avaConv,runOfRiver
al,h0042,0.14706140880624122,scr2000,avaConv,runOfRiver
al,h0043,0.11620863583983146,scr2000,avaConv,runOfRiver
al,h0044,0.08683611388006257,scr2000,avaConv,runOfRiver
al,h0045,0.05929567241297269,scr2000,avaConv,runOfRiver
al,h0046,0.05929567241297269,scr2000,avaConv,runOfRiver
al,h0047,0.05929567241297269,scr2000,avaConv,runOfRiver
al,h0048,0.05929567241297269,scr2000,avaConv,runOfRiver
al,h0049,0.06220884023896746,scr2000,avaConv,runOfRiver
al,h0050,0.06514989110702632,scr2000,avaConv,runOfRiver
al,h0051,0.06811786503006706,scr2000,avaConv,runOfRiver
al,h0052,0.06811786503006706,scr2000,avaConv,runOfRiver
al,h0053,0.06811786503006706,scr2000,avaConv,runOfRiver
al,h0054,0.06811786503006706,scr2000,avaConv,runOfRiver
al,h0055,0.07242972663926267,scr2000,avaConv,runOfRiver
al,h0056,0.07679298553728628,scr2000,avaConv,runOfRiver
al,h0057,0.08120546087076097,scr2000,avaConv,runOfRiver
al,h0058,0.08120546087076097,scr2000,avaConv,runOfRiver
al,h0059,0.08120546087076097,scr2000,avaConv,runOfRiver
al,h0060,0.08120546087076097,scr2000,avaConv,runOfRiver
al,h0061,0.09352840484283734,scr2000,avaConv,runOfRiver
al,h0062,0.10617163654744799,scr2000,avaConv,runOfRiver
al,h0063,0.11910724133213249,scr2000,avaConv,runOfRiver
al,h0064,0.11910724133213249,scr2000,avaConv,runOfRiver
al,h0065,0.11910724133213249,scr2000,avaConv,runOfRiver
al,h0066,0.11910724133213249,scr2000,avaConv,runOfRiver
al,h0067,0.15348966097237662,scr2000,avaConv,runOfRiver
al,h0068,0.18936373260331954,scr2000,avaConv,runOfRiver
al,h0069,0.22652669320036412,scr2000,avaConv,runOfRiver
al,h0070,0.22652669320036412,scr2000,avaConv,runOfRiver
al,h0071,0.22652669320036412,scr2000,avaConv,runOfRiver
al,h0072,0.22652669320036412,scr2000,avaConv,runOfRiver
al,h0073,0.2522337690468747,scr2000,avaConv,runOfRiver
al,h0074,0.27842176243762334,scr2000,avaConv,runOfRiver
al,h0075,0.3050595758179154,scr2000,avaConv,runOfRiver
al,h0076,0.3050595758179154,scr2000,avaConv,runOfRiver
al,h0077,0.3050595758179154,scr2000,avaConv,runOfRiver
