region_4,timestep_5,value,scenario_1,parameter,carrier_1
AT,hh0001,0.2736065537436093,scr1995,mustOut,spaceHeat
AT,hh0002,0.47886374511928814,scr1995,mustOut,spaceHeat
AT,hh0003,0.7149317273624275,scr1995,mustOut,spaceHeat
AT,hh0004,0.5488632959816034,scr1995,mustOut,spaceHeat
AT,hh0005,0.5497597640612517,scr1995,mustOut,spaceHeat
AT,hh0006,0.44562859001134086,scr1995,mustOut,spaceHeat
AT,hh0007,0.35419463523653505,scr1995,mustOut,spaceHeat
AT,hh0008,0.5695159066023104,scr1995,mustOut,spaceHeat
AT,hh0009,0.7050322270334746,scr1995,mustOut,spaceHeat
AT,hh0010,0.5075233189995147,scr1995,mustOut,spaceHeat
AT,hh0011,0.4951011216571395,scr1995,mustOut,spaceHeat
AT,hh0012,0.36175516079255493,scr1995,mustOut,spaceHeat
AT,hh0013,0.21048644265437788,scr1995,mustOut,spaceHeat
AT,hh0014,0.3713029430910463,scr1995,mustOut,spaceHeat
AT,hh0015,0.44954171009318467,scr1995,mustOut,spaceHeat
AT,hh0016,0.31828856009720397,scr1995,mustOut,spaceHeat
AT,hh0017,0.356819624188887,scr1995,mustOut,spaceHeat
AT,hh0018,0.3348109998445172,scr1995,mustOut,spaceHeat
AT,hh0019,0.2068436585805864,scr1995,mustOut,spaceHeat
AT,hh0020,0.35201936107839277,scr1995,mustOut,spaceHeat
AT,hh0021,0.42562858828483774,scr1995,mustOut,spaceHeat
AT,hh0022,0.24638794096301345,scr1995,mustOut,spaceHeat
AT,hh0023,0.29949874023554385,scr1995,mustOut,spaceHeat
AT,hh0024,0.3714530329324216,scr1995,mustOut,spaceHeat
AT,hh0025,0.19911116779808252,scr1995,mustOut,spaceHeat
AT,hh0026,0.3375981055253254,scr1995,mustOut,spaceHeat
AT,hh0027,0.4236138115248368,scr1995,mustOut,spaceHeat
AT,hh0028,0.2882266721415469,scr1995,mustOut,spaceHeat
AT,hh0029,0.32231393096009897,scr1995,mustOut,spaceHeat
AT,hh0030,0.35823012222384987,scr1995,mustOut,spaceHeat
AT,hh0031,0.2631255144694805,scr1995,mustOut,spaceHeat
AT,hh0032,0.4373021149177493,scr1995,mustOut,spaceHeat
AT,hh0033,0.47348700634261676,scr1995,mustOut,spaceHeat
AT,hh0034,0.3071489266045764,scr1995,mustOut,spaceHeat
AT,hh0035,0.3763997508187393,scr1995,mustOut,spaceHeat
AT,hh0036,0.43806836977826763,scr1995,mustOut,spaceHeat
AT,hh0037,0.23794476375389073,scr1995,mustOut,spaceHeat
AT,hh0038,0.3944913230760584,scr1995,mustOut,spaceHeat
AT,hh0039,0.4850227362376382,scr1995,mustOut,spaceHeat
AT,hh0040,0.26929227754685336,scr1995,mustOut,spaceHeat
AT,hh0041,0.339737931168613,scr1995,mustOut,spaceHeat
AT,hh0042,0.4086922010514647,scr1995,mustOut,spaceHeat
BE,hh0001,0.2531662797816203,scr1995,mustOut,spaceHeat
BE,hh0002,0.48168456289976597,scr1995,mustOut,spaceHeat
BE,hh0003,0.7446368629011004,scr1995,mustOut,spaceHeat
BE,hh0004,0.5309037459000396,scr1995,mustOut,spaceHeat
BE,hh0005,0.5201555782410165,scr1995,mustOut,spaceHeat
BE,hh0006,0.31502060892244915,scr1995,mustOut,spaceHeat
BE,hh0007,0.20855808982713753,scr1995,mustOut,spaceHeat
BE,hh0008,0.3757472602930128,scr1995,mustOut,spaceHeat
BE,hh0009,0.4914143605867298,scr1995,mustOut,spaceHeat
BE,hh0010,0.2754941952230105,scr1995,mustOut,spaceHeat
BE,hh0011,0.3191178858463449,scr1995,mustOut,spaceHeat
BE,hh0012,0.3260241349153647,scr1995,mustOut,spaceHeat
BE,hh0013,0.24209325215697675,scr1995,mustOut,spaceHeat
BE,hh0014,0.42515598278602,scr1995,mustOut,spaceHeat
BE,hh0015,0.4801560544346966,scr1995,mustOut,spaceHeat
BE,hh0016,0.3258008794100612,scr1995,mustOut,spaceHeat
BE,hh0017,0.3383227757901101,scr1995,mustOut,spaceHeat
BE,hh0018,0.245336884801658,scr1995,mustOut,spaceHeat
BE,hh0019,0.22691395396761727,scr1995,mustOut,spaceHeat
BE,hh0020,0.37840958225269594,scr1995,mustOut,spaceHeat
BE,hh0021,0.29499913628751245,scr1995,mustOut,spaceHeat
BE,hh0022,0.15858806333355693,scr1995,mustOut,spaceHeat
BE,hh0023,0.25600421560610104,scr1995,mustOut,spaceHeat
BE,hh0024,0.3471091119180783,scr1995,mustOut,spaceHeat
BE,hh0025,0.23249240203671723,scr1995,mustOut,spaceHeat
BE,hh0026,0.4007527683981662,scr1995,mustOut,spaceHeat
BE,hh0027,0.39700266309709076,scr1995,mustOut,spaceHeat
BE,hh0028,0.2359769953625112,scr1995,mustOut,spaceHeat
BE,hh0029,0.28961232451777125,scr1995,mustOut,spaceHeat
BE,hh0030,0.4594581892762757,scr1995,mustOut,spaceHeat
BE,hh0031,0.29050304497219337,scr1995,mustOut,spaceHeat
BE,hh0032,0.4666167460762096,scr1995,mustOut,spaceHeat
BE,hh0033,0.4604632628312143,scr1995,mustOut,spaceHeat
BE,hh0034,0.17119198286682197,scr1995,mustOut,spaceHeat
BE,hh0035,0.230533356689924,scr1995,mustOut,spaceHeat
BE,hh0036,0.3185538818286632,scr1995,mustOut,spaceHeat
BE,hh0037,0.23617994351146682,scr1995,mustOut,spaceHeat
BE,hh0038,0.45212714911343976,scr1995,mustOut,spaceHeat
BE,hh0039,0.4489445717239112,scr1995,mustOut,spaceHeat
BE,hh0040,0.20977275688332342,scr1995,mustOut,spaceHeat
BE,hh0041,0.3074232250685848,scr1995,mustOut,spaceHeat
BE,hh0042,0.35990459501963024,scr1995,mustOut,spaceHeat
BG,hh0001,0.23571598084951853,scr1995,mustOut,spaceHeat
BG,hh0002,0.5188379122125583,scr1995,mustOut,spaceHeat
BG,hh0003,0.6005544792922587,scr1995,mustOut,spaceHeat
BG,hh0004,0.5558968934879391,scr1995,mustOut,spaceHeat
BG,hh0005,0.6302790447243524,scr1995,mustOut,spaceHeat
BG,hh0006,0.5079334941757376,scr1995,mustOut,spaceHeat
BG,hh0007,0.38486587793462046,scr1995,mustOut,spaceHeat
BG,hh0008,0.7224165068087436,scr1995,mustOut,spaceHeat
BG,hh0009,0.7272795566942288,scr1995,mustOut,spaceHeat
BG,hh0010,0.6139612354620805,scr1995,mustOut,spaceHeat
BG,hh0011,0.6734692778722071,scr1995,mustOut,spaceHeat
BG,hh0012,0.5064960657617101,scr1995,mustOut,spaceHeat
BG,hh0013,0.3148000607974209,scr1995,mustOut,spaceHeat
BG,hh0014,0.559399719111686,scr1995,mustOut,spaceHeat
BG,hh0015,0.4676384054709498,scr1995,mustOut,spaceHeat
BG,hh0016,0.36630980895078724,scr1995,mustOut,spaceHeat
BG,hh0017,0.491391874218484,scr1995,mustOut,spaceHeat
BG,hh0018,0.42390425639569124,scr1995,mustOut,spaceHeat
BG,hh0019,0.27114075292286294,scr1995,mustOut,spaceHeat
BG,hh0020,0.5055709108139844,scr1995,mustOut,spaceHeat
BG,hh0021,0.3629477740185323,scr1995,mustOut,spaceHeat
BG,hh0022,0.329630254697234,scr1995,mustOut,spaceHeat
BG,hh0023,0.41914906288342707,scr1995,mustOut,spaceHeat
BG,hh0024,0.3000635768784285,scr1995,mustOut,spaceHeat
BG,hh0025,0.23156681926600078,scr1995,mustOut,spaceHeat
BG,hh0026,0.4638928801547112,scr1995,mustOut,spaceHeat
BG,hh0027,0.24201598012882575,scr1995,mustOut,spaceHeat
BG,hh0028,0.2512979863241354,scr1995,mustOut,spaceHeat
BG,hh0029,0.37729361977401243,scr1995,mustOut,spaceHeat
BG,hh0030,0.2576584920788732,scr1995,mustOut,spaceHeat
BG,hh0031,0.20202482481487577,scr1995,mustOut,spaceHeat
BG,hh0032,0.460035998948056,scr1995,mustOut,spaceHeat
BG,hh0033,0.35245169616373767,scr1995,mustOut,spaceHeat
BG,hh0034,0.43586593197681867,scr1995,mustOut,spaceHeat
BG,hh0035,0.5541096668968645,scr1995,mustOut,spaceHeat
BG,hh0036,0.3875664674754301,scr1995,mustOut,spaceHeat
BG,hh0037,0.19554889573033862,scr1995,mustOut,spaceHeat
BG,hh0038,0.4252308840106561,scr1995,mustOut,spaceHeat
BG,hh0039,0.4980800034237536,scr1995,mustOut,spaceHeat
BG,hh0040,0.22495951328535616,scr1995,mustOut,spaceHeat
BG,hh0041,0.33478068890333035,scr1995,mustOut,spaceHeat
BG,hh0042,0.3813045404598993,scr1995,mustOut,spaceHeat
CH,hh0001,0.2501438962188195,scr1995,mustOut,spaceHeat
CH,hh0002,0.4897597099481778,scr1995,mustOut,spaceHeat
CH,hh0003,0.8113903154055186,scr1995,mustOut,spaceHeat
CH,hh0004,0.567978797511207,scr1995,mustOut,spaceHeat
CH,hh0005,0.5396334993545117,scr1995,mustOut,spaceHeat
CH,hh0006,0.4156111710050566,scr1995,mustOut,spaceHeat
CH,hh0007,0.39761664265189584,scr1995,mustOut,spaceHeat
CH,hh0008,0.6263901464086423,scr1995,mustOut,spaceHeat
CH,hh0009,0.7081405852708985,scr1995,mustOut,spaceHeat
CH,hh0010,0.4274804514905284,scr1995,mustOut,spaceHeat
CH,hh0011,0.4387032062254141,scr1995,mustOut,spaceHeat
CH,hh0012,0.369304076504104,scr1995,mustOut,spaceHeat
CH,hh0013,0.2668815970205598,scr1995,mustOut,spaceHeat
CH,hh0014,0.41150347729415304,scr1995,mustOut,spaceHeat
CH,hh0015,0.43688382766596556,scr1995,mustOut,spaceHeat
CH,hh0016,0.3355980527035871,scr1995,mustOut,spaceHeat
CH,hh0017,0.36546967188635077,scr1995,mustOut,spaceHeat
CH,hh0018,0.3373183884473838,scr1995,mustOut,spaceHeat
CH,hh0019,0.2106089370249964,scr1995,mustOut,spaceHeat
CH,hh0020,0.323223179016185,scr1995,mustOut,spaceHeat
CH,hh0021,0.3530934972836764,scr1995,mustOut,spaceHeat
CH,hh0022,0.25839970379751054,scr1995,mustOut,spaceHeat
CH,hh0023,0.30650175316290296,scr1995,mustOut,spaceHeat
CH,hh0024,0.40664676223411456,scr1995,mustOut,spaceHeat
CH,hh0025,0.24298366066030183,scr1995,mustOut,spaceHeat
CH,hh0026,0.3797885698138822,scr1995,mustOut,spaceHeat
CH,hh0027,0.42642329264515944,scr1995,mustOut,spaceHeat
CH,hh0028,0.29372657366813204,scr1995,mustOut,spaceHeat
CH,hh0029,0.33488848957720024,scr1995,mustOut,spaceHeat
CH,hh0030,0.4303712208899022,scr1995,mustOut,spaceHeat
CH,hh0031,0.3114189416194054,scr1995,mustOut,spaceHeat
CH,hh0032,0.5051123957482203,scr1995,mustOut,spaceHeat
CH,hh0033,0.5672386921740146,scr1995,mustOut,spaceHeat
CH,hh0034,0.3030968605292717,scr1995,mustOut,spaceHeat
CH,hh0035,0.3426306749943204,scr1995,mustOut,spaceHeat
CH,hh0036,0.42887674348435806,scr1995,mustOut,spaceHeat
CH,hh0037,0.2543308641878293,scr1995,mustOut,spaceHeat
CH,hh0038,0.4237492185131765,scr1995,mustOut,spaceHeat
CH,hh0039,0.4638989274427502,scr1995,mustOut,spaceHeat
CH,hh0040,0.21626387278345782,scr1995,mustOut,spaceHeat
CH,hh0041,0.3177306333883385,scr1995,mustOut,spaceHeat
CH,hh0042,0.4635548489993574,scr1995,mustOut,spaceHeat
CZ,hh0001,0.19843108685155095,scr1995,mustOut,spaceHeat
CZ,hh0002,0.43280170983252375,scr1995,mustOut,spaceHeat
CZ,hh0003,0.7264961779126894,scr1995,mustOut,spaceHeat
CZ,hh0004,0.5691519840206847,scr1995,mustOut,spaceHeat
CZ,hh0005,0.5833995142091157,scr1995,mustOut,spaceHeat
CZ,hh0006,0.4378835889388092,scr1995,mustOut,spaceHeat
CZ,hh0007,0.3229064704933876,scr1995,mustOut,spaceHeat
CZ,hh0008,0.5489399545106615,scr1995,mustOut,spaceHeat
CZ,hh0009,0.6603743803852316,scr1995,mustOut,spaceHeat
CZ,hh0010,0.5396218229113251,scr1995,mustOut,spaceHeat
CZ,hh0011,0.5341793006292586,scr1995,mustOut,spaceHeat
CZ,hh0012,0.3455170287855527,scr1995,mustOut,spaceHeat
CZ,hh0013,0.17438190921740235,scr1995,mustOut,spaceHeat
CZ,hh0014,0.3231554235304585,scr1995,mustOut,spaceHeat
CZ,hh0015,0.3684500072915563,scr1995,mustOut,spaceHeat
CZ,hh0016,0.33714735811955954,scr1995,mustOut,spaceHeat
CZ,hh0017,0.38992896822027157,scr1995,mustOut,spaceHeat
CZ,hh0018,0.3464955725319526,scr1995,mustOut,spaceHeat
CZ,hh0019,0.20962260195628404,scr1995,mustOut,spaceHeat
CZ,hh0020,0.3609616963620756,scr1995,mustOut,spaceHeat
CZ,hh0021,0.3683316006239147,scr1995,mustOut,spaceHeat
CZ,hh0022,0.2557741431877919,scr1995,mustOut,spaceHeat
CZ,hh0023,0.3149810085787095,scr1995,mustOut,spaceHeat
CZ,hh0024,0.3757904617412549,scr1995,mustOut,spaceHeat
CZ,hh0025,0.16710170856046613,scr1995,mustOut,spaceHeat
CZ,hh0026,0.32688963683748495,scr1995,mustOut,spaceHeat
CZ,hh0027,0.44651795208633516,scr1995,mustOut,spaceHeat
CZ,hh0028,0.31428106902752806,scr1995,mustOut,spaceHeat
CZ,hh0029,0.3193226083361658,scr1995,mustOut,spaceHeat
CZ,hh0030,0.31231881070718526,scr1995,mustOut,spaceHeat
CZ,hh0031,0.23221382543615704,scr1995,mustOut,spaceHeat
CZ,hh0032,0.4345132900602918,scr1995,mustOut,spaceHeat
CZ,hh0033,0.43991726748308735,scr1995,mustOut,spaceHeat
CZ,hh0034,0.3238129148810385,scr1995,mustOut,spaceHeat
CZ,hh0035,0.4331533036430615,scr1995,mustOut,spaceHeat
CZ,hh0036,0.44399066794315384,scr1995,mustOut,spaceHeat
CZ,hh0037,0.23144094099087265,scr1995,mustOut,spaceHeat
CZ,hh0038,0.3943982780323442,scr1995,mustOut,spaceHeat
CZ,hh0039,0.46536565191951357,scr1995,mustOut,spaceHeat
CZ,hh0040,0.30406075393790466,scr1995,mustOut,spaceHeat
CZ,hh0041,0.3703759487322295,scr1995,mustOut,spaceHeat
CZ,hh0042,0.3931880017163384,scr1995,mustOut,spaceHeat
DE,hh0001,0.23363440433520966,scr1995,mustOut,spaceHeat
DE,hh0002,0.4866939473745521,scr1995,mustOut,spaceHeat
DE,hh0003,0.8027436773380243,scr1995,mustOut,spaceHeat
DE,hh0004,0.6207709402162421,scr1995,mustOut,spaceHeat
DE,hh0005,0.6066237153142939,scr1995,mustOut,spaceHeat
DE,hh0006,0.42931318554205833,scr1995,mustOut,spaceHeat
DE,hh0007,0.3351603216013206,scr1995,mustOut,spaceHeat
DE,hh0008,0.5259594471156719,scr1995,mustOut,spaceHeat
DE,hh0009,0.6396119942399028,scr1995,mustOut,spaceHeat
DE,hh0010,0.41169609994537626,scr1995,mustOut,spaceHeat
DE,hh0011,0.4096374845513768,scr1995,mustOut,spaceHeat
DE,hh0012,0.34370082292697657,scr1995,mustOut,spaceHeat
DE,hh0013,0.2433870952644948,scr1995,mustOut,spaceHeat
DE,hh0014,0.3873681272465378,scr1995,mustOut,spaceHeat
DE,hh0015,0.42064798671540354,scr1995,mustOut,spaceHeat
DE,hh0016,0.33812195318373867,scr1995,mustOut,spaceHeat
DE,hh0017,0.3700792945958896,scr1995,mustOut,spaceHeat
DE,hh0018,0.3137800210555583,scr1995,mustOut,spaceHeat
DE,hh0019,0.23861234324769465,scr1995,mustOut,spaceHeat
DE,hh0020,0.3618170117934116,scr1995,mustOut,spaceHeat
DE,hh0021,0.28311507058662533,scr1995,mustOut,spaceHeat
DE,hh0022,0.21886548646032733,scr1995,mustOut,spaceHeat
DE,hh0023,0.2663633920868328,scr1995,mustOut,spaceHeat
DE,hh0024,0.37378422828491914,scr1995,mustOut,spaceHeat
DE,hh0025,0.2206375589827113,scr1995,mustOut,spaceHeat
DE,hh0026,0.397787553130602,scr1995,mustOut,spaceHeat
DE,hh0027,0.47711396869957556,scr1995,mustOut,spaceHeat
DE,hh0028,0.29782802007295994,scr1995,mustOut,spaceHeat
DE,hh0029,0.30633793069873244,scr1995,mustOut,spaceHeat
DE,hh0030,0.38055884642825355,scr1995,mustOut,spaceHeat
DE,hh0031,0.2736275054845942,scr1995,mustOut,spaceHeat
DE,hh0032,0.4690228802794144,scr1995,mustOut,spaceHeat
DE,hh0033,0.5108007371691011,scr1995,mustOut,spaceHeat
DE,hh0034,0.26989332866372123,scr1995,mustOut,spaceHeat
DE,hh0035,0.33426440670147567,scr1995,mustOut,spaceHeat
DE,hh0036,0.4071161683165142,scr1995,mustOut,spaceHeat
DE,hh0037,0.26524215612090263,scr1995,mustOut,spaceHeat
DE,hh0038,0.4278069728675524,scr1995,mustOut,spaceHeat
DE,hh0039,0.42340822012378676,scr1995,mustOut,spaceHeat
DE,hh0040,0.24147892552824576,scr1995,mustOut,spaceHeat
DE,hh0041,0.34984146407449035,scr1995,mustOut,spaceHeat
DE,hh0042,0.4423901354549935,scr1995,mustOut,spaceHeat
GR,hh0001,0.12213127835938326,scr1995,mustOut,spaceHeat
GR,hh0002,0.4425362835746883,scr1995,mustOut,spaceHeat
GR,hh0003,0.5033294511217201,scr1995,mustOut,spaceHeat
GR,hh0004,0.38980179344052146,scr1995,mustOut,spaceHeat
GR,hh0005,0.5217730427214922,scr1995,mustOut,spaceHeat
GR,hh0006,0.4394016480813257,scr1995,mustOut,spaceHeat
GR,hh0007,0.2984012799911397,scr1995,mustOut,spaceHeat
GR,hh0008,0.6777259635093806,scr1995,mustOut,spaceHeat
GR,hh0009,0.6574876277645494,scr1995,mustOut,spaceHeat
GR,hh0010,0.4871576965956663,scr1995,mustOut,spaceHeat
GR,hh0011,0.5384986251012684,scr1995,mustOut,spaceHeat
GR,hh0012,0.40395890869481726,scr1995,mustOut,spaceHeat
GR,hh0013,0.2157475356589904,scr1995,mustOut,spaceHeat
GR,hh0014,0.5298829441894777,scr1995,mustOut,spaceHeat
GR,hh0015,0.3654426943429455,scr1995,mustOut,spaceHeat
GR,hh0016,0.28115755738642034,scr1995,mustOut,spaceHeat
GR,hh0017,0.4479820950551987,scr1995,mustOut,spaceHeat
GR,hh0018,0.42886065016756897,scr1995,mustOut,spaceHeat
GR,hh0019,0.24073529624524367,scr1995,mustOut,spaceHeat
GR,hh0020,0.5475109821971432,scr1995,mustOut,spaceHeat
GR,hh0021,0.3299065508030321,scr1995,mustOut,spaceHeat
GR,hh0022,0.2595514029193293,scr1995,mustOut,spaceHeat
GR,hh0023,0.3714474972346098,scr1995,mustOut,spaceHeat
GR,hh0024,0.2756885099240022,scr1995,mustOut,spaceHeat
GR,hh0025,0.1933634567092588,scr1995,mustOut,spaceHeat
GR,hh0026,0.499409128299673,scr1995,mustOut,spaceHeat
GR,hh0027,0.27462930005808867,scr1995,mustOut,spaceHeat
GR,hh0028,0.1445985223693404,scr1995,mustOut,spaceHeat
GR,hh0029,0.24741709186402847,scr1995,mustOut,spaceHeat
GR,hh0030,0.2808325739050043,scr1995,mustOut,spaceHeat
GR,hh0031,0.1895468966240283,scr1995,mustOut,spaceHeat
GR,hh0032,0.5074644786434341,scr1995,mustOut,spaceHeat
GR,hh0033,0.3296810483017931,scr1995,mustOut,spaceHeat
GR,hh0034,0.3639389624123364,scr1995,mustOut,spaceHeat
GR,hh0035,0.48700022680408445,scr1995,mustOut,spaceHeat
GR,hh0036,0.37190502099650513,scr1995,mustOut,spaceHeat
GR,hh0037,0.19129970870342855,scr1995,mustOut,spaceHeat
GR,hh0038,0.502348343646084,scr1995,mustOut,spaceHeat
GR,hh0039,0.467593787234767,scr1995,mustOut,spaceHeat
GR,hh0040,0.19721263694582297,scr1995,mustOut,spaceHeat
GR,hh0041,0.3267275684328933,scr1995,mustOut,spaceHeat
GR,hh0042,0.2942298812659637,scr1995,mustOut,spaceHeat
ES,hh0001,0.18930323686029843,scr1995,mustOut,spaceHeat
ES,hh0002,0.5093708515012487,scr1995,mustOut,spaceHeat
ES,hh0003,0.7731926879383656,scr1995,mustOut,spaceHeat
ES,hh0004,0.47084094638835816,scr1995,mustOut,spaceHeat
ES,hh0005,0.477189887421809,scr1995,mustOut,spaceHeat
ES,hh0006,0.4853449172835228,scr1995,mustOut,spaceHeat
ES,hh0007,0.3440848517194396,scr1995,mustOut,spaceHeat
ES,hh0008,0.6263218795187775,scr1995,mustOut,spaceHeat
ES,hh0009,0.6274636520910636,scr1995,mustOut,spaceHeat
ES,hh0010,0.4241204368219865,scr1995,mustOut,spaceHeat
ES,hh0011,0.430471566421231,scr1995,mustOut,spaceHeat
ES,hh0012,0.37977104507765413,scr1995,mustOut,spaceHeat
ES,hh0013,0.22829543407235176,scr1995,mustOut,spaceHeat
ES,hh0014,0.4783060802135124,scr1995,mustOut,spaceHeat
ES,hh0015,0.503945201975284,scr1995,mustOut,spaceHeat
ES,hh0016,0.3485931988170588,scr1995,mustOut,spaceHeat
ES,hh0017,0.3460427989956124,scr1995,mustOut,spaceHeat
ES,hh0018,0.38828442841878996,scr1995,mustOut,spaceHeat
ES,hh0019,0.20937431412076085,scr1995,mustOut,spaceHeat
ES,hh0020,0.42938225537816777,scr1995,mustOut,spaceHeat
ES,hh0021,0.5310628736727955,scr1995,mustOut,spaceHeat
ES,hh0022,0.27818793058262925,scr1995,mustOut,spaceHeat
ES,hh0023,0.29507042471111855,scr1995,mustOut,spaceHeat
ES,hh0024,0.45119734279742996,scr1995,mustOut,spaceHeat
ES,hh0025,0.26946878277067754,scr1995,mustOut,spaceHeat
ES,hh0026,0.511580835079141,scr1995,mustOut,spaceHeat
ES,hh0027,0.47554706601367946,scr1995,mustOut,spaceHeat
ES,hh0028,0.39679287941248503,scr1995,mustOut,spaceHeat
ES,hh0029,0.45125843413897215,scr1995,mustOut,spaceHeat
ES,hh0030,0.4971581385601377,scr1995,mustOut,spaceHeat
ES,hh0031,0.29716704125728716,scr1995,mustOut,spaceHeat
ES,hh0032,0.5805416749256331,scr1995,mustOut,spaceHeat
ES,hh0033,0.5620258768471054,scr1995,mustOut,spaceHeat
ES,hh0034,0.29492890315685605,scr1995,mustOut,spaceHeat
ES,hh0035,0.3049118298145117,scr1995,mustOut,spaceHeat
ES,hh0036,0.40590737551404166,scr1995,mustOut,spaceHeat
ES,hh0037,0.21685788650894344,scr1995,mustOut,spaceHeat
ES,hh0038,0.5117985256957548,scr1995,mustOut,spaceHeat
ES,hh0039,0.5515140693722265,scr1995,mustOut,spaceHeat
ES,hh0040,0.2124518296348798,scr1995,mustOut,spaceHeat
ES,hh0041,0.23661239984126037,scr1995,mustOut,spaceHeat
ES,hh0042,0.2806001556185295,scr1995,mustOut,spaceHeat
DK,hh0001,0.22807813514320885,scr1995,mustOut,spaceHeat
DK,hh0002,0.5006674600516964,scr1995,mustOut,spaceHeat
DK,hh0003,0.7863014512162156,scr1995,mustOut,spaceHeat
DK,hh0004,0.5989422113501122,scr1995,mustOut,spaceHeat
